Date,price,shares,net shares,net cash
2015-01-02,109.33000183105469,0.0,,
2015-01-05,106.25,0.0,0.0,-0.0
2015-01-06,106.26000213623047,0.0,0.0,-0.0
2015-01-07,107.75,0.0,0.0,-0.0
2015-01-08,111.88999938964844,0.0,0.0,-0.0
2015-01-09,112.01000213623047,0.0,0.0,-0.0
2015-01-12,109.25,0.0,0.0,-0.0
2015-01-13,110.22000122070312,0.0,0.0,-0.0
2015-01-14,109.80000305175781,0.0,0.0,-0.0
2015-01-15,106.81999969482422,0.0,0.0,-0.0
2015-01-16,105.98999786376953,0.0,0.0,-0.0
2015-01-20,108.72000122070312,0.0,0.0,-0.0
2015-01-21,109.55000305175781,0.0,0.0,-0.0
2015-01-22,112.4000015258789,0.0,0.0,-0.0
2015-01-23,112.9800033569336,0.0,0.0,-0.0
2015-01-26,113.0999984741211,0.0,0.0,-0.0
2015-01-27,109.13999938964844,0.0,0.0,-0.0
2015-01-28,115.30999755859375,0.0,0.0,-0.0
2015-01-29,118.9000015258789,0.0,0.0,-0.0
2015-01-30,117.16000366210938,0.0,0.0,-0.0
2015-02-02,118.62999725341797,0.0,0.0,-0.0
2015-02-03,118.6500015258789,0.0,0.0,-0.0
2015-02-04,119.55999755859375,0.0,0.0,-0.0
2015-02-05,119.94000244140625,0.0,0.0,-0.0
2015-02-06,118.93000030517578,0.0,0.0,-0.0
2015-02-09,119.72000122070312,0.0,0.0,-0.0
2015-02-10,122.0199966430664,0.0,0.0,-0.0
2015-02-11,124.87999725341797,0.0,0.0,-0.0
2015-02-12,126.45999908447266,0.0,0.0,-0.0
2015-02-13,127.08000183105469,100.0,100.0,-12708.000183105469
2015-02-17,127.83000183105469,100.0,0.0,-0.0
2015-02-18,128.72000122070312,100.0,0.0,-0.0
2015-02-19,128.4499969482422,100.0,0.0,-0.0
2015-02-20,129.5,100.0,0.0,-0.0
2015-02-23,133.0,100.0,0.0,-0.0
2015-02-24,132.1699981689453,100.0,0.0,-0.0
2015-02-25,128.7899932861328,100.0,0.0,-0.0
2015-02-26,130.4199981689453,100.0,0.0,-0.0
2015-02-27,128.4600067138672,100.0,0.0,-0.0
2015-03-02,129.08999633789062,100.0,0.0,-0.0
2015-03-03,129.36000061035156,100.0,0.0,-0.0
2015-03-04,128.5399932861328,100.0,0.0,-0.0
2015-03-05,126.41000366210938,100.0,0.0,-0.0
2015-03-06,126.5999984741211,100.0,0.0,-0.0
2015-03-09,127.13999938964844,100.0,0.0,-0.0
2015-03-10,124.51000213623047,100.0,0.0,-0.0
2015-03-11,122.23999786376953,100.0,0.0,-0.0
2015-03-12,124.44999694824219,100.0,0.0,-0.0
2015-03-13,123.58999633789062,100.0,0.0,-0.0
2015-03-16,124.94999694824219,100.0,0.0,-0.0
2015-03-17,127.04000091552734,100.0,0.0,-0.0
2015-03-18,128.47000122070312,100.0,0.0,-0.0
2015-03-19,127.5,100.0,0.0,-0.0
2015-03-20,125.9000015258789,100.0,0.0,-0.0
2015-03-23,127.20999908447266,100.0,0.0,-0.0
2015-03-24,126.69000244140625,100.0,0.0,-0.0
2015-03-25,123.37999725341797,100.0,0.0,-0.0
2015-03-26,124.23999786376953,100.0,0.0,-0.0
2015-03-27,123.25,100.0,0.0,-0.0
2015-03-30,126.37000274658203,100.0,0.0,-0.0
2015-03-31,124.43000030517578,100.0,0.0,-0.0
2015-04-01,124.25,100.0,0.0,-0.0
2015-04-02,125.31999969482422,100.0,0.0,-0.0
2015-04-06,127.3499984741211,100.0,0.0,-0.0
2015-04-07,126.01000213623047,100.0,0.0,-0.0
2015-04-08,125.5999984741211,100.0,0.0,-0.0
2015-04-09,126.55999755859375,100.0,0.0,-0.0
2015-04-10,127.0999984741211,100.0,0.0,-0.0
2015-04-13,126.8499984741211,100.0,0.0,-0.0
2015-04-14,126.30000305175781,100.0,0.0,-0.0
2015-04-15,126.77999877929688,100.0,0.0,-0.0
2015-04-16,126.16999816894531,100.0,0.0,-0.0
2015-04-17,124.75,100.0,0.0,-0.0
2015-04-20,127.5999984741211,100.0,0.0,-0.0
2015-04-21,126.91000366210938,100.0,0.0,-0.0
2015-04-22,128.6199951171875,100.0,0.0,-0.0
2015-04-23,129.6699981689453,100.0,0.0,-0.0
2015-04-24,130.27999877929688,100.0,0.0,-0.0
2015-04-27,132.64999389648438,100.0,0.0,-0.0
2015-04-28,130.55999755859375,100.0,0.0,-0.0
2015-04-29,128.63999938964844,100.0,0.0,-0.0
2015-04-30,125.1500015258789,100.0,0.0,-0.0
2015-05-01,128.9499969482422,100.0,0.0,-0.0
2015-05-04,128.6999969482422,100.0,0.0,-0.0
2015-05-05,125.80000305175781,100.0,0.0,-0.0
2015-05-06,125.01000213623047,100.0,0.0,-0.0
2015-05-07,125.26000213623047,100.0,0.0,-0.0
2015-05-08,127.62000274658203,100.0,0.0,-0.0
2015-05-11,126.31999969482422,100.0,0.0,-0.0
2015-05-12,125.87000274658203,0.0,-100.0,12587.000274658203
2015-05-13,126.01000213623047,0.0,0.0,-0.0
2015-05-14,128.9499969482422,0.0,0.0,-0.0
2015-05-15,128.77000427246094,0.0,0.0,-0.0
2015-05-18,130.19000244140625,0.0,0.0,-0.0
2015-05-19,130.07000732421875,0.0,0.0,-0.0
2015-05-20,130.05999755859375,100.0,100.0,-13005.999755859375
2015-05-21,131.38999938964844,100.0,0.0,-0.0
2015-05-22,132.5399932861328,100.0,0.0,-0.0
2015-05-26,129.6199951171875,100.0,0.0,-0.0
2015-05-27,132.0399932861328,100.0,0.0,-0.0
2015-05-28,131.77999877929688,100.0,0.0,-0.0
2015-05-29,130.27999877929688,100.0,0.0,-0.0
2015-06-01,130.5399932861328,100.0,0.0,-0.0
2015-06-02,129.9600067138672,100.0,0.0,-0.0
2015-06-03,130.1199951171875,100.0,0.0,-0.0
2015-06-04,129.36000061035156,100.0,0.0,-0.0
2015-06-05,128.64999389648438,100.0,0.0,-0.0
2015-06-08,127.80000305175781,100.0,0.0,-0.0
2015-06-09,127.41999816894531,100.0,0.0,-0.0
2015-06-10,128.8800048828125,100.0,0.0,-0.0
2015-06-11,128.58999633789062,100.0,0.0,-0.0
2015-06-12,127.16999816894531,100.0,0.0,-0.0
2015-06-15,126.91999816894531,0.0,-100.0,12691.999816894531
2015-06-16,127.5999984741211,0.0,0.0,-0.0
2015-06-17,127.30000305175781,0.0,0.0,-0.0
2015-06-18,127.87999725341797,0.0,0.0,-0.0
2015-06-19,126.5999984741211,0.0,0.0,-0.0
2015-06-22,127.61000061035156,0.0,0.0,-0.0
2015-06-23,127.02999877929688,0.0,0.0,-0.0
2015-06-24,128.11000061035156,0.0,0.0,-0.0
2015-06-25,127.5,0.0,0.0,-0.0
2015-06-26,126.75,0.0,0.0,-0.0
2015-06-29,124.52999877929688,0.0,0.0,-0.0
2015-06-30,125.43000030517578,0.0,0.0,-0.0
2015-07-01,126.5999984741211,0.0,0.0,-0.0
2015-07-02,126.44000244140625,0.0,0.0,-0.0
2015-07-06,126.0,0.0,0.0,-0.0
2015-07-07,125.69000244140625,0.0,0.0,-0.0
2015-07-08,122.56999969482422,0.0,0.0,-0.0
2015-07-09,120.06999969482422,0.0,0.0,-0.0
2015-07-10,123.27999877929688,0.0,0.0,-0.0
2015-07-13,125.66000366210938,0.0,0.0,-0.0
2015-07-14,125.61000061035156,0.0,0.0,-0.0
2015-07-15,126.81999969482422,0.0,0.0,-0.0
2015-07-16,128.50999450683594,0.0,0.0,-0.0
2015-07-17,129.6199951171875,0.0,0.0,-0.0
2015-07-20,132.07000732421875,0.0,0.0,-0.0
2015-07-21,130.75,0.0,0.0,-0.0
2015-07-22,125.22000122070312,0.0,0.0,-0.0
2015-07-23,125.16000366210938,100.0,100.0,-12516.000366210938
2015-07-24,124.5,100.0,0.0,-0.0
2015-07-27,122.7699966430664,100.0,0.0,-0.0
2015-07-28,123.37999725341797,100.0,0.0,-0.0
2015-07-29,122.98999786376953,100.0,0.0,-0.0
2015-07-30,122.37000274658203,0.0,-100.0,12237.000274658203
2015-07-31,121.30000305175781,0.0,0.0,-0.0
2015-08-03,118.44000244140625,0.0,0.0,-0.0
