Date,price,shares,net shares,net cash
2015-01-02,61.150001525878906,0.0,,
2015-01-05,60.25,0.0,0.0,-0.0
2015-01-06,60.58000183105469,0.0,0.0,-0.0
2015-01-07,61.439998626708984,0.0,0.0,-0.0
2015-01-08,61.970001220703125,0.0,0.0,-0.0
2015-01-09,61.63999938964844,0.0,0.0,-0.0
2015-01-12,61.560001373291016,0.0,0.0,-0.0
2015-01-13,61.869998931884766,0.0,0.0,-0.0
2015-01-14,62.7599983215332,0.0,0.0,-0.0
2015-01-15,63.15999984741211,0.0,0.0,-0.0
2015-01-16,63.56999969482422,0.0,0.0,-0.0
2015-01-20,63.529998779296875,0.0,0.0,-0.0
2015-01-21,64.13999938964844,0.0,0.0,-0.0
2015-01-22,64.08000183105469,0.0,0.0,-0.0
2015-01-23,64.5199966430664,0.0,0.0,-0.0
2015-01-26,64.56999969482422,0.0,0.0,-0.0
2015-01-27,64.25,0.0,0.0,-0.0
2015-01-28,63.380001068115234,0.0,0.0,-0.0
2015-01-29,63.720001220703125,0.0,0.0,-0.0
2015-01-30,62.810001373291016,0.0,0.0,-0.0
2015-02-02,63.060001373291016,0.0,0.0,-0.0
2015-02-03,62.7599983215332,0.0,0.0,-0.0
2015-02-04,62.220001220703125,0.0,0.0,-0.0
2015-02-05,62.45000076293945,0.0,0.0,-0.0
2015-02-06,59.150001525878906,0.0,0.0,-0.0
2015-02-09,58.2400016784668,0.0,0.0,-0.0
2015-02-10,59.310001373291016,0.0,0.0,-0.0
2015-02-11,58.279998779296875,0.0,0.0,-0.0
2015-02-12,57.97999954223633,0.0,0.0,-0.0
2015-02-13,57.83000183105469,0.0,0.0,-0.0
2015-02-17,57.869998931884766,0.0,0.0,-0.0
2015-02-18,59.119998931884766,0.0,0.0,-0.0
2015-02-19,58.40999984741211,0.0,0.0,-0.0
2015-02-20,58.720001220703125,0.0,0.0,-0.0
2015-02-23,59.09000015258789,0.0,0.0,-0.0
2015-02-24,59.279998779296875,0.0,0.0,-0.0
2015-02-25,58.08000183105469,0.0,0.0,-0.0
2015-02-26,57.40999984741211,0.0,0.0,-0.0
2015-02-27,57.58000183105469,0.0,0.0,-0.0
2015-03-02,56.150001525878906,0.0,0.0,-0.0
2015-03-03,56.72999954223633,0.0,0.0,-0.0
2015-03-04,56.58000183105469,0.0,0.0,-0.0
2015-03-05,57.08000183105469,0.0,0.0,-0.0
2015-03-06,55.0099983215332,0.0,0.0,-0.0
2015-03-09,55.18000030517578,0.0,0.0,-0.0
2015-03-10,55.2599983215332,0.0,0.0,-0.0
2015-03-11,54.77000045776367,0.0,0.0,-0.0
2015-03-12,55.970001220703125,0.0,0.0,-0.0
2015-03-13,55.310001373291016,0.0,0.0,-0.0
2015-03-16,56.15999984741211,0.0,0.0,-0.0
2015-03-17,55.900001525878906,0.0,0.0,-0.0
2015-03-18,57.54999923706055,0.0,0.0,-0.0
2015-03-19,57.04999923706055,0.0,0.0,-0.0
2015-03-20,57.70000076293945,0.0,0.0,-0.0
2015-03-23,57.95000076293945,0.0,0.0,-0.0
2015-03-24,57.25,0.0,0.0,-0.0
2015-03-25,55.90999984741211,0.0,0.0,-0.0
2015-03-26,55.33000183105469,0.0,0.0,-0.0
2015-03-27,55.900001525878906,0.0,0.0,-0.0
2015-03-30,56.58000183105469,0.0,0.0,-0.0
2015-03-31,56.25,0.0,0.0,-0.0
2015-04-01,56.369998931884766,0.0,0.0,-0.0
2015-04-02,56.459999084472656,0.0,0.0,-0.0
2015-04-06,57.099998474121094,0.0,0.0,-0.0
2015-04-07,56.369998931884766,0.0,0.0,-0.0
2015-04-08,55.97999954223633,0.0,0.0,-0.0
2015-04-09,55.790000915527344,0.0,0.0,-0.0
2015-04-10,56.38999938964844,0.0,0.0,-0.0
2015-04-13,55.66999816894531,0.0,0.0,-0.0
2015-04-14,56.099998474121094,0.0,0.0,-0.0
2015-04-15,56.36000061035156,0.0,0.0,-0.0
2015-04-16,55.849998474121094,0.0,0.0,-0.0
2015-04-17,55.72999954223633,0.0,0.0,-0.0
2015-04-20,56.630001068115234,0.0,0.0,-0.0
2015-04-21,55.970001220703125,0.0,0.0,-0.0
2015-04-22,56.13999938964844,0.0,0.0,-0.0
2015-04-23,56.900001525878906,0.0,0.0,-0.0
2015-04-24,57.880001068115234,0.0,0.0,-0.0
2015-04-27,57.709999084472656,0.0,0.0,-0.0
2015-04-28,58.08000183105469,0.0,0.0,-0.0
2015-04-29,57.790000915527344,0.0,0.0,-0.0
2015-04-30,56.869998931884766,100.0,100.0,-5686.999893188477
2015-05-01,57.029998779296875,100.0,0.0,-0.0
2015-05-04,57.36000061035156,100.0,0.0,-0.0
2015-05-05,55.900001525878906,100.0,0.0,-0.0
2015-05-06,54.959999084472656,100.0,0.0,-0.0
2015-05-07,55.2599983215332,100.0,0.0,-0.0
2015-05-08,55.79999923706055,100.0,0.0,-0.0
2015-05-11,55.43000030517578,0.0,-100.0,5543.000030517578
2015-05-12,54.95000076293945,0.0,0.0,-0.0
2015-05-13,54.279998779296875,0.0,0.0,-0.0
2015-05-14,55.099998474121094,0.0,0.0,-0.0
2015-05-15,55.599998474121094,0.0,0.0,-0.0
2015-05-18,55.880001068115234,0.0,0.0,-0.0
2015-05-19,55.79999923706055,0.0,0.0,-0.0
2015-05-20,55.91999816894531,0.0,0.0,-0.0
2015-05-21,55.810001373291016,0.0,0.0,-0.0
2015-05-22,55.650001525878906,0.0,0.0,-0.0
2015-05-26,55.33000183105469,0.0,0.0,-0.0
2015-05-27,56.060001373291016,0.0,0.0,-0.0
2015-05-28,56.099998474121094,0.0,0.0,-0.0
2015-05-29,56.290000915527344,0.0,0.0,-0.0
2015-06-01,56.0099983215332,0.0,0.0,-0.0
2015-06-02,55.16999816894531,0.0,0.0,-0.0
2015-06-03,54.380001068115234,0.0,0.0,-0.0
2015-06-04,54.290000915527344,0.0,0.0,-0.0
2015-06-05,53.439998626708984,0.0,0.0,-0.0
2015-06-08,53.459999084472656,0.0,0.0,-0.0
2015-06-09,53.459999084472656,0.0,0.0,-0.0
2015-06-10,53.88999938964844,0.0,0.0,-0.0
2015-06-11,54.310001373291016,0.0,0.0,-0.0
2015-06-12,53.93000030517578,0.0,0.0,-0.0
2015-06-15,53.650001525878906,0.0,0.0,-0.0
2015-06-16,53.72999954223633,0.0,0.0,-0.0
2015-06-17,54.060001373291016,0.0,0.0,-0.0
2015-06-18,54.83000183105469,0.0,0.0,-0.0
2015-06-19,54.470001220703125,0.0,0.0,-0.0
2015-06-22,54.2400016784668,0.0,0.0,-0.0
2015-06-23,53.34000015258789,0.0,0.0,-0.0
2015-06-24,52.959999084472656,0.0,0.0,-0.0
2015-06-25,52.619998931884766,0.0,0.0,-0.0
2015-06-26,52.90999984741211,0.0,0.0,-0.0
2015-06-29,52.79999923706055,0.0,0.0,-0.0
2015-06-30,52.970001220703125,0.0,0.0,-0.0
2015-07-01,53.290000915527344,0.0,0.0,-0.0
2015-07-02,54.22999954223633,0.0,0.0,-0.0
2015-07-06,54.529998779296875,0.0,0.0,-0.0
2015-07-07,56.08000183105469,0.0,0.0,-0.0
2015-07-08,56.029998779296875,0.0,0.0,-0.0
2015-07-09,55.52000045776367,0.0,0.0,-0.0
2015-07-10,55.560001373291016,0.0,0.0,-0.0
2015-07-13,55.34000015258789,100.0,100.0,-5534.000015258789
2015-07-14,55.189998626708984,100.0,0.0,-0.0
2015-07-15,55.68000030517578,100.0,0.0,-0.0
2015-07-16,56.36000061035156,100.0,0.0,-0.0
2015-07-17,55.720001220703125,100.0,0.0,-0.0
2015-07-20,55.540000915527344,100.0,0.0,-0.0
2015-07-21,54.88999938964844,100.0,0.0,-0.0
2015-07-22,55.209999084472656,100.0,0.0,-0.0
2015-07-23,54.59000015258789,100.0,0.0,-0.0
2015-07-24,54.599998474121094,100.0,0.0,-0.0
2015-07-27,55.7400016784668,100.0,0.0,-0.0
2015-07-28,55.88999938964844,100.0,0.0,-0.0
2015-07-29,55.939998626708984,100.0,0.0,-0.0
2015-07-30,56.31999969482422,100.0,0.0,-0.0
2015-07-31,56.56999969482422,100.0,0.0,-0.0
2015-08-03,57.060001373291016,100.0,0.0,-0.0
2015-08-04,56.38999938964844,100.0,0.0,-0.0
2015-08-05,56.650001525878906,100.0,0.0,-0.0
2015-08-06,56.2599983215332,100.0,0.0,-0.0
2015-08-07,56.77000045776367,100.0,0.0,-0.0
2015-08-10,56.709999084472656,100.0,0.0,-0.0
2015-08-11,56.849998474121094,100.0,0.0,-0.0
2015-08-12,57.56999969482422,100.0,0.0,-0.0
2015-08-13,57.54999923706055,100.0,0.0,-0.0
