Date,price,shares,net shares,net cash
2011-01-03,51.630001068115234,0.0,,
2011-01-04,51.470001220703125,0.0,0.0,-0.0
2011-01-05,50.7599983215332,0.0,0.0,-0.0
2011-01-06,50.619998931884766,0.0,0.0,-0.0
2011-01-07,50.5,0.0,0.0,-0.0
2011-01-10,50.40999984741211,0.0,0.0,-0.0
2011-01-11,50.470001220703125,0.0,0.0,-0.0
2011-01-12,50.70000076293945,0.0,0.0,-0.0
2011-01-13,50.75,0.0,0.0,-0.0
2011-01-14,49.849998474121094,0.0,0.0,-0.0
2011-01-18,49.4900016784668,0.0,0.0,-0.0
2011-01-19,49.18000030517578,0.0,0.0,-0.0
2011-01-20,50.31999969482422,0.0,0.0,-0.0
2011-01-21,50.52000045776367,0.0,0.0,-0.0
2011-01-24,51.0099983215332,0.0,0.0,-0.0
2011-01-25,51.369998931884766,0.0,0.0,-0.0
2011-01-26,51.939998626708984,0.0,0.0,-0.0
2011-01-27,52.0,0.0,0.0,-0.0
2011-01-28,51.31999969482422,0.0,0.0,-0.0
2011-01-31,50.86000061035156,0.0,0.0,-0.0
2011-02-01,51.779998779296875,0.0,0.0,-0.0
2011-02-02,51.90999984741211,0.0,0.0,-0.0
2011-02-03,52.68000030517578,0.0,0.0,-0.0
2011-02-04,53.59000015258789,0.0,0.0,-0.0
2011-02-07,53.65999984741211,0.0,0.0,-0.0
2011-02-08,54.279998779296875,0.0,0.0,-0.0
2011-02-09,54.59000015258789,0.0,0.0,-0.0
2011-02-10,55.0,0.0,0.0,-0.0
2011-02-11,56.72999954223633,0.0,0.0,-0.0
2011-02-14,56.0099983215332,100.0,100.0,-5600.99983215332
2011-02-15,55.810001373291016,100.0,0.0,-0.0
2011-02-16,55.619998931884766,100.0,0.0,-0.0
2011-02-17,54.650001525878906,100.0,0.0,-0.0
2011-02-18,54.2599983215332,100.0,0.0,-0.0
2011-02-22,52.97999954223633,100.0,0.0,-0.0
2011-02-23,51.849998474121094,100.0,0.0,-0.0
2011-02-24,52.849998474121094,100.0,0.0,-0.0
2011-02-25,53.7599983215332,100.0,0.0,-0.0
2011-02-28,53.959999084472656,100.0,0.0,-0.0
2011-03-01,52.720001220703125,100.0,0.0,-0.0
2011-03-02,52.279998779296875,100.0,0.0,-0.0
2011-03-03,53.33000183105469,100.0,0.0,-0.0
2011-03-04,53.06999969482422,100.0,0.0,-0.0
2011-03-07,53.08000183105469,100.0,0.0,-0.0
2011-03-08,52.119998931884766,100.0,0.0,-0.0
2011-03-09,52.189998626708984,100.0,0.0,-0.0
2011-03-10,50.779998779296875,100.0,0.0,-0.0
2011-03-11,50.810001373291016,0.0,-100.0,5081.000137329102
2011-03-14,50.220001220703125,0.0,0.0,-0.0
2011-03-15,50.02000045776367,0.0,0.0,-0.0
2011-03-16,50.439998626708984,0.0,0.0,-0.0
2011-03-17,51.040000915527344,0.0,0.0,-0.0
2011-03-18,50.619998931884766,0.0,0.0,-0.0
2011-03-21,46.61000061035156,0.0,0.0,-0.0
