Date,price,shares,net shares,net cash
2013-01-02,257.30999755859375,0.0,,
2013-01-03,258.4800109863281,0.0,0.0,-0.0
2013-01-04,259.1499938964844,0.0,0.0,-0.0
2013-01-07,268.4599914550781,0.0,0.0,-0.0
2013-01-08,266.3800048828125,0.0,0.0,-0.0
2013-01-09,266.3500061035156,0.0,0.0,-0.0
2013-01-10,265.3399963378906,0.0,0.0,-0.0
2013-01-11,267.94000244140625,0.0,0.0,-0.0
2013-01-14,272.7300109863281,0.0,0.0,-0.0
2013-01-15,271.8999938964844,0.0,0.0,-0.0
2013-01-16,268.92999267578125,0.0,0.0,-0.0
2013-01-17,270.4800109863281,0.0,0.0,-0.0
2013-01-18,272.1199951171875,0.0,0.0,-0.0
2013-01-22,270.19000244140625,0.0,0.0,-0.0
2013-01-23,268.1099853515625,0.0,0.0,-0.0
2013-01-24,273.4599914550781,0.0,0.0,-0.0
2013-01-25,283.989990234375,0.0,0.0,-0.0
2013-01-28,276.0400085449219,0.0,0.0,-0.0
2013-01-29,260.3500061035156,0.0,0.0,-0.0
2013-01-30,272.760009765625,0.0,0.0,-0.0
2013-01-31,265.5,0.0,0.0,-0.0
2013-02-01,265.0,0.0,0.0,-0.0
2013-02-04,259.9800109863281,0.0,0.0,-0.0
2013-02-05,266.8900146484375,0.0,0.0,-0.0
2013-02-06,262.2200012207031,0.0,0.0,-0.0
2013-02-07,260.2300109863281,0.0,0.0,-0.0
2013-02-08,261.95001220703125,0.0,0.0,-0.0
2013-02-11,257.2099914550781,0.0,0.0,-0.0
2013-02-12,258.70001220703125,0.0,0.0,-0.0
2013-02-13,269.4700012207031,0.0,0.0,-0.0
2013-02-14,269.239990234375,0.0,0.0,-0.0
2013-02-15,265.0899963378906,0.0,0.0,-0.0
2013-02-19,269.75,0.0,0.0,-0.0
2013-02-20,266.4100036621094,0.0,0.0,-0.0
2013-02-21,265.94000244140625,0.0,0.0,-0.0
2013-02-22,265.4200134277344,0.0,0.0,-0.0
2013-02-25,259.8699951171875,0.0,0.0,-0.0
2013-02-26,259.3599853515625,0.0,0.0,-0.0
2013-02-27,263.25,0.0,0.0,-0.0
2013-02-28,264.2699890136719,0.0,0.0,-0.0
2013-03-01,265.739990234375,0.0,0.0,-0.0
2013-03-04,273.1099853515625,0.0,0.0,-0.0
2013-03-05,275.5899963378906,0.0,0.0,-0.0
2013-03-06,273.7900085449219,0.0,0.0,-0.0
2013-03-07,273.8800048828125,0.0,0.0,-0.0
2013-03-08,274.19000244140625,100.0,100.0,-27419.000244140625
2013-03-11,271.239990234375,100.0,0.0,-0.0
2013-03-12,274.1300048828125,100.0,0.0,-0.0
2013-03-13,275.1000061035156,100.0,0.0,-0.0
2013-03-14,265.739990234375,100.0,0.0,-0.0
2013-03-15,261.82000732421875,100.0,0.0,-0.0
2013-03-18,257.8900146484375,100.0,0.0,-0.0
2013-03-19,256.4100036621094,100.0,0.0,-0.0
2013-03-20,257.2799987792969,100.0,0.0,-0.0
2013-03-21,253.38999938964844,0.0,-100.0,25338.999938964844
2013-03-22,257.75,0.0,0.0,-0.0
2013-03-25,256.0199890136719,0.0,0.0,-0.0
2013-03-26,260.30999755859375,0.0,0.0,-0.0
2013-03-27,265.29998779296875,0.0,0.0,-0.0
2013-03-28,266.489990234375,0.0,0.0,-0.0
2013-04-01,261.6099853515625,0.0,0.0,-0.0
2013-04-02,263.32000732421875,0.0,0.0,-0.0
2013-04-03,259.0299987792969,0.0,0.0,-0.0
2013-04-04,259.0799865722656,0.0,0.0,-0.0
2013-04-05,255.47999572753906,0.0,0.0,-0.0
2013-04-08,258.95001220703125,0.0,0.0,-0.0
2013-04-09,261.1400146484375,0.0,0.0,-0.0
2013-04-10,264.7699890136719,0.0,0.0,-0.0
