Date,price,shares,net shares,net cash
2009-01-02,45.25,0.0,,
2009-01-05,46.16999816894531,0.0,0.0,-0.0
2009-01-06,46.310001373291016,0.0,0.0,-0.0
2009-01-07,44.7599983215332,0.0,0.0,-0.0
2009-01-08,44.790000915527344,0.0,0.0,-0.0
2009-01-09,44.45000076293945,0.0,0.0,-0.0
2009-01-12,43.7400016784668,0.0,0.0,-0.0
2009-01-13,42.459999084472656,0.0,0.0,-0.0
2009-01-14,41.20000076293945,0.0,0.0,-0.0
2009-01-15,40.959999084472656,0.0,0.0,-0.0
2009-01-16,42.459999084472656,0.0,0.0,-0.0
2009-01-20,40.36000061035156,0.0,0.0,-0.0
2009-01-21,42.27000045776367,0.0,0.0,-0.0
2009-01-22,42.2599983215332,0.0,0.0,-0.0
2009-01-23,41.97999954223633,0.0,0.0,-0.0
2009-01-26,43.0099983215332,0.0,0.0,-0.0
2009-01-27,43.220001220703125,0.0,0.0,-0.0
2009-01-28,43.2400016784668,0.0,0.0,-0.0
2009-01-29,40.709999084472656,0.0,0.0,-0.0
2009-01-30,42.310001373291016,0.0,0.0,-0.0
2009-02-02,40.79999923706055,0.0,0.0,-0.0
2009-02-03,42.09000015258789,0.0,0.0,-0.0
2009-02-04,41.970001220703125,0.0,0.0,-0.0
2009-02-05,42.720001220703125,0.0,0.0,-0.0
2009-02-06,42.91999816894531,0.0,0.0,-0.0
2009-02-09,42.79999923706055,0.0,0.0,-0.0
2009-02-10,40.209999084472656,0.0,0.0,-0.0
2009-02-11,40.33000183105469,0.0,0.0,-0.0
2009-02-12,39.86000061035156,0.0,0.0,-0.0
2009-02-13,40.47999954223633,0.0,0.0,-0.0
2009-02-17,38.43000030517578,0.0,0.0,-0.0
2009-02-18,37.97999954223633,0.0,0.0,-0.0
2009-02-19,37.56999969482422,0.0,0.0,-0.0
2009-02-20,36.310001373291016,0.0,0.0,-0.0
2009-02-23,34.459999084472656,0.0,0.0,-0.0
2009-02-24,35.439998626708984,0.0,0.0,-0.0
2009-02-25,33.90999984741211,0.0,0.0,-0.0
2009-02-26,32.709999084472656,0.0,0.0,-0.0
2009-02-27,31.440000534057617,0.0,0.0,-0.0
2009-03-02,29.510000228881836,0.0,0.0,-0.0
2009-03-03,29.360000610351562,0.0,0.0,-0.0
2009-03-04,30.309999465942383,0.0,0.0,-0.0
2009-03-05,29.389999389648438,0.0,0.0,-0.0
2009-03-06,30.100000381469727,0.0,0.0,-0.0
