Date,price,shares,net shares,net cash
2013-01-02,110.38999938964844,0.0,,
2013-01-03,109.91999816894531,0.0,0.0,-0.0
2013-01-04,110.5,0.0,0.0,-0.0
2013-01-07,109.75,0.0,0.0,-0.0
2013-01-08,109.26000213623047,0.0,0.0,-0.0
2013-01-09,109.54000091552734,0.0,0.0,-0.0
2013-01-10,110.47000122070312,0.0,0.0,-0.0
2013-01-11,111.7300033569336,0.0,0.0,-0.0
2013-01-14,112.8499984741211,0.0,0.0,-0.0
2013-01-15,113.44000244140625,0.0,0.0,-0.0
2013-01-16,113.97000122070312,0.0,0.0,-0.0
2013-01-17,114.73999786376953,0.0,0.0,-0.0
2013-01-18,115.23999786376953,0.0,0.0,-0.0
2013-01-22,115.91000366210938,0.0,0.0,-0.0
2013-01-23,115.01000213623047,0.0,0.0,-0.0
2013-01-24,115.5,0.0,0.0,-0.0
2013-01-25,116.19999694824219,0.0,0.0,-0.0
2013-01-28,116.04000091552734,0.0,0.0,-0.0
2013-01-29,117.20999908447266,0.0,0.0,-0.0
2013-01-30,116.44999694824219,0.0,0.0,-0.0
2013-01-31,115.1500015258789,0.0,0.0,-0.0
2013-02-01,116.5,0.0,0.0,-0.0
2013-02-04,115.19999694824219,0.0,0.0,-0.0
2013-02-05,115.80999755859375,0.0,0.0,-0.0
2013-02-06,115.91000366210938,0.0,0.0,-0.0
2013-02-07,115.0199966430664,0.0,0.0,-0.0
2013-02-08,115.63999938964844,0.0,0.0,-0.0
2013-02-11,115.63999938964844,0.0,0.0,-0.0
2013-02-12,116.5,0.0,0.0,-0.0
2013-02-13,115.52999877929688,100.0,100.0,-11552.999877929688
2013-02-14,115.70999908447266,100.0,0.0,-0.0
2013-02-15,114.95999908447266,100.0,0.0,-0.0
2013-02-19,115.91999816894531,100.0,0.0,-0.0
2013-02-20,114.98999786376953,100.0,0.0,-0.0
2013-02-21,114.98999786376953,100.0,0.0,-0.0
2013-02-22,115.95999908447266,100.0,0.0,-0.0
2013-02-25,113.54000091552734,100.0,0.0,-0.0
2013-02-26,114.95999908447266,100.0,0.0,-0.0
2013-02-27,116.6500015258789,100.0,0.0,-0.0
2013-02-28,117.1500015258789,100.0,0.0,-0.0
2013-03-01,116.9000015258789,100.0,0.0,-0.0
2013-03-04,117.48999786376953,100.0,0.0,-0.0
2013-03-05,117.93000030517578,100.0,0.0,-0.0
2013-03-06,118.47000122070312,100.0,0.0,-0.0
2013-03-07,118.55999755859375,100.0,0.0,-0.0
2013-03-08,118.56999969482422,100.0,0.0,-0.0
2013-03-11,118.7300033569336,100.0,0.0,-0.0
2013-03-12,118.25,100.0,0.0,-0.0
2013-03-13,118.36000061035156,100.0,0.0,-0.0
2013-03-14,120.0,100.0,0.0,-0.0
2013-03-15,119.68000030517578,100.0,0.0,-0.0
2013-03-18,119.12999725341797,100.0,0.0,-0.0
2013-03-19,119.45999908447266,100.0,0.0,-0.0
2013-03-20,120.3499984741211,100.0,0.0,-0.0
2013-03-21,120.33999633789062,100.0,0.0,-0.0
2013-03-22,121.18000030517578,100.0,0.0,-0.0
2013-03-25,120.18000030517578,100.0,0.0,-0.0
2013-03-26,120.9800033569336,100.0,0.0,-0.0
2013-03-27,120.19000244140625,100.0,0.0,-0.0
2013-03-28,118.81999969482422,100.0,0.0,-0.0
2013-04-01,119.61000061035156,100.0,0.0,-0.0
2013-04-02,119.0,100.0,0.0,-0.0
2013-04-03,117.77999877929688,100.0,0.0,-0.0
2013-04-04,118.06999969482422,100.0,0.0,-0.0
2013-04-05,117.5199966430664,100.0,0.0,-0.0
2013-04-08,117.80999755859375,100.0,0.0,-0.0
2013-04-09,118.63999938964844,100.0,0.0,-0.0
2013-04-10,119.63999938964844,100.0,0.0,-0.0
2013-04-11,120.94999694824219,100.0,0.0,-0.0
2013-04-12,119.94000244140625,100.0,0.0,-0.0
2013-04-15,116.56999969482422,100.0,0.0,-0.0
2013-04-16,117.01000213623047,100.0,0.0,-0.0
2013-04-17,114.80999755859375,0.0,-100.0,11480.999755859375
2013-04-18,115.58999633789062,0.0,0.0,-0.0
2013-04-19,115.9000015258789,0.0,0.0,-0.0
2013-04-22,116.56999969482422,0.0,0.0,-0.0
2013-04-23,117.4800033569336,0.0,0.0,-0.0
2013-04-24,118.27999877929688,0.0,0.0,-0.0
2013-04-25,118.51000213623047,0.0,0.0,-0.0
2013-04-26,120.04000091552734,0.0,0.0,-0.0
2013-04-29,121.31999969482422,0.0,0.0,-0.0
2013-04-30,122.01000213623047,0.0,0.0,-0.0
2013-05-01,120.2699966430664,100.0,100.0,-12026.99966430664
2013-05-02,122.04000091552734,100.0,0.0,-0.0
2013-05-03,123.48999786376953,100.0,0.0,-0.0
2013-05-06,123.25,100.0,0.0,-0.0
2013-05-07,123.04000091552734,100.0,0.0,-0.0
2013-05-08,123.36000061035156,100.0,0.0,-0.0
2013-05-09,123.63999938964844,100.0,0.0,-0.0
2013-05-10,123.2300033569336,100.0,0.0,-0.0
2013-05-13,122.8499984741211,100.0,0.0,-0.0
2013-05-14,125.0,100.0,0.0,-0.0
2013-05-15,123.01000213623047,100.0,0.0,-0.0
2013-05-16,122.76000213623047,100.0,0.0,-0.0
2013-05-17,123.41999816894531,100.0,0.0,-0.0
2013-05-20,124.77999877929688,100.0,0.0,-0.0
2013-05-21,125.94000244140625,100.0,0.0,-0.0
2013-05-22,124.93000030517578,100.0,0.0,-0.0
2013-05-23,125.4000015258789,100.0,0.0,-0.0
2013-05-24,125.44999694824219,100.0,0.0,-0.0
2013-05-28,126.43000030517578,100.0,0.0,-0.0
2013-05-29,125.48999786376953,100.0,0.0,-0.0
2013-05-30,125.11000061035156,100.0,0.0,-0.0
2013-05-31,122.75,100.0,0.0,-0.0
2013-06-03,124.08999633789062,100.0,0.0,-0.0
2013-06-04,122.95999908447266,100.0,0.0,-0.0
2013-06-05,121.56999969482422,100.0,0.0,-0.0
2013-06-06,120.58999633789062,100.0,0.0,-0.0
2013-06-07,121.69999694824219,100.0,0.0,-0.0
2013-06-10,122.69000244140625,100.0,0.0,-0.0
2013-06-11,121.44999694824219,100.0,0.0,-0.0
2013-06-12,119.97000122070312,0.0,-100.0,11997.000122070312
2013-06-13,121.66000366210938,0.0,0.0,-0.0
2013-06-14,120.27999877929688,0.0,0.0,-0.0
2013-06-17,121.22000122070312,0.0,0.0,-0.0
2013-06-18,121.5199966430664,0.0,0.0,-0.0
2013-06-19,120.5,0.0,0.0,-0.0
2013-06-20,117.94999694824219,0.0,0.0,-0.0
2013-06-21,118.93000030517578,0.0,0.0,-0.0
2013-06-24,116.81999969482422,0.0,0.0,-0.0
2013-06-25,117.44999694824219,0.0,0.0,-0.0
2013-06-26,118.1500015258789,0.0,0.0,-0.0
2013-06-27,118.70999908447266,0.0,0.0,-0.0
2013-06-28,118.33999633789062,0.0,0.0,-0.0
2013-07-01,119.08000183105469,0.0,0.0,-0.0
2013-07-02,119.1500015258789,0.0,0.0,-0.0
2013-07-03,119.08000183105469,0.0,0.0,-0.0
2013-07-05,120.51000213623047,0.0,0.0,-0.0
