Date,price,shares,net shares,net cash
2010-01-04,41.531009674072266,0.0,,
2010-01-05,43.381263732910156,0.0,0.0,-0.0
2010-01-06,44.14982604980469,0.0,0.0,-0.0
2010-01-07,44.17829132080078,0.0,0.0,-0.0
2010-01-08,44.33485412597656,0.0,0.0,-0.0
2010-01-11,43.77977752685547,0.0,0.0,-0.0
2010-01-12,43.92210388183594,0.0,0.0,-0.0
2010-01-13,43.76554489135742,0.0,0.0,-0.0
2010-01-14,43.45242691040039,0.0,0.0,-0.0
2010-01-15,42.683860778808594,0.0,0.0,-0.0
2010-01-19,43.665916442871094,0.0,0.0,-0.0
2010-01-20,43.21046829223633,0.0,0.0,-0.0
2010-01-21,40.805145263671875,0.0,0.0,-0.0
2010-01-22,39.50996780395508,0.0,0.0,-0.0
2010-01-25,40.43509292602539,0.0,0.0,-0.0
2010-01-26,39.97964859008789,0.0,0.0,-0.0
2010-01-27,40.193138122558594,0.0,0.0,-0.0
2010-01-28,38.954891204833984,0.0,0.0,-0.0
2010-01-29,38.55637741088867,0.0,0.0,-0.0
2010-02-01,40.74821472167969,0.0,0.0,-0.0
2010-02-02,39.23954772949219,0.0,0.0,-0.0
2010-02-03,39.253780364990234,0.0,0.0,-0.0
2010-02-04,37.873207092285156,0.0,0.0,-0.0
2010-02-05,37.745113372802734,0.0,0.0,-0.0
2010-02-08,37.26120376586914,0.0,0.0,-0.0
2010-02-09,39.55266571044922,0.0,0.0,-0.0
2010-02-10,39.154151916503906,0.0,0.0,-0.0
2010-02-11,39.65229415893555,0.0,0.0,-0.0
2010-02-12,39.55266571044922,0.0,0.0,-0.0
2010-02-16,40.53472137451172,0.0,0.0,-0.0
2010-02-17,40.9047737121582,0.0,0.0,-0.0
2010-02-18,42.04338836669922,0.0,0.0,-0.0
2010-02-19,41.6021728515625,0.0,0.0,-0.0
2010-02-22,41.787200927734375,0.0,0.0,-0.0
2010-02-23,41.10403060913086,0.0,0.0,-0.0
2010-02-24,41.27482223510742,0.0,0.0,-0.0
2010-02-25,40.30699920654297,0.0,0.0,-0.0
2010-02-26,40.29276657104492,0.0,0.0,-0.0
2010-03-01,40.83361053466797,100.0,100.0,-4083.361053466797
2010-03-02,41.10403060913086,100.0,0.0,-0.0
2010-03-03,42.14301681518555,100.0,0.0,-0.0
2010-03-04,42.07185363769531,100.0,0.0,-0.0
2010-03-05,42.69809341430664,100.0,0.0,-0.0
2010-03-08,41.98645782470703,100.0,0.0,-0.0
2010-03-09,41.58794021606445,100.0,0.0,-0.0
2010-03-10,41.3602180480957,100.0,0.0,-0.0
2010-03-11,41.84413146972656,100.0,0.0,-0.0
2010-03-12,42.470367431640625,100.0,0.0,-0.0
2010-03-15,42.69809341430664,100.0,0.0,-0.0
2010-03-16,43.3243293762207,100.0,0.0,-0.0
2010-03-17,43.310096740722656,100.0,0.0,-0.0
2010-03-18,42.69809341430664,100.0,0.0,-0.0
2010-03-19,41.20365905761719,100.0,0.0,-0.0
2010-03-22,42.11455154418945,100.0,0.0,-0.0
2010-03-23,42.6553955078125,100.0,0.0,-0.0
2010-03-24,43.21046829223633,100.0,0.0,-0.0
2010-03-25,42.52730178833008,100.0,0.0,-0.0
2010-03-26,42.78348922729492,100.0,0.0,-0.0
2010-03-29,42.014923095703125,100.0,0.0,-0.0
2010-03-30,42.35650634765625,100.0,0.0,-0.0
2010-03-31,42.08608627319336,100.0,0.0,-0.0
2010-04-01,43.139305114746094,100.0,0.0,-0.0
2010-04-05,44.10712814331055,100.0,0.0,-0.0
2010-04-06,44.34908676147461,100.0,0.0,-0.0
2010-04-07,43.82247543334961,100.0,0.0,-0.0
2010-04-08,43.73707962036133,100.0,0.0,-0.0
2010-04-09,43.80824279785156,100.0,0.0,-0.0
2010-04-12,43.751312255859375,100.0,0.0,-0.0
2010-04-13,43.55205535888672,100.0,0.0,-0.0
2010-04-14,44.4060173034668,100.0,0.0,-0.0
2010-04-15,44.57680892944336,100.0,0.0,-0.0
2010-04-16,43.46665954589844,100.0,0.0,-0.0
2010-04-19,43.794010162353516,100.0,0.0,-0.0
2010-04-20,43.21046829223633,100.0,0.0,-0.0
2010-04-21,43.139305114746094,100.0,0.0,-0.0
2010-04-22,43.09660720825195,100.0,0.0,-0.0
2010-04-23,44.34908676147461,100.0,0.0,-0.0
2010-04-26,44.591041564941406,100.0,0.0,-0.0
2010-04-27,42.79772186279297,100.0,0.0,-0.0
2010-04-28,45.302677154541016,100.0,0.0,-0.0
2010-04-29,45.28844451904297,100.0,0.0,-0.0
2010-04-30,43.8794059753418,100.0,0.0,-0.0
2010-05-03,44.71913528442383,100.0,0.0,-0.0
2010-05-04,41.71603775024414,100.0,0.0,-0.0
2010-05-05,40.43509292602539,100.0,0.0,-0.0
2010-05-06,37.972835540771484,100.0,0.0,-0.0
2010-05-07,36.29337692260742,0.0,-100.0,3629.337692260742
2010-05-10,39.05452346801758,0.0,0.0,-0.0
2010-05-11,39.69499206542969,0.0,0.0,-0.0
2010-05-12,41.032867431640625,0.0,0.0,-0.0
2010-05-13,41.345985412597656,0.0,0.0,-0.0
2010-05-14,38.912193298339844,0.0,0.0,-0.0
2010-05-17,38.28595733642578,0.0,0.0,-0.0
2010-05-18,38.04399871826172,0.0,0.0,-0.0
2010-05-19,37.77357864379883,0.0,0.0,-0.0
2010-05-20,36.578033447265625,0.0,0.0,-0.0
2010-05-21,37.6739501953125,0.0,0.0,-0.0
2010-05-24,36.805755615234375,0.0,0.0,-0.0
2010-05-25,38.129398345947266,0.0,0.0,-0.0
2010-05-26,37.745113372802734,0.0,0.0,-0.0
2010-05-27,39.9511833190918,0.0,0.0,-0.0
