Date,price,shares,net shares,net cash
2018-01-02,83.2300033569336,0.0,,
2018-01-03,82.97000122070312,0.0,0.0,-0.0
2018-01-04,82.31999969482422,0.0,0.0,-0.0
2018-01-05,81.94000244140625,0.0,0.0,-0.0
2018-01-08,82.19999694824219,0.0,0.0,-0.0
2018-01-09,81.23999786376953,0.0,0.0,-0.0
2018-01-10,80.11000061035156,0.0,0.0,-0.0
2018-01-11,79.27999877929688,0.0,0.0,-0.0
2018-01-12,78.9000015258789,0.0,0.0,-0.0
2018-01-16,78.41999816894531,0.0,0.0,-0.0
2018-01-17,78.41000366210938,0.0,0.0,-0.0
2018-01-18,77.33999633789062,0.0,0.0,-0.0
2018-01-19,76.81999969482422,0.0,0.0,-0.0
2018-01-22,76.94999694824219,0.0,0.0,-0.0
2018-01-23,77.70999908447266,0.0,0.0,-0.0
2018-01-24,77.23999786376953,0.0,0.0,-0.0
2018-01-25,78.9000015258789,0.0,0.0,-0.0
2018-01-26,78.83000183105469,0.0,0.0,-0.0
2018-01-29,77.29000091552734,0.0,0.0,-0.0
2018-01-30,77.66000366210938,0.0,0.0,-0.0
2018-01-31,78.5,0.0,0.0,-0.0
2018-02-01,76.83999633789062,0.0,0.0,-0.0
2018-02-02,76.52999877929688,0.0,0.0,-0.0
2018-02-05,75.80999755859375,0.0,0.0,-0.0
2018-02-06,74.48999786376953,0.0,0.0,-0.0
2018-02-07,74.4000015258789,0.0,0.0,-0.0
2018-02-08,74.31999969482422,0.0,0.0,-0.0
2018-02-09,76.0999984741211,0.0,0.0,-0.0
2018-02-12,76.80999755859375,0.0,0.0,-0.0
2018-02-13,77.08000183105469,0.0,0.0,-0.0
2018-02-14,75.4800033569336,0.0,0.0,-0.0
2018-02-15,76.19999694824219,0.0,0.0,-0.0
2018-02-16,76.69999694824219,0.0,0.0,-0.0
2018-02-20,75.69000244140625,0.0,0.0,-0.0
2018-02-21,75.33000183105469,0.0,0.0,-0.0
2018-02-22,75.54000091552734,0.0,0.0,-0.0
2018-02-23,77.22000122070312,0.0,0.0,-0.0
2018-02-26,77.91999816894531,0.0,0.0,-0.0
2018-02-27,76.33000183105469,0.0,0.0,-0.0
2018-02-28,75.33999633789062,0.0,0.0,-0.0
2018-03-01,75.55999755859375,0.0,0.0,-0.0
2018-03-02,75.3499984741211,0.0,0.0,-0.0
2018-03-05,77.48999786376953,0.0,0.0,-0.0
2018-03-06,75.86000061035156,0.0,0.0,-0.0
2018-03-07,75.25,0.0,0.0,-0.0
2018-03-08,75.98999786376953,0.0,0.0,-0.0
2018-03-09,76.12999725341797,0.0,0.0,-0.0
2018-03-12,76.55000305175781,0.0,0.0,-0.0
2018-03-13,76.47000122070312,0.0,0.0,-0.0
2018-03-14,77.0,0.0,0.0,-0.0
2018-03-15,76.73999786376953,0.0,0.0,-0.0
2018-03-16,77.58999633789062,0.0,0.0,-0.0
2018-03-19,77.04000091552734,0.0,0.0,-0.0
2018-03-20,76.43000030517578,0.0,0.0,-0.0
2018-03-21,76.18000030517578,0.0,0.0,-0.0
2018-03-22,76.19000244140625,0.0,0.0,-0.0
2018-03-23,75.16999816894531,0.0,0.0,-0.0
2018-03-26,75.91999816894531,0.0,0.0,-0.0
2018-03-27,77.0999984741211,0.0,0.0,-0.0
2018-03-28,77.41999816894531,0.0,0.0,-0.0
2018-03-29,77.47000122070312,0.0,0.0,-0.0
2018-04-02,77.0999984741211,0.0,0.0,-0.0
2018-04-03,77.26000213623047,0.0,0.0,-0.0
2018-04-04,77.70999908447266,0.0,0.0,-0.0
2018-04-05,78.5999984741211,100.0,100.0,-7859.999847412109
2018-04-06,78.16000366210938,100.0,0.0,-0.0
2018-04-09,78.47000122070312,100.0,0.0,-0.0
2018-04-10,77.5199966430664,100.0,0.0,-0.0
2018-04-11,77.08000183105469,100.0,0.0,-0.0
2018-04-12,76.13999938964844,100.0,0.0,-0.0
