Date,price,shares,net shares,net cash
2011-01-03,49.54999923706055,0.0,,
2011-01-04,49.70000076293945,0.0,0.0,-0.0
2011-01-05,49.369998931884766,0.0,0.0,-0.0
2011-01-06,49.31999969482422,0.0,0.0,-0.0
2011-01-07,49.540000915527344,0.0,0.0,-0.0
2011-01-10,49.22999954223633,0.0,0.0,-0.0
2011-01-11,49.25,0.0,0.0,-0.0
2011-01-12,49.560001373291016,0.0,0.0,-0.0
2011-01-13,49.959999084472656,0.0,0.0,-0.0
2011-01-14,49.83000183105469,0.0,0.0,-0.0
2011-01-18,50.11000061035156,0.0,0.0,-0.0
2011-01-19,50.349998474121094,0.0,0.0,-0.0
2011-01-20,50.529998779296875,0.0,0.0,-0.0
2011-01-21,49.869998931884766,0.0,0.0,-0.0
2011-01-24,50.54999923706055,0.0,0.0,-0.0
2011-01-25,50.650001525878906,0.0,0.0,-0.0
2011-01-26,50.5,0.0,0.0,-0.0
2011-01-27,50.619998931884766,0.0,0.0,-0.0
2011-01-28,50.06999969482422,0.0,0.0,-0.0
2011-01-31,49.90999984741211,0.0,0.0,-0.0
2011-02-01,50.11000061035156,0.0,0.0,-0.0
2011-02-02,49.81999969482422,0.0,0.0,-0.0
2011-02-03,49.869998931884766,0.0,0.0,-0.0
2011-02-04,49.59000015258789,0.0,0.0,-0.0
2011-02-07,49.88999938964844,0.0,0.0,-0.0
2011-02-08,49.63999938964844,0.0,0.0,-0.0
2011-02-09,49.939998626708984,0.0,0.0,-0.0
2011-02-10,50.09000015258789,0.0,0.0,-0.0
2011-02-11,50.099998474121094,0.0,0.0,-0.0
2011-02-14,49.34000015258789,0.0,0.0,-0.0
2011-02-15,49.529998779296875,0.0,0.0,-0.0
2011-02-16,49.220001220703125,0.0,0.0,-0.0
2011-02-17,48.900001525878906,0.0,0.0,-0.0
2011-02-18,49.02000045776367,0.0,0.0,-0.0
2011-02-22,48.88999938964844,0.0,0.0,-0.0
2011-02-23,49.209999084472656,0.0,0.0,-0.0
2011-02-24,48.849998474121094,0.0,0.0,-0.0
2011-02-25,49.40999984741211,0.0,0.0,-0.0
2011-02-28,49.97999954223633,0.0,0.0,-0.0
2011-03-01,49.56999969482422,0.0,0.0,-0.0
2011-03-02,49.58000183105469,0.0,0.0,-0.0
2011-03-03,49.90999984741211,0.0,0.0,-0.0
2011-03-04,49.709999084472656,0.0,0.0,-0.0
2011-03-07,49.84000015258789,0.0,0.0,-0.0
2011-03-08,50.34000015258789,0.0,0.0,-0.0
2011-03-09,50.720001220703125,100.0,100.0,-5072.0001220703125
2011-03-10,50.189998626708984,100.0,0.0,-0.0
2011-03-11,50.27000045776367,100.0,0.0,-0.0
2011-03-14,49.880001068115234,100.0,0.0,-0.0
2011-03-15,49.72999954223633,100.0,0.0,-0.0
2011-03-16,49.099998474121094,100.0,0.0,-0.0
2011-03-17,49.290000915527344,100.0,0.0,-0.0
2011-03-18,49.5099983215332,100.0,0.0,-0.0
2011-03-21,50.150001525878906,100.0,0.0,-0.0
2011-03-22,49.790000915527344,100.0,0.0,-0.0
2011-03-23,49.709999084472656,100.0,0.0,-0.0
2011-03-24,49.91999816894531,0.0,-100.0,4991.999816894531
2011-03-25,50.0099983215332,0.0,0.0,-0.0
2011-03-28,50.119998931884766,0.0,0.0,-0.0
2011-03-29,50.619998931884766,0.0,0.0,-0.0
2011-03-30,50.720001220703125,100.0,100.0,-5072.0001220703125
2011-03-31,50.720001220703125,100.0,0.0,-0.0
2011-04-01,51.04999923706055,100.0,0.0,-0.0
2011-04-04,51.02000045776367,100.0,0.0,-0.0
2011-04-05,50.939998626708984,100.0,0.0,-0.0
2011-04-06,51.220001220703125,100.0,0.0,-0.0
2011-04-07,50.939998626708984,100.0,0.0,-0.0
2011-04-08,50.900001525878906,100.0,0.0,-0.0
2011-04-11,50.220001220703125,100.0,0.0,-0.0
2011-04-12,49.970001220703125,100.0,0.0,-0.0
2011-04-13,50.099998474121094,100.0,0.0,-0.0
2011-04-14,50.09000015258789,100.0,0.0,-0.0
2011-04-15,50.709999084472656,100.0,0.0,-0.0
2011-04-18,50.22999954223633,100.0,0.0,-0.0
2011-04-19,50.150001525878906,100.0,0.0,-0.0
2011-04-20,50.709999084472656,100.0,0.0,-0.0
2011-04-21,50.68000030517578,100.0,0.0,-0.0
2011-04-25,50.689998626708984,100.0,0.0,-0.0
2011-04-26,51.08000183105469,100.0,0.0,-0.0
2011-04-27,51.560001373291016,100.0,0.0,-0.0
2011-04-28,51.959999084472656,100.0,0.0,-0.0
2011-04-29,52.119998931884766,100.0,0.0,-0.0
2011-05-02,52.29999923706055,100.0,0.0,-0.0
2011-05-03,52.79999923706055,100.0,0.0,-0.0
2011-05-04,52.9900016784668,100.0,0.0,-0.0
2011-05-05,52.75,100.0,0.0,-0.0
2011-05-06,53.099998474121094,100.0,0.0,-0.0
2011-05-09,53.09000015258789,100.0,0.0,-0.0
2011-05-10,53.54999923706055,100.0,0.0,-0.0
2011-05-11,53.689998626708984,100.0,0.0,-0.0
2011-05-12,54.2400016784668,100.0,0.0,-0.0
2011-05-13,54.119998931884766,100.0,0.0,-0.0
2011-05-16,53.349998474121094,100.0,0.0,-0.0
