Date,price,shares,net shares,net cash
2011-01-03,62.81999969482422,0.0,,
2011-01-04,63.349998474121094,0.0,0.0,-0.0
2011-01-05,63.310001373291016,0.0,0.0,-0.0
2011-01-06,63.209999084472656,0.0,0.0,-0.0
2011-01-07,62.599998474121094,0.0,0.0,-0.0
2011-01-10,62.15999984741211,0.0,0.0,-0.0
2011-01-11,62.27000045776367,0.0,0.0,-0.0
2011-01-12,62.5,0.0,0.0,-0.0
2011-01-13,62.90999984741211,0.0,0.0,-0.0
2011-01-14,62.54999923706055,0.0,0.0,-0.0
2011-01-18,62.099998474121094,0.0,0.0,-0.0
2011-01-19,62.560001373291016,0.0,0.0,-0.0
2011-01-20,62.86000061035156,0.0,0.0,-0.0
2011-01-21,62.65999984741211,0.0,0.0,-0.0
2011-01-24,62.220001220703125,0.0,0.0,-0.0
2011-01-25,61.08000183105469,0.0,0.0,-0.0
2011-01-26,60.599998474121094,0.0,0.0,-0.0
2011-01-27,60.68000030517578,0.0,0.0,-0.0
2011-01-28,60.0099983215332,0.0,0.0,-0.0
2011-01-31,59.77000045776367,0.0,0.0,-0.0
2011-02-01,60.630001068115234,0.0,0.0,-0.0
2011-02-02,60.619998931884766,0.0,0.0,-0.0
2011-02-03,60.79999923706055,0.0,0.0,-0.0
2011-02-04,60.84000015258789,0.0,0.0,-0.0
2011-02-07,60.869998931884766,0.0,0.0,-0.0
2011-02-08,60.939998626708984,0.0,0.0,-0.0
2011-02-09,60.880001068115234,0.0,0.0,-0.0
2011-02-10,60.93000030517578,0.0,0.0,-0.0
2011-02-11,60.70000076293945,0.0,0.0,-0.0
2011-02-14,60.70000076293945,0.0,0.0,-0.0
2011-02-15,60.619998931884766,0.0,0.0,-0.0
2011-02-16,60.52000045776367,0.0,0.0,-0.0
2011-02-17,60.790000915527344,0.0,0.0,-0.0
2011-02-18,61.11000061035156,0.0,0.0,-0.0
2011-02-22,60.650001525878906,0.0,0.0,-0.0
2011-02-23,60.38999938964844,0.0,0.0,-0.0
2011-02-24,60.25,0.0,0.0,-0.0
2011-02-25,59.63999938964844,0.0,0.0,-0.0
2011-02-28,61.439998626708984,0.0,0.0,-0.0
2011-03-01,60.70000076293945,0.0,0.0,-0.0
2011-03-02,60.810001373291016,0.0,0.0,-0.0
2011-03-03,61.04999923706055,0.0,0.0,-0.0
2011-03-04,61.060001373291016,0.0,0.0,-0.0
2011-03-07,60.400001525878906,0.0,0.0,-0.0
2011-03-08,60.709999084472656,0.0,0.0,-0.0
2011-03-09,60.400001525878906,0.0,0.0,-0.0
2011-03-10,59.61000061035156,0.0,0.0,-0.0
2011-03-11,59.689998626708984,0.0,0.0,-0.0
2011-03-14,59.130001068115234,0.0,0.0,-0.0
2011-03-15,58.47999954223633,0.0,0.0,-0.0
2011-03-16,57.65999984741211,0.0,0.0,-0.0
2011-03-17,58.130001068115234,0.0,0.0,-0.0
2011-03-18,58.56999969482422,0.0,0.0,-0.0
2011-03-21,58.83000183105469,0.0,0.0,-0.0
2011-03-22,58.790000915527344,0.0,0.0,-0.0
2011-03-23,58.720001220703125,0.0,0.0,-0.0
2011-03-24,59.029998779296875,0.0,0.0,-0.0
2011-03-25,58.97999954223633,0.0,0.0,-0.0
2011-03-28,59.2400016784668,0.0,0.0,-0.0
2011-03-29,59.220001220703125,0.0,0.0,-0.0
2011-03-30,59.380001068115234,0.0,0.0,-0.0
2011-03-31,59.25,0.0,0.0,-0.0
2011-04-01,59.4900016784668,0.0,0.0,-0.0
2011-04-04,60.150001525878906,0.0,0.0,-0.0
2011-04-05,59.79999923706055,0.0,0.0,-0.0
