Date,price,shares,net shares,net cash
2010-01-04,42.849998474121094,0.0,,
2010-01-05,43.68000030517578,0.0,0.0,-0.0
2010-01-06,43.91999816894531,0.0,0.0,-0.0
2010-01-07,44.790000915527344,0.0,0.0,-0.0
2010-01-08,44.68000030517578,0.0,0.0,-0.0
2010-01-11,44.529998779296875,0.0,0.0,-0.0
2010-01-12,43.4900016784668,0.0,0.0,-0.0
2010-01-13,44.25,0.0,0.0,-0.0
2010-01-14,44.689998626708984,0.0,0.0,-0.0
2010-01-15,43.68000030517578,0.0,0.0,-0.0
2010-01-19,43.279998779296875,0.0,0.0,-0.0
2010-01-20,43.400001525878906,0.0,0.0,-0.0
2010-01-21,40.540000915527344,0.0,0.0,-0.0
2010-01-22,39.15999984741211,0.0,0.0,-0.0
2010-01-25,39.209999084472656,0.0,0.0,-0.0
2010-01-26,38.439998626708984,0.0,0.0,-0.0
2010-01-27,39.33000183105469,0.0,0.0,-0.0
2010-01-28,39.47999954223633,0.0,0.0,-0.0
2010-01-29,38.939998626708984,0.0,0.0,-0.0
2010-02-01,39.630001068115234,0.0,0.0,-0.0
2010-02-02,40.54999923706055,0.0,0.0,-0.0
2010-02-03,40.290000915527344,0.0,0.0,-0.0
2010-02-04,38.349998474121094,0.0,0.0,-0.0
2010-02-05,38.29999923706055,0.0,0.0,-0.0
2010-02-08,37.70000076293945,0.0,0.0,-0.0
2010-02-09,38.38999938964844,0.0,0.0,-0.0
2010-02-10,38.869998931884766,0.0,0.0,-0.0
2010-02-11,39.02000045776367,0.0,0.0,-0.0
2010-02-12,38.95000076293945,0.0,0.0,-0.0
2010-02-16,40.06999969482422,0.0,0.0,-0.0
2010-02-17,40.040000915527344,0.0,0.0,-0.0
2010-02-18,40.40999984741211,0.0,0.0,-0.0
2010-02-19,40.029998779296875,0.0,0.0,-0.0
2010-02-22,40.849998474121094,0.0,0.0,-0.0
2010-02-23,39.880001068115234,0.0,0.0,-0.0
2010-02-24,40.849998474121094,0.0,0.0,-0.0
2010-02-25,40.63999938964844,0.0,0.0,-0.0
2010-02-26,41.970001220703125,0.0,0.0,-0.0
2010-03-01,41.83000183105469,0.0,0.0,-0.0
2010-03-02,41.619998931884766,0.0,0.0,-0.0
2010-03-03,41.529998779296875,0.0,0.0,-0.0
2010-03-04,41.91999816894531,100.0,100.0,-4191.999816894531
2010-03-05,42.810001373291016,100.0,0.0,-0.0
2010-03-08,42.59000015258789,100.0,0.0,-0.0
2010-03-09,42.41999816894531,100.0,0.0,-0.0
2010-03-10,42.93000030517578,100.0,0.0,-0.0
2010-03-11,43.18000030517578,100.0,0.0,-0.0
2010-03-12,43.150001525878906,100.0,0.0,-0.0
2010-03-15,43.06999969482422,100.0,0.0,-0.0
2010-03-16,43.2400016784668,100.0,0.0,-0.0
2010-03-17,43.790000915527344,100.0,0.0,-0.0
2010-03-18,43.63999938964844,100.0,0.0,-0.0
2010-03-19,43.45000076293945,100.0,0.0,-0.0
2010-03-22,43.7400016784668,100.0,0.0,-0.0
2010-03-23,44.58000183105469,100.0,0.0,-0.0
2010-03-24,44.939998626708984,100.0,0.0,-0.0
2010-03-25,44.939998626708984,100.0,0.0,-0.0
2010-03-26,45.02000045776367,100.0,0.0,-0.0
2010-03-29,44.86000061035156,100.0,0.0,-0.0
2010-03-30,44.58000183105469,100.0,0.0,-0.0
2010-03-31,44.75,100.0,0.0,-0.0
2010-04-01,45.18000030517578,100.0,0.0,-0.0
2010-04-05,45.34000015258789,100.0,0.0,-0.0
2010-04-06,45.84000015258789,100.0,0.0,-0.0
2010-04-07,45.31999969482422,100.0,0.0,-0.0
2010-04-08,45.7599983215332,100.0,0.0,-0.0
2010-04-09,45.97999954223633,100.0,0.0,-0.0
2010-04-12,46.13999938964844,100.0,0.0,-0.0
2010-04-13,45.869998931884766,100.0,0.0,-0.0
2010-04-14,47.72999954223633,100.0,0.0,-0.0
2010-04-15,47.810001373291016,100.0,0.0,-0.0
2010-04-16,45.54999923706055,100.0,0.0,-0.0
2010-04-19,45.38999938964844,100.0,0.0,-0.0
2010-04-20,45.880001068115234,100.0,0.0,-0.0
2010-04-21,45.349998474121094,100.0,0.0,-0.0
