Date,price,shares,net shares,net cash
2013-01-02,37.599998474121094,0.0,,
2013-01-03,37.599998474121094,0.0,0.0,-0.0
2013-01-04,37.65999984741211,0.0,0.0,-0.0
2013-01-07,37.29999923706055,0.0,0.0,-0.0
2013-01-08,37.040000915527344,0.0,0.0,-0.0
2013-01-09,37.029998779296875,0.0,0.0,-0.0
2013-01-10,36.959999084472656,0.0,0.0,-0.0
2013-01-11,36.90999984741211,0.0,0.0,-0.0
2013-01-14,36.9900016784668,0.0,0.0,-0.0
2013-01-15,37.31999969482422,0.0,0.0,-0.0
2013-01-16,37.31999969482422,0.0,0.0,-0.0
2013-01-17,37.5099983215332,0.0,0.0,-0.0
2013-01-18,37.70000076293945,0.0,0.0,-0.0
2013-01-22,37.130001068115234,0.0,0.0,-0.0
2013-01-23,37.130001068115234,0.0,0.0,-0.0
2013-01-24,37.11000061035156,0.0,0.0,-0.0
2013-01-25,37.04999923706055,0.0,0.0,-0.0
2013-01-28,37.0099983215332,0.0,0.0,-0.0
2013-01-29,37.41999816894531,0.0,0.0,-0.0
2013-01-30,37.5,0.0,0.0,-0.0
2013-01-31,37.2400016784668,0.0,0.0,-0.0
2013-02-01,37.540000915527344,0.0,0.0,-0.0
2013-02-04,37.349998474121094,0.0,0.0,-0.0
2013-02-05,38.13999938964844,0.0,0.0,-0.0
2013-02-06,38.310001373291016,0.0,0.0,-0.0
2013-02-07,38.90999984741211,0.0,0.0,-0.0
2013-02-08,38.77000045776367,0.0,0.0,-0.0
2013-02-11,38.61000061035156,0.0,0.0,-0.0
2013-02-12,37.560001373291016,0.0,0.0,-0.0
2013-02-13,37.209999084472656,100.0,100.0,-3720.9999084472656
2013-02-14,36.84000015258789,100.0,0.0,-0.0
2013-02-15,37.41999816894531,100.0,0.0,-0.0
2013-02-19,37.66999816894531,100.0,0.0,-0.0
2013-02-20,37.72999954223633,100.0,0.0,-0.0
2013-02-21,37.709999084472656,100.0,0.0,-0.0
2013-02-22,38.52000045776367,100.0,0.0,-0.0
2013-02-25,37.720001220703125,100.0,0.0,-0.0
2013-02-26,38.11000061035156,100.0,0.0,-0.0
2013-02-27,38.45000076293945,100.0,0.0,-0.0
2013-02-28,38.720001220703125,100.0,0.0,-0.0
2013-03-01,38.70000076293945,100.0,0.0,-0.0
2013-03-04,38.81999969482422,100.0,0.0,-0.0
2013-03-05,38.68000030517578,100.0,0.0,-0.0
2013-03-06,39.02000045776367,100.0,0.0,-0.0
2013-03-07,39.119998931884766,100.0,0.0,-0.0
2013-03-08,39.220001220703125,100.0,0.0,-0.0
2013-03-11,39.310001373291016,100.0,0.0,-0.0
2013-03-12,38.959999084472656,100.0,0.0,-0.0
2013-03-13,38.59000015258789,100.0,0.0,-0.0
2013-03-14,39.02000045776367,100.0,0.0,-0.0
2013-03-15,38.83000183105469,100.0,0.0,-0.0
2013-03-18,38.7599983215332,100.0,0.0,-0.0
2013-03-19,39.33000183105469,100.0,0.0,-0.0
2013-03-20,39.869998931884766,100.0,0.0,-0.0
2013-03-21,40.06999969482422,100.0,0.0,-0.0
2013-03-22,40.040000915527344,100.0,0.0,-0.0
2013-03-25,40.119998931884766,100.0,0.0,-0.0
2013-03-26,40.689998626708984,100.0,0.0,-0.0
2013-03-27,40.220001220703125,100.0,0.0,-0.0
2013-03-28,40.439998626708984,100.0,0.0,-0.0
2013-04-01,40.45000076293945,100.0,0.0,-0.0
