Date,price,shares,net shares,net cash
2015-01-02,93.26000213623047,0.0,,
2015-01-05,92.2300033569336,0.0,0.0,-0.0
2015-01-06,92.4000015258789,0.0,0.0,-0.0
2015-01-07,94.01000213623047,0.0,0.0,-0.0
2015-01-08,94.36000061035156,0.0,0.0,-0.0
2015-01-09,93.20999908447266,0.0,0.0,-0.0
2015-01-12,93.01000213623047,0.0,0.0,-0.0
2015-01-13,92.83000183105469,0.0,0.0,-0.0
2015-01-14,91.54000091552734,0.0,0.0,-0.0
2015-01-15,91.37999725341797,0.0,0.0,-0.0
2015-01-16,91.48999786376953,0.0,0.0,-0.0
2015-01-20,90.80000305175781,0.0,0.0,-0.0
2015-01-21,90.33999633789062,0.0,0.0,-0.0
2015-01-22,90.88999938964844,0.0,0.0,-0.0
2015-01-23,89.55999755859375,0.0,0.0,-0.0
2015-01-26,90.66999816894531,0.0,0.0,-0.0
2015-01-27,89.56999969482422,0.0,0.0,-0.0
2015-01-28,88.77999877929688,0.0,0.0,-0.0
2015-01-29,93.2699966430664,0.0,0.0,-0.0
2015-01-30,92.44000244140625,0.0,0.0,-0.0
2015-02-02,92.51000213623047,0.0,0.0,-0.0
2015-02-03,93.91999816894531,0.0,0.0,-0.0
2015-02-04,94.05000305175781,0.0,0.0,-0.0
2015-02-05,94.33999633789062,0.0,0.0,-0.0
2015-02-06,93.98999786376953,0.0,0.0,-0.0
2015-02-09,92.72000122070312,0.0,0.0,-0.0
2015-02-10,94.0199966430664,0.0,0.0,-0.0
2015-02-11,94.20999908447266,0.0,0.0,-0.0
2015-02-12,95.08999633789062,0.0,0.0,-0.0
2015-02-13,95.6500015258789,100.0,100.0,-9565.00015258789
2015-02-17,94.3499984741211,100.0,0.0,-0.0
2015-02-18,94.58000183105469,100.0,0.0,-0.0
2015-02-19,94.19000244140625,100.0,0.0,-0.0
2015-02-20,94.19000244140625,100.0,0.0,-0.0
2015-02-23,94.30999755859375,100.0,0.0,-0.0
2015-02-24,94.9800033569336,100.0,0.0,-0.0
2015-02-25,98.66000366210938,100.0,0.0,-0.0
2015-02-26,99.51000213623047,100.0,0.0,-0.0
2015-02-27,98.9000015258789,100.0,0.0,-0.0
2015-03-02,100.0,100.0,0.0,-0.0
2015-03-03,99.73999786376953,100.0,0.0,-0.0
2015-03-04,100.25,100.0,0.0,-0.0
2015-03-05,99.11000061035156,100.0,0.0,-0.0
2015-03-06,97.12999725341797,100.0,0.0,-0.0
2015-03-09,97.70999908447266,100.0,0.0,-0.0
2015-03-10,96.29000091552734,100.0,0.0,-0.0
2015-03-11,94.95999908447266,100.0,0.0,-0.0
2015-03-12,96.25,100.0,0.0,-0.0
