Date,price,shares,net shares,net cash
2009-01-02,20.329999923706055,0.0,,
2009-01-05,20.520000457763672,0.0,0.0,-0.0
2009-01-06,20.760000228881836,0.0,0.0,-0.0
2009-01-07,19.510000228881836,0.0,0.0,-0.0
2009-01-08,20.1200008392334,0.0,0.0,-0.0
2009-01-09,19.520000457763672,0.0,0.0,-0.0
2009-01-12,19.469999313354492,0.0,0.0,-0.0
2009-01-13,19.81999969482422,0.0,0.0,-0.0
2009-01-14,19.09000015258789,0.0,0.0,-0.0
2009-01-15,19.239999771118164,0.0,0.0,-0.0
2009-01-16,19.709999084472656,0.0,0.0,-0.0
2009-01-20,18.479999542236328,0.0,0.0,-0.0
2009-01-21,19.3799991607666,0.0,0.0,-0.0
2009-01-22,17.110000610351562,0.0,0.0,-0.0
2009-01-23,17.200000762939453,0.0,0.0,-0.0
2009-01-26,17.6299991607666,0.0,0.0,-0.0
2009-01-27,17.65999984741211,0.0,0.0,-0.0
2009-01-28,18.040000915527344,0.0,0.0,-0.0
2009-01-29,17.59000015258789,0.0,0.0,-0.0
2009-01-30,17.100000381469727,0.0,0.0,-0.0
2009-02-02,17.829999923706055,0.0,0.0,-0.0
2009-02-03,18.5,0.0,0.0,-0.0
2009-02-04,18.6299991607666,0.0,0.0,-0.0
2009-02-05,19.040000915527344,0.0,0.0,-0.0
2009-02-06,19.65999984741211,0.0,0.0,-0.0
2009-02-09,19.440000534057617,0.0,0.0,-0.0
2009-02-10,18.799999237060547,0.0,0.0,-0.0
2009-02-11,19.209999084472656,0.0,0.0,-0.0
2009-02-12,19.260000228881836,0.0,0.0,-0.0
2009-02-13,19.09000015258789,100.0,100.0,-1909.000015258789
2009-02-17,18.09000015258789,100.0,0.0,-0.0
2009-02-18,18.1200008392334,100.0,0.0,-0.0
2009-02-19,17.90999984741211,100.0,0.0,-0.0
2009-02-20,18.0,100.0,0.0,-0.0
2009-02-23,17.209999084472656,0.0,-100.0,1720.9999084472656
2009-02-24,17.170000076293945,0.0,0.0,-0.0
2009-02-25,16.959999084472656,0.0,0.0,-0.0
2009-02-26,16.420000076293945,0.0,0.0,-0.0
2009-02-27,16.149999618530273,0.0,0.0,-0.0
2009-03-02,15.789999961853027,0.0,0.0,-0.0
2009-03-03,15.880000114440918,0.0,0.0,-0.0
2009-03-04,16.1200008392334,0.0,0.0,-0.0
2009-03-05,15.270000457763672,0.0,0.0,-0.0
2009-03-06,15.279999732971191,0.0,0.0,-0.0
2009-03-09,15.149999618530273,0.0,0.0,-0.0
2009-03-10,16.479999542236328,0.0,0.0,-0.0
2009-03-11,17.110000610351562,0.0,0.0,-0.0
2009-03-12,17.010000228881836,0.0,0.0,-0.0
2009-03-13,16.649999618530273,0.0,0.0,-0.0
2009-03-16,16.25,0.0,0.0,-0.0
2009-03-17,16.899999618530273,0.0,0.0,-0.0
2009-03-18,16.959999084472656,0.0,0.0,-0.0
2009-03-19,17.139999389648438,0.0,0.0,-0.0
2009-03-20,17.059999465942383,0.0,0.0,-0.0
2009-03-23,18.329999923706055,0.0,0.0,-0.0
2009-03-24,17.93000030517578,0.0,0.0,-0.0
2009-03-25,17.8799991607666,0.0,0.0,-0.0
