Date,price,shares,net shares,net cash
2015-01-02,262.44000244140625,0.0,,
2015-01-05,261.6600036621094,0.0,0.0,-0.0
2015-01-06,260.8699951171875,0.0,0.0,-0.0
2015-01-07,265.32000732421875,0.0,0.0,-0.0
2015-01-08,272.5799865722656,0.0,0.0,-0.0
2015-01-09,274.4200134277344,0.0,0.0,-0.0
2015-01-12,271.1000061035156,0.0,0.0,-0.0
2015-01-13,269.1400146484375,0.0,0.0,-0.0
2015-01-14,269.2200012207031,0.0,0.0,-0.0
2015-01-15,270.5899963378906,0.0,0.0,-0.0
2015-01-16,273.82000732421875,0.0,0.0,-0.0
2015-01-20,272.510009765625,0.0,0.0,-0.0
2015-01-21,273.2200012207031,0.0,0.0,-0.0
2015-01-22,277.1099853515625,0.0,0.0,-0.0
2015-01-23,274.010009765625,0.0,0.0,-0.0
2015-01-26,275.2900085449219,0.0,0.0,-0.0
2015-01-27,274.17999267578125,0.0,0.0,-0.0
2015-01-28,270.92999267578125,0.0,0.0,-0.0
2015-01-29,274.8699951171875,0.0,0.0,-0.0
2015-01-30,271.2699890136719,0.0,0.0,-0.0
2015-02-02,272.8599853515625,0.0,0.0,-0.0
2015-02-03,273.57000732421875,0.0,0.0,-0.0
2015-02-04,274.1000061035156,0.0,0.0,-0.0
2015-02-05,277.8999938964844,0.0,0.0,-0.0
2015-02-06,280.30999755859375,0.0,0.0,-0.0
2015-02-09,274.3900146484375,0.0,0.0,-0.0
2015-02-10,280.05999755859375,0.0,0.0,-0.0
2015-02-11,277.95001220703125,0.0,0.0,-0.0
2015-02-12,283.0199890136719,0.0,0.0,-0.0
2015-02-13,285.0,100.0,100.0,-28500.0
2015-02-17,286.1000061035156,100.0,0.0,-0.0
2015-02-18,288.04998779296875,100.0,0.0,-0.0
2015-02-19,286.760009765625,100.0,0.0,-0.0
2015-02-20,289.75,100.0,0.0,-0.0
2015-02-23,289.55999755859375,100.0,0.0,-0.0
2015-02-24,290.6199951171875,100.0,0.0,-0.0
2015-02-25,287.75,100.0,0.0,-0.0
2015-02-26,287.70001220703125,100.0,0.0,-0.0
2015-02-27,285.20001220703125,100.0,0.0,-0.0
2015-03-02,290.8900146484375,100.0,0.0,-0.0
2015-03-03,285.92999267578125,100.0,0.0,-0.0
2015-03-04,285.9100036621094,100.0,0.0,-0.0
2015-03-05,289.1700134277344,100.0,0.0,-0.0
2015-03-06,286.44000244140625,100.0,0.0,-0.0
2015-03-09,285.739990234375,100.0,0.0,-0.0
2015-03-10,281.4599914550781,100.0,0.0,-0.0
2015-03-11,280.95001220703125,100.0,0.0,-0.0
2015-03-12,285.2300109863281,100.0,0.0,-0.0
2015-03-13,285.239990234375,100.0,0.0,-0.0
2015-03-16,288.1400146484375,100.0,0.0,-0.0
2015-03-17,286.04998779296875,100.0,0.0,-0.0
2015-03-18,282.79998779296875,100.0,0.0,-0.0
2015-03-19,284.489990234375,100.0,0.0,-0.0
2015-03-20,290.0,100.0,0.0,-0.0
2015-03-23,287.8599853515625,100.0,0.0,-0.0
2015-03-24,285.8599853515625,100.0,0.0,-0.0
2015-03-25,281.3500061035156,100.0,0.0,-0.0
2015-03-26,279.32000732421875,100.0,0.0,-0.0
2015-03-27,281.67999267578125,100.0,0.0,-0.0
2015-03-30,284.239990234375,100.0,0.0,-0.0
2015-03-31,284.5,100.0,0.0,-0.0
2015-04-01,285.82000732421875,100.0,0.0,-0.0
2015-04-02,284.3500061035156,100.0,0.0,-0.0
2015-04-06,286.8800048828125,100.0,0.0,-0.0
2015-04-07,287.6000061035156,0.0,-100.0,28760.000610351562
2015-04-08,290.6499938964844,100.0,100.0,-29064.999389648438
2015-04-09,291.04998779296875,100.0,0.0,-0.0
2015-04-10,290.6499938964844,100.0,0.0,-0.0
2015-04-13,289.79998779296875,100.0,0.0,-0.0
2015-04-14,290.19000244140625,100.0,0.0,-0.0
2015-04-15,288.7300109863281,100.0,0.0,-0.0
2015-04-16,283.80999755859375,100.0,0.0,-0.0
2015-04-17,282.1400146484375,100.0,0.0,-0.0
2015-04-20,281.9100036621094,100.0,0.0,-0.0
2015-04-21,282.4200134277344,100.0,0.0,-0.0
2015-04-22,281.6400146484375,100.0,0.0,-0.0
2015-04-23,282.3599853515625,100.0,0.0,-0.0
2015-04-24,282.6199951171875,0.0,-100.0,28261.99951171875
2015-04-27,282.9100036621094,0.0,0.0,-0.0
2015-04-28,281.8800048828125,0.0,0.0,-0.0
2015-04-29,279.20001220703125,0.0,0.0,-0.0
2015-04-30,278.0,0.0,0.0,-0.0
2015-05-01,282.1600036621094,0.0,0.0,-0.0
2015-05-04,280.0400085449219,0.0,0.0,-0.0
2015-05-05,274.92999267578125,0.0,0.0,-0.0
2015-05-06,277.8900146484375,0.0,0.0,-0.0
2015-05-07,281.3999938964844,0.0,0.0,-0.0
2015-05-08,287.20001220703125,0.0,0.0,-0.0
2015-05-11,286.95001220703125,0.0,0.0,-0.0
2015-05-12,288.7099914550781,0.0,0.0,-0.0
2015-05-13,287.92999267578125,0.0,0.0,-0.0
2015-05-14,291.29998779296875,0.0,0.0,-0.0
2015-05-15,291.2200012207031,100.0,100.0,-29122.000122070312
2015-05-18,291.04998779296875,100.0,0.0,-0.0
2015-05-19,292.44000244140625,100.0,0.0,-0.0
2015-05-20,287.6700134277344,100.0,0.0,-0.0
2015-05-21,287.45001220703125,100.0,0.0,-0.0
2015-05-22,286.510009765625,100.0,0.0,-0.0
2015-05-26,286.3900146484375,100.0,0.0,-0.0
2015-05-27,289.739990234375,100.0,0.0,-0.0
