Date,price,shares,net shares,net cash
2017-01-03,182.6199951171875,0.0,,
2017-01-04,184.0800018310547,0.0,0.0,-0.0
2017-01-05,184.39999389648438,0.0,0.0,-0.0
2017-01-06,186.8300018310547,0.0,0.0,-0.0
2017-01-09,185.91000366210938,0.0,0.0,-0.0
2017-01-10,184.19000244140625,0.0,0.0,-0.0
2017-01-11,181.99000549316406,0.0,0.0,-0.0
2017-01-12,183.08999633789062,0.0,0.0,-0.0
2017-01-13,184.00999450683594,0.0,0.0,-0.0
2017-01-17,185.3300018310547,0.0,0.0,-0.0
2017-01-18,186.57000732421875,0.0,0.0,-0.0
2017-01-19,182.9199981689453,0.0,0.0,-0.0
2017-01-20,184.52999877929688,0.0,0.0,-0.0
2017-01-23,185.0,0.0,0.0,-0.0
2017-01-24,184.13999938964844,0.0,0.0,-0.0
2017-01-25,182.39999389648438,0.0,0.0,-0.0
2017-01-26,182.08999633789062,0.0,0.0,-0.0
2017-01-27,179.50999450683594,0.0,0.0,-0.0
2017-01-30,177.74000549316406,0.0,0.0,-0.0
2017-01-31,183.77000427246094,0.0,0.0,-0.0
2017-02-01,181.52999877929688,0.0,0.0,-0.0
2017-02-02,182.9600067138672,0.0,0.0,-0.0
2017-02-03,185.3300018310547,0.0,0.0,-0.0
2017-02-06,182.07000732421875,0.0,0.0,-0.0
2017-02-07,179.05999755859375,0.0,0.0,-0.0
2017-02-08,180.6199951171875,0.0,0.0,-0.0
2017-02-09,181.99000549316406,0.0,0.0,-0.0
2017-02-10,182.10000610351562,0.0,0.0,-0.0
2017-02-13,181.6699981689453,0.0,0.0,-0.0
2017-02-14,180.94000244140625,0.0,0.0,-0.0
2017-02-15,178.5399932861328,0.0,0.0,-0.0
2017-02-16,179.17999267578125,0.0,0.0,-0.0
2017-02-17,181.08999633789062,0.0,0.0,-0.0
2017-02-21,185.16000366210938,0.0,0.0,-0.0
2017-02-22,184.6999969482422,0.0,0.0,-0.0
2017-02-23,184.99000549316406,0.0,0.0,-0.0
2017-02-24,184.2899932861328,0.0,0.0,-0.0
2017-02-27,186.3300018310547,0.0,0.0,-0.0
2017-02-28,184.39999389648438,0.0,0.0,-0.0
2017-03-01,182.52000427246094,0.0,0.0,-0.0
2017-03-02,181.13999938964844,100.0,100.0,-18113.999938964844
2017-03-03,179.39999389648438,100.0,0.0,-0.0
2017-03-06,178.8000030517578,100.0,0.0,-0.0
2017-03-07,177.2899932861328,100.0,0.0,-0.0
2017-03-08,174.69000244140625,0.0,-100.0,17469.000244140625
2017-03-09,169.32000732421875,0.0,0.0,-0.0
2017-03-10,168.1699981689453,0.0,0.0,-0.0
2017-03-13,168.69000244140625,0.0,0.0,-0.0
2017-03-14,167.22999572753906,0.0,0.0,-0.0
2017-03-15,170.0,0.0,0.0,-0.0
2017-03-16,169.39999389648438,0.0,0.0,-0.0
2017-03-17,168.02000427246094,0.0,0.0,-0.0
2017-03-20,168.11000061035156,0.0,0.0,-0.0
2017-03-21,168.9600067138672,0.0,0.0,-0.0
2017-03-22,165.39999389648438,0.0,0.0,-0.0
2017-03-23,167.55999755859375,0.0,0.0,-0.0
2017-03-24,167.9499969482422,0.0,0.0,-0.0
2017-03-27,166.14999389648438,0.0,0.0,-0.0
2017-03-28,168.0500030517578,0.0,0.0,-0.0
2017-03-29,169.86000061035156,0.0,0.0,-0.0
2017-03-30,170.0399932861328,0.0,0.0,-0.0
2017-03-31,172.02999877929688,0.0,0.0,-0.0
2017-04-03,174.05999755859375,0.0,0.0,-0.0
2017-04-04,170.55999755859375,0.0,0.0,-0.0
2017-04-05,170.2899932861328,0.0,0.0,-0.0
2017-04-06,169.8000030517578,0.0,0.0,-0.0
2017-04-07,169.80999755859375,0.0,0.0,-0.0
2017-04-10,171.49000549316406,0.0,0.0,-0.0
2017-04-11,173.35000610351562,0.0,0.0,-0.0
2017-04-12,173.27999877929688,0.0,0.0,-0.0
2017-04-13,173.83999633789062,0.0,0.0,-0.0
2017-04-17,174.57000732421875,0.0,0.0,-0.0
2017-04-18,174.72999572753906,0.0,0.0,-0.0
2017-04-19,174.42999267578125,0.0,0.0,-0.0
2017-04-20,174.72999572753906,100.0,100.0,-17472.999572753906
2017-04-21,171.97999572753906,100.0,0.0,-0.0
