Date,price,shares,net shares,net cash
2009-01-02,92.95999908447266,0.0,,
2009-01-05,92.8499984741211,0.0,0.0,-0.0
2009-01-06,93.47000122070312,0.0,0.0,-0.0
2009-01-07,90.66999816894531,0.0,0.0,-0.0
2009-01-08,91.04000091552734,0.0,0.0,-0.0
2009-01-09,89.08999633789062,0.0,0.0,-0.0
2009-01-12,86.94999694824219,0.0,0.0,-0.0
2009-01-13,87.11000061035156,0.0,0.0,-0.0
2009-01-14,84.37000274658203,0.0,0.0,-0.0
2009-01-15,84.4000015258789,0.0,0.0,-0.0
2009-01-16,85.05999755859375,0.0,0.0,-0.0
2009-01-20,80.56999969482422,0.0,0.0,-0.0
2009-01-21,84.05000305175781,0.0,0.0,-0.0
2009-01-22,82.75,0.0,0.0,-0.0
2009-01-23,83.11000061035156,0.0,0.0,-0.0
2009-01-26,83.68000030517578,0.0,0.0,-0.0
2009-01-27,84.52999877929688,0.0,0.0,-0.0
2009-01-28,87.38999938964844,0.0,0.0,-0.0
2009-01-29,84.55000305175781,0.0,0.0,-0.0
2009-01-30,82.83000183105469,0.0,0.0,-0.0
2009-02-02,82.58000183105469,0.0,0.0,-0.0
2009-02-03,83.73999786376953,0.0,0.0,-0.0
2009-02-04,83.33000183105469,0.0,0.0,-0.0
2009-02-05,84.56999969482422,0.0,0.0,-0.0
2009-02-06,86.9800033569336,0.0,0.0,-0.0
2009-02-09,87.0999984741211,0.0,0.0,-0.0
2009-02-10,83.11000061035156,0.0,0.0,-0.0
2009-02-11,83.5999984741211,0.0,0.0,-0.0
2009-02-12,83.66000366210938,0.0,0.0,-0.0
2009-02-13,82.76000213623047,0.0,0.0,-0.0
2009-02-17,79.22000122070312,0.0,0.0,-0.0
2009-02-18,79.02999877929688,0.0,0.0,-0.0
2009-02-19,78.18000030517578,0.0,0.0,-0.0
2009-02-20,77.41999816894531,0.0,0.0,-0.0
2009-02-23,74.6500015258789,0.0,0.0,-0.0
2009-02-24,77.4800033569336,0.0,0.0,-0.0
2009-02-25,76.87000274658203,0.0,0.0,-0.0
2009-02-26,75.62000274658203,0.0,0.0,-0.0
2009-02-27,73.93000030517578,0.0,0.0,-0.0
2009-03-02,70.5999984741211,0.0,0.0,-0.0
2009-03-03,70.06999969482422,0.0,0.0,-0.0
2009-03-04,71.7300033569336,0.0,0.0,-0.0
2009-03-05,68.80000305175781,0.0,0.0,-0.0
2009-03-06,68.91999816894531,0.0,0.0,-0.0
2009-03-09,68.11000061035156,0.0,0.0,-0.0
2009-03-10,72.16999816894531,0.0,0.0,-0.0
2009-03-11,72.63999938964844,0.0,0.0,-0.0
2009-03-12,75.5,0.0,0.0,-0.0
2009-03-13,76.08999633789062,0.0,0.0,-0.0
2009-03-16,75.86000061035156,0.0,0.0,-0.0
2009-03-17,78.18000030517578,0.0,0.0,-0.0
2009-03-18,79.93000030517578,0.0,0.0,-0.0
2009-03-19,78.94000244140625,0.0,0.0,-0.0
2009-03-20,76.70999908447266,0.0,0.0,-0.0
2009-03-23,82.22000122070312,0.0,0.0,-0.0
2009-03-24,80.5999984741211,0.0,0.0,-0.0
2009-03-25,81.44999694824219,100.0,100.0,-8144.999694824219
2009-03-26,83.11000061035156,100.0,0.0,-0.0
2009-03-27,81.61000061035156,100.0,0.0,-0.0
2009-03-30,78.79000091552734,100.0,0.0,-0.0
2009-03-31,79.5199966430664,100.0,0.0,-0.0
2009-04-01,81.05999755859375,100.0,0.0,-0.0
2009-04-02,83.43000030517578,100.0,0.0,-0.0
2009-04-03,84.26000213623047,100.0,0.0,-0.0
2009-04-06,83.5999984741211,100.0,0.0,-0.0
2009-04-07,81.6500015258789,100.0,0.0,-0.0
2009-04-08,82.52999877929688,100.0,0.0,-0.0
2009-04-09,85.80999755859375,100.0,0.0,-0.0
2009-04-13,85.83000183105469,100.0,0.0,-0.0
2009-04-14,84.3499984741211,100.0,0.0,-0.0
2009-04-15,85.25,100.0,0.0,-0.0
2009-04-16,86.5,100.0,0.0,-0.0
2009-04-17,87.08000183105469,100.0,0.0,-0.0
2009-04-20,83.43000030517578,100.0,0.0,-0.0
2009-04-21,85.05999755859375,100.0,0.0,-0.0
2009-04-22,84.54000091552734,100.0,0.0,-0.0
2009-04-23,85.37000274658203,100.0,0.0,-0.0
2009-04-24,86.66000366210938,100.0,0.0,-0.0
2009-04-27,85.83999633789062,100.0,0.0,-0.0
2009-04-28,85.56999969482422,100.0,0.0,-0.0
2009-04-29,87.38999938964844,100.0,0.0,-0.0
2009-04-30,87.41999816894531,100.0,0.0,-0.0
2009-05-01,87.88999938964844,100.0,0.0,-0.0
