Date,price,shares,net shares,net cash
2015-01-02,100.77999877929688,0.0,,
2015-01-05,99.12000274658203,0.0,0.0,-0.0
2015-01-06,98.91999816894531,0.0,0.0,-0.0
2015-01-07,99.93000030517578,0.0,0.0,-0.0
2015-01-08,104.69999694824219,0.0,0.0,-0.0
2015-01-09,103.72000122070312,0.0,0.0,-0.0
2015-01-12,102.55000305175781,0.0,0.0,-0.0
2015-01-13,103.06999969482422,0.0,0.0,-0.0
2015-01-14,103.33000183105469,0.0,0.0,-0.0
2015-01-15,104.45999908447266,0.0,0.0,-0.0
2015-01-16,105.7699966430664,0.0,0.0,-0.0
2015-01-20,105.62000274658203,0.0,0.0,-0.0
2015-01-21,109.31999969482422,0.0,0.0,-0.0
2015-01-22,113.8499984741211,0.0,0.0,-0.0
2015-01-23,112.0,0.0,0.0,-0.0
2015-01-26,111.61000061035156,0.0,0.0,-0.0
2015-01-27,110.01000213623047,0.0,0.0,-0.0
2015-01-28,108.45999908447266,0.0,0.0,-0.0
2015-01-29,109.38999938964844,0.0,0.0,-0.0
2015-01-30,106.25,0.0,0.0,-0.0
2015-02-02,107.29000091552734,0.0,0.0,-0.0
2015-02-03,107.80999755859375,0.0,0.0,-0.0
2015-02-04,107.91999816894531,0.0,0.0,-0.0
2015-02-05,108.81999969482422,0.0,0.0,-0.0
2015-02-06,107.5999984741211,0.0,0.0,-0.0
2015-02-09,106.48999786376953,0.0,0.0,-0.0
2015-02-10,108.97000122070312,0.0,0.0,-0.0
2015-02-11,109.8499984741211,0.0,0.0,-0.0
2015-02-12,109.83999633789062,0.0,0.0,-0.0
2015-02-13,109.44000244140625,100.0,100.0,-10944.000244140625
2015-02-17,109.76000213623047,100.0,0.0,-0.0
2015-02-18,109.7699966430664,100.0,0.0,-0.0
2015-02-19,110.02999877929688,100.0,0.0,-0.0
2015-02-20,112.62000274658203,100.0,0.0,-0.0
2015-02-23,116.4000015258789,100.0,0.0,-0.0
2015-02-24,115.43000030517578,100.0,0.0,-0.0
2015-02-25,114.05000305175781,100.0,0.0,-0.0
2015-02-26,113.66000366210938,100.0,0.0,-0.0
2015-02-27,113.62999725341797,100.0,0.0,-0.0
2015-03-02,114.4000015258789,100.0,0.0,-0.0
2015-03-03,112.86000061035156,100.0,0.0,-0.0
2015-03-04,113.81999969482422,100.0,0.0,-0.0
2015-03-05,114.79000091552734,100.0,0.0,-0.0
2015-03-06,112.87999725341797,100.0,0.0,-0.0
2015-03-09,114.9000015258789,100.0,0.0,-0.0
2015-03-10,112.45999908447266,100.0,0.0,-0.0
2015-03-11,112.72000122070312,100.0,0.0,-0.0
2015-03-12,114.87999725341797,100.0,0.0,-0.0
2015-03-13,115.25,100.0,0.0,-0.0
2015-03-16,118.5199966430664,100.0,0.0,-0.0
2015-03-17,117.5999984741211,100.0,0.0,-0.0
2015-03-18,119.95999908447266,100.0,0.0,-0.0
2015-03-19,120.76000213623047,100.0,0.0,-0.0
2015-03-20,119.13999938964844,100.0,0.0,-0.0
2015-03-23,119.04000091552734,100.0,0.0,-0.0
2015-03-24,118.12000274658203,100.0,0.0,-0.0
2015-03-25,116.54000091552734,100.0,0.0,-0.0
2015-03-26,116.25,100.0,0.0,-0.0
2015-03-27,118.01000213623047,100.0,0.0,-0.0
2015-03-30,121.0,100.0,0.0,-0.0
2015-03-31,118.29000091552734,100.0,0.0,-0.0
