Date,price,shares,net shares,net cash
2019-01-02,137.77999877929688,0.0,,
2019-01-03,132.67999267578125,0.0,0.0,-0.0
2019-01-04,137.7899932861328,0.0,0.0,-0.0
2019-01-07,138.64999389648438,0.0,0.0,-0.0
2019-01-08,150.75,0.0,0.0,-0.0
2019-01-09,150.36000061035156,0.0,0.0,-0.0
2019-01-10,154.66000366210938,0.0,0.0,-0.0
2019-01-11,153.2100067138672,0.0,0.0,-0.0
2019-01-14,153.88999938964844,0.0,0.0,-0.0
2019-01-15,152.47999572753906,0.0,0.0,-0.0
2019-01-16,151.97000122070312,0.0,0.0,-0.0
2019-01-17,154.63999938964844,0.0,0.0,-0.0
2019-01-18,158.33999633789062,0.0,0.0,-0.0
2019-01-22,155.02000427246094,0.0,0.0,-0.0
2019-01-23,154.3300018310547,0.0,0.0,-0.0
2019-01-24,160.33999633789062,0.0,0.0,-0.0
2019-01-25,160.9499969482422,0.0,0.0,-0.0
2019-01-28,159.89999389648438,0.0,0.0,-0.0
2019-01-29,160.1699981689453,0.0,0.0,-0.0
2019-01-30,160.82000732421875,0.0,0.0,-0.0
2019-01-31,159.07000732421875,0.0,0.0,-0.0
2019-02-01,159.6699981689453,0.0,0.0,-0.0
2019-02-04,161.1300048828125,0.0,0.0,-0.0
2019-02-05,161.3000030517578,0.0,0.0,-0.0
2019-02-06,160.74000549316406,0.0,0.0,-0.0
2019-02-07,161.57000732421875,0.0,0.0,-0.0
2019-02-08,161.72000122070312,0.0,0.0,-0.0
2019-02-11,164.35000610351562,0.0,0.0,-0.0
2019-02-12,167.0500030517578,0.0,0.0,-0.0
2019-02-13,168.8800048828125,100.0,100.0,-16888.00048828125
2019-02-14,169.6300048828125,100.0,0.0,-0.0
2019-02-15,170.24000549316406,100.0,0.0,-0.0
2019-02-19,171.3300018310547,100.0,0.0,-0.0
2019-02-20,170.99000549316406,100.0,0.0,-0.0
2019-02-21,170.1699981689453,100.0,0.0,-0.0
2019-02-22,170.05999755859375,100.0,0.0,-0.0
2019-02-25,169.5500030517578,100.0,0.0,-0.0
2019-02-26,170.14999389648438,100.0,0.0,-0.0
2019-02-27,169.05999755859375,100.0,0.0,-0.0
2019-02-28,167.6999969482422,100.0,0.0,-0.0
2019-03-01,167.44000244140625,100.0,0.0,-0.0
2019-03-04,167.3699951171875,100.0,0.0,-0.0
2019-03-05,166.77999877929688,100.0,0.0,-0.0
2019-03-06,165.91000366210938,100.0,0.0,-0.0
2019-03-07,164.94000244140625,100.0,0.0,-0.0
2019-03-08,164.3000030517578,100.0,0.0,-0.0
2019-03-11,165.60000610351562,100.0,0.0,-0.0
2019-03-12,164.8300018310547,100.0,0.0,-0.0
2019-03-13,166.8300018310547,100.0,0.0,-0.0
2019-03-14,165.1699981689453,100.0,0.0,-0.0
2019-03-15,165.0,100.0,0.0,-0.0
2019-03-18,166.24000549316406,100.0,0.0,-0.0
2019-03-19,160.75,100.0,0.0,-0.0
2019-03-20,161.0,100.0,0.0,-0.0
2019-03-21,162.61000061035156,100.0,0.0,-0.0
2019-03-22,160.6199951171875,100.0,0.0,-0.0
2019-03-25,161.5,100.0,0.0,-0.0
2019-03-26,161.80999755859375,0.0,-100.0,16180.999755859375
2019-03-27,163.00999450683594,0.0,0.0,-0.0
2019-03-28,165.1999969482422,0.0,0.0,-0.0
2019-03-29,167.1999969482422,0.0,0.0,-0.0
2019-04-01,170.9199981689453,0.0,0.0,-0.0
2019-04-02,169.77999877929688,0.0,0.0,-0.0
2019-04-03,169.61000061035156,100.0,100.0,-16961.000061035156
2019-04-04,168.7899932861328,100.0,0.0,-0.0
2019-04-05,168.72000122070312,100.0,0.0,-0.0
2019-04-08,168.69000244140625,100.0,0.0,-0.0
2019-04-09,166.08999633789062,100.0,0.0,-0.0
