Date,price,shares,net shares,net cash
2016-01-04,77.45999908447266,0.0,,
2016-01-05,78.12000274658203,0.0,0.0,-0.0
2016-01-06,77.47000122070312,0.0,0.0,-0.0
2016-01-07,76.2300033569336,0.0,0.0,-0.0
2016-01-08,74.69000244140625,0.0,0.0,-0.0
2016-01-11,73.69000244140625,0.0,0.0,-0.0
2016-01-12,75.19999694824219,0.0,0.0,-0.0
2016-01-13,75.6500015258789,0.0,0.0,-0.0
2016-01-14,79.12000274658203,0.0,0.0,-0.0
2016-01-15,77.58000183105469,0.0,0.0,-0.0
2016-01-19,76.4000015258789,0.0,0.0,-0.0
2016-01-20,73.18000030517578,0.0,0.0,-0.0
2016-01-21,74.0999984741211,0.0,0.0,-0.0
2016-01-22,76.56999969482422,0.0,0.0,-0.0
2016-01-25,73.9800033569336,0.0,0.0,-0.0
2016-01-26,76.69999694824219,0.0,0.0,-0.0
2016-01-27,75.29000091552734,0.0,0.0,-0.0
2016-01-28,76.98999786376953,0.0,0.0,-0.0
2016-01-29,77.8499984741211,0.0,0.0,-0.0
2016-02-01,76.29000091552734,0.0,0.0,-0.0
2016-02-02,74.58999633789062,0.0,0.0,-0.0
2016-02-03,78.4800033569336,0.0,0.0,-0.0
2016-02-04,79.83000183105469,0.0,0.0,-0.0
2016-02-05,80.08000183105469,0.0,0.0,-0.0
2016-02-08,81.16000366210938,0.0,0.0,-0.0
2016-02-09,80.08000183105469,0.0,0.0,-0.0
2016-02-10,79.3499984741211,0.0,0.0,-0.0
2016-02-11,79.5999984741211,0.0,0.0,-0.0
2016-02-12,81.02999877929688,0.0,0.0,-0.0
2016-02-16,81.22000122070312,100.0,100.0,-8122.0001220703125
2016-02-17,82.0,100.0,0.0,-0.0
2016-02-18,82.44999694824219,100.0,0.0,-0.0
2016-02-19,82.5,100.0,0.0,-0.0
2016-02-22,82.38999938964844,100.0,0.0,-0.0
2016-02-23,81.2300033569336,100.0,0.0,-0.0
2016-02-24,81.5199966430664,100.0,0.0,-0.0
2016-02-25,82.01000213623047,100.0,0.0,-0.0
2016-02-26,81.75,100.0,0.0,-0.0
2016-02-29,80.1500015258789,100.0,0.0,-0.0
2016-03-01,81.27999877929688,100.0,0.0,-0.0
2016-03-02,82.69999694824219,100.0,0.0,-0.0
2016-03-03,82.4000015258789,100.0,0.0,-0.0
2016-03-04,82.29000091552734,100.0,0.0,-0.0
2016-03-07,84.45999908447266,100.0,0.0,-0.0
2016-03-08,82.62999725341797,100.0,0.0,-0.0
2016-03-09,82.4000015258789,100.0,0.0,-0.0
2016-03-10,82.18000030517578,100.0,0.0,-0.0
2016-03-11,82.19000244140625,100.0,0.0,-0.0
2016-03-14,82.41000366210938,100.0,0.0,-0.0
2016-03-15,82.81999969482422,100.0,0.0,-0.0
2016-03-16,82.87000274658203,100.0,0.0,-0.0
2016-03-17,84.0999984741211,100.0,0.0,-0.0
2016-03-18,84.19999694824219,100.0,0.0,-0.0
2016-03-21,83.62000274658203,100.0,0.0,-0.0
2016-03-22,84.12000274658203,100.0,0.0,-0.0
2016-03-23,83.75,100.0,0.0,-0.0
2016-03-24,83.9800033569336,100.0,0.0,-0.0
2016-03-28,84.22000122070312,100.0,0.0,-0.0
2016-03-29,84.52999877929688,100.0,0.0,-0.0
2016-03-30,84.5199966430664,100.0,0.0,-0.0
2016-03-31,83.58999633789062,100.0,0.0,-0.0
2016-04-01,82.95999908447266,100.0,0.0,-0.0
2016-04-04,83.16000366210938,100.0,0.0,-0.0
2016-04-05,82.20999908447266,100.0,0.0,-0.0
2016-04-06,83.30999755859375,100.0,0.0,-0.0
2016-04-07,82.37000274658203,100.0,0.0,-0.0
2016-04-08,83.20999908447266,100.0,0.0,-0.0
2016-04-11,83.31999969482422,100.0,0.0,-0.0
2016-04-12,84.3499984741211,100.0,0.0,-0.0
2016-04-13,84.83000183105469,100.0,0.0,-0.0
2016-04-14,85.43000030517578,100.0,0.0,-0.0
2016-04-15,84.97000122070312,100.0,0.0,-0.0
2016-04-18,85.77999877929688,100.0,0.0,-0.0
2016-04-19,86.20999908447266,100.0,0.0,-0.0
2016-04-20,86.80000305175781,100.0,0.0,-0.0
2016-04-21,86.79000091552734,100.0,0.0,-0.0
2016-04-22,87.52999877929688,100.0,0.0,-0.0
2016-04-25,87.33000183105469,100.0,0.0,-0.0
2016-04-26,87.62999725341797,100.0,0.0,-0.0
2016-04-27,88.45999908447266,100.0,0.0,-0.0
2016-04-28,88.02999877929688,100.0,0.0,-0.0
2016-04-29,88.4000015258789,100.0,0.0,-0.0
2016-05-02,89.12999725341797,100.0,0.0,-0.0
2016-05-03,88.11000061035156,100.0,0.0,-0.0
2016-05-04,87.94000244140625,100.0,0.0,-0.0
2016-05-05,88.04000091552734,100.0,0.0,-0.0
2016-05-06,88.51000213623047,100.0,0.0,-0.0
2016-05-09,88.56999969482422,100.0,0.0,-0.0
2016-05-10,89.98999786376953,100.0,0.0,-0.0
2016-05-11,88.80999755859375,100.0,0.0,-0.0
2016-05-12,89.66999816894531,100.0,0.0,-0.0
2016-05-13,88.66000366210938,100.0,0.0,-0.0
2016-05-16,89.56999969482422,100.0,0.0,-0.0
2016-05-17,89.52999877929688,100.0,0.0,-0.0
2016-05-18,89.3499984741211,100.0,0.0,-0.0
2016-05-19,90.11000061035156,100.0,0.0,-0.0
2016-05-20,89.73999786376953,100.0,0.0,-0.0
2016-05-23,89.5999984741211,100.0,0.0,-0.0
2016-05-24,89.66999816894531,100.0,0.0,-0.0
2016-05-25,90.26000213623047,100.0,0.0,-0.0
2016-05-26,89.80000305175781,100.0,0.0,-0.0
2016-05-27,90.01000213623047,100.0,0.0,-0.0
2016-05-31,89.0199966430664,100.0,0.0,-0.0
