Date,price,shares,net shares,net cash
2009-02-13,14.165714263916016,100,100.0,-1416.5714263916016
2009-02-17,13.50428581237793,100,0.0,-0.0
2009-02-18,13.481428146362305,100,0.0,-0.0
2009-02-19,12.94857120513916,100,0.0,-0.0
2009-02-20,13.028571128845215,100,0.0,-0.0
2009-02-23,12.421428680419922,100,0.0,-0.0
2009-02-24,12.892857551574707,100,0.0,-0.0
2009-02-25,13.022856712341309,100,0.0,-0.0
2009-02-26,12.74142837524414,100,0.0,-0.0
2009-02-27,12.75857162475586,0,-100.0,1275.857162475586
2009-03-02,12.562856674194336,0,0.0,-0.0
2009-03-03,12.624285697937012,0,0.0,-0.0
2009-03-04,13.024285316467285,0,0.0,-0.0
2009-03-05,12.691428184509277,0,0.0,-0.0
2009-03-06,12.185714721679688,0,0.0,-0.0
2009-03-09,11.872857093811035,0,0.0,-0.0
2009-03-10,12.661428451538086,100,100.0,-1266.1428451538086
2009-03-11,13.239999771118164,100,0.0,-0.0
2009-03-12,13.764286041259766,100,0.0,-0.0
2009-03-13,13.704285621643066,100,0.0,-0.0
2009-03-16,13.631428718566895,100,0.0,-0.0
2009-03-17,14.237142562866211,100,0.0,-0.0
2009-03-18,14.502857208251953,100,0.0,-0.0
2009-03-19,14.517143249511719,100,0.0,-0.0
2009-03-20,14.512857437133789,100,0.0,-0.0
2009-03-23,15.380000114440918,100,0.0,-0.0
2009-03-24,15.214285850524902,100,0.0,-0.0
2009-03-25,15.212857246398926,100,0.0,-0.0
2009-03-26,15.695713996887207,100,0.0,-0.0
2009-03-27,15.264286041259766,100,0.0,-0.0
2009-03-30,14.927143096923828,100,0.0,-0.0
2009-03-31,15.017143249511719,100,0.0,-0.0
2009-04-01,15.527142524719238,100,0.0,-0.0
2009-04-02,16.101428985595703,100,0.0,-0.0
2009-04-03,16.56999969482422,100,0.0,-0.0
2009-04-06,16.921428680419922,100,0.0,-0.0
2009-04-07,16.428571701049805,100,0.0,-0.0
2009-04-08,16.617143630981445,100,0.0,-0.0
2009-04-09,17.08142852783203,100,0.0,-0.0
2009-04-13,17.174285888671875,100,0.0,-0.0
2009-04-14,16.90142822265625,100,0.0,-0.0
2009-04-15,16.805713653564453,100,0.0,-0.0
