Date,price,shares,net shares,net cash
2016-02-16,61.09000015258789,0,,
2016-02-17,61.099998474121094,100,100.0,-6109.999847412109
2016-02-18,62.45000076293945,100,0.0,-0.0
2016-02-19,61.90999984741211,100,0.0,-0.0
2016-02-22,62.849998474121094,100,0.0,-0.0
2016-02-23,62.7599983215332,100,0.0,-0.0
2016-02-24,63.0099983215332,100,0.0,-0.0
2016-02-25,63.88999938964844,100,0.0,-0.0
2016-02-26,61.470001220703125,100,0.0,-0.0
2016-02-29,61.75,0,-100.0,6175.0
2016-03-01,61.72999954223633,0,0.0,-0.0
2016-03-02,61.88999938964844,0,0.0,-0.0
2016-03-03,61.77000045776367,0,0.0,-0.0
2016-03-04,62.43000030517578,0,0.0,-0.0
2016-03-07,63.2400016784668,100,100.0,-6324.00016784668
2016-03-08,63.61000061035156,100,0.0,-0.0
2016-03-09,64.30000305175781,100,0.0,-0.0
2016-03-10,64.12999725341797,100,0.0,-0.0
2016-03-11,64.2300033569336,100,0.0,-0.0
2016-03-14,64.22000122070312,100,0.0,-0.0
2016-03-15,64.41000366210938,100,0.0,-0.0
2016-03-16,65.12999725341797,100,0.0,-0.0
2016-03-17,65.43000030517578,100,0.0,-0.0
2016-03-18,64.79000091552734,100,0.0,-0.0
2016-03-21,64.80000305175781,100,0.0,-0.0
2016-03-22,64.7699966430664,100,0.0,-0.0
2016-03-23,65.08000183105469,100,0.0,-0.0
2016-03-24,65.05999755859375,100,0.0,-0.0
2016-03-28,65.0,100,0.0,-0.0
2016-03-29,66.02999877929688,100,0.0,-0.0
2016-03-30,66.0199966430664,100,0.0,-0.0
2016-03-31,66.4000015258789,100,0.0,-0.0
2016-04-01,67.01000213623047,100,0.0,-0.0
2016-04-04,66.58000183105469,100,0.0,-0.0
2016-04-05,65.4000015258789,100,0.0,-0.0
2016-04-06,65.62999725341797,100,0.0,-0.0
2016-04-07,65.5,100,0.0,-0.0
2016-04-08,66.01000213623047,100,0.0,-0.0
2016-04-11,65.68000030517578,100,0.0,-0.0
2016-04-12,66.30999755859375,100,0.0,-0.0
2016-04-13,65.79000091552734,100,0.0,-0.0
2016-04-14,65.58999633789062,100,0.0,-0.0
2016-04-15,66.05000305175781,100,0.0,-0.0
2016-04-18,66.23999786376953,100,0.0,-0.0
2016-04-19,65.83999633789062,100,0.0,-0.0
2016-04-20,63.70000076293945,0,-100.0,6370.000076293945
2016-04-21,62.2599983215332,0,0.0,-0.0
