Date,price,shares,net shares,net cash
2018-02-13,136.30999755859375,0,,
2018-02-14,135.47999572753906,100,100.0,-13547.999572753906
2018-02-15,136.22000122070312,100,0.0,-0.0
2018-02-16,140.02000427246094,100,0.0,-0.0
2018-02-20,139.24000549316406,100,0.0,-0.0
2018-02-21,137.44000244140625,100,0.0,-0.0
2018-02-22,138.97999572753906,100,0.0,-0.0
2018-02-23,141.8699951171875,100,0.0,-0.0
2018-02-26,142.74000549316406,100,0.0,-0.0
2018-02-27,140.6999969482422,100,0.0,-0.0
2018-02-28,139.3300018310547,100,0.0,-0.0
2018-03-01,135.3699951171875,100,0.0,-0.0
2018-03-02,134.0,100,0.0,-0.0
2018-03-05,136.80999755859375,100,0.0,-0.0
2018-03-06,138.8800048828125,100,0.0,-0.0
2018-03-07,140.0,100,0.0,-0.0
2018-03-08,142.74000549316406,100,0.0,-0.0
2018-03-09,143.5800018310547,100,0.0,-0.0
2018-03-12,145.0800018310547,100,0.0,-0.0
2018-03-13,146.25,100,0.0,-0.0
2018-03-14,146.4600067138672,100,0.0,-0.0
2018-03-15,146.64999389648438,100,0.0,-0.0
2018-03-16,146.5500030517578,100,0.0,-0.0
2018-03-19,145.1199951171875,100,0.0,-0.0
2018-03-20,146.30999755859375,100,0.0,-0.0
2018-03-21,142.3300018310547,100,0.0,-0.0
2018-03-22,143.00999450683594,100,0.0,-0.0
2018-03-23,142.27000427246094,100,0.0,-0.0
2018-03-26,145.2100067138672,100,0.0,-0.0
2018-03-27,144.4600067138672,100,0.0,-0.0
2018-03-28,144.3000030517578,100,0.0,-0.0
2018-03-29,145.33999633789062,100,0.0,-0.0
2018-04-02,143.8300018310547,100,0.0,-0.0
2018-04-03,141.4199981689453,100,0.0,-0.0
2018-04-04,143.0500030517578,100,0.0,-0.0
2018-04-05,144.0800018310547,100,0.0,-0.0
2018-04-06,142.16000366210938,100,0.0,-0.0
2018-04-09,143.19000244140625,100,0.0,-0.0
2018-04-10,137.39999389648438,100,0.0,-0.0
2018-04-11,139.9199981689453,100,0.0,-0.0
2018-04-12,138.3800048828125,0,-100.0,13838.00048828125
2018-04-13,138.89999389648438,0,0.0,-0.0
2018-04-16,138.52000427246094,0,0.0,-0.0
2018-04-17,141.02000427246094,0,0.0,-0.0
2018-04-18,139.80999755859375,0,0.0,-0.0
2018-04-19,137.4199981689453,100,100.0,-13741.999816894531
2018-04-20,136.6199951171875,100,0.0,-0.0
2018-04-23,138.1999969482422,100,0.0,-0.0
2018-04-24,136.9600067138672,100,0.0,-0.0
2018-04-25,135.72999572753906,100,0.0,-0.0
2018-04-26,136.83999633789062,100,0.0,-0.0
2018-04-27,135.24000549316406,100,0.0,-0.0
2018-04-30,136.36000061035156,100,0.0,-0.0
2018-05-01,135.10000610351562,100,0.0,-0.0
2018-05-02,136.47000122070312,100,0.0,-0.0
2018-05-03,137.5800018310547,100,0.0,-0.0
2018-05-04,138.85000610351562,100,0.0,-0.0
2018-05-07,138.13999938964844,100,0.0,-0.0
2018-05-08,137.00999450683594,100,0.0,-0.0
2018-05-09,137.9499969482422,100,0.0,-0.0
2018-05-10,139.88999938964844,100,0.0,-0.0
2018-05-11,138.86000061035156,100,0.0,-0.0
2018-05-14,138.2899932861328,100,0.0,-0.0
2018-05-15,136.6999969482422,100,0.0,-0.0
2018-05-16,136.47000122070312,100,0.0,-0.0
2018-05-17,136.85000610351562,100,0.0,-0.0
2018-05-18,137.0500030517578,100,0.0,-0.0
2018-05-21,137.3800048828125,0,-100.0,13738.00048828125
2018-05-22,137.14999389648438,0,0.0,-0.0
2018-05-23,136.8300018310547,0,0.0,-0.0
2018-05-24,135.5,0,0.0,-0.0
2018-05-25,136.3300018310547,100,100.0,-13633.000183105469
2018-05-29,135.97000122070312,100,0.0,-0.0
2018-05-30,137.8300018310547,100,0.0,-0.0
2018-05-31,138.3699951171875,100,0.0,-0.0
2018-06-01,138.52000427246094,100,0.0,-0.0
2018-06-04,140.05999755859375,100,0.0,-0.0
2018-06-05,138.91000366210938,100,0.0,-0.0
2018-06-06,139.0399932861328,100,0.0,-0.0
2018-06-07,138.17999267578125,100,0.0,-0.0
2018-06-08,138.5800018310547,100,0.0,-0.0
2018-06-11,139.63999938964844,100,0.0,-0.0
2018-06-12,141.13999938964844,100,0.0,-0.0
2018-06-13,136.4600067138672,0,-100.0,13646.000671386719
2018-06-14,138.35000610351562,0,0.0,-0.0
2018-06-15,138.55999755859375,0,0.0,-0.0
2018-06-18,138.22999572753906,0,0.0,-0.0
2018-06-19,139.0800018310547,100,100.0,-13908.000183105469
2018-06-20,140.5399932861328,100,0.0,-0.0
2018-06-21,141.67999267578125,100,0.0,-0.0
2018-06-22,142.82000732421875,100,0.0,-0.0
2018-06-25,142.14999389648438,100,0.0,-0.0
2018-06-26,143.1699981689453,100,0.0,-0.0
2018-06-27,143.35000610351562,100,0.0,-0.0
2018-06-28,144.25999450683594,100,0.0,-0.0
2018-06-29,144.1699981689453,100,0.0,-0.0
2018-07-02,144.6699981689453,100,0.0,-0.0
