Date,price,shares,net shares,net cash
2009-02-13,63.2599983215332,100,100.0,-6325.99983215332
2009-02-17,61.66999816894531,0,-100.0,6166.999816894531
2009-02-18,62.349998474121094,0,0.0,-0.0
2009-02-19,61.95000076293945,0,0.0,-0.0
2009-02-20,63.86000061035156,0,0.0,-0.0
2009-02-23,61.709999084472656,100,100.0,-6170.999908447266
2009-02-24,65.5999984741211,100,0.0,-0.0
2009-02-25,63.709999084472656,100,0.0,-0.0
2009-02-26,62.34000015258789,100,0.0,-0.0
2009-02-27,64.79000091552734,100,0.0,-0.0
2009-03-02,61.9900016784668,100,0.0,-0.0
2009-03-03,61.70000076293945,100,0.0,-0.0
2009-03-04,64.80999755859375,100,0.0,-0.0
2009-03-05,64.7699966430664,100,0.0,-0.0
2009-03-06,61.689998626708984,100,0.0,-0.0
2009-03-09,60.4900016784668,100,0.0,-0.0
2009-03-10,65.70999908447266,100,0.0,-0.0
2009-03-11,68.54000091552734,100,0.0,-0.0
2009-03-12,69.58000183105469,100,0.0,-0.0
2009-03-13,68.62999725341797,100,0.0,-0.0
2009-03-16,66.9800033569336,100,0.0,-0.0
2009-03-17,71.3499984741211,100,0.0,-0.0
2009-03-18,71.25,100,0.0,-0.0
2009-03-19,70.0999984741211,100,0.0,-0.0
2009-03-20,69.95999908447266,100,0.0,-0.0
2009-03-23,75.58000183105469,100,0.0,-0.0
2009-03-24,72.80999755859375,100,0.0,-0.0
2009-03-25,72.4000015258789,100,0.0,-0.0
2009-03-26,73.69000244140625,100,0.0,-0.0
2009-03-27,70.5199966430664,100,0.0,-0.0
2009-03-30,71.44000244140625,100,0.0,-0.0
2009-03-31,73.44000244140625,100,0.0,-0.0
2009-04-01,73.5,100,0.0,-0.0
2009-04-02,76.33999633789062,100,0.0,-0.0
2009-04-03,78.16999816894531,100,0.0,-0.0
2009-04-06,77.98999786376953,100,0.0,-0.0
2009-04-07,75.51000213623047,100,0.0,-0.0
2009-04-08,76.9800033569336,100,0.0,-0.0
2009-04-09,79.7699966430664,100,0.0,-0.0
2009-04-13,78.94000244140625,100,0.0,-0.0
2009-04-14,77.22000122070312,100,0.0,-0.0
2009-04-15,74.70999908447266,100,0.0,-0.0
2009-04-16,77.25,100,0.0,-0.0
2009-04-17,78.05000305175781,100,0.0,-0.0
2009-04-20,77.56999969482422,100,0.0,-0.0
2009-04-21,78.73999786376953,100,0.0,-0.0
2009-04-22,79.19999694824219,100,0.0,-0.0
2009-04-23,80.61000061035156,100,0.0,-0.0
2009-04-24,84.45999908447266,100,0.0,-0.0
2009-04-27,83.12000274658203,100,0.0,-0.0
2009-04-28,82.4000015258789,100,0.0,-0.0
2009-04-29,79.79000091552734,100,0.0,-0.0
2009-04-30,80.5199966430664,100,0.0,-0.0
2009-05-01,78.95999908447266,100,0.0,-0.0
2009-05-04,79.7699966430664,100,0.0,-0.0
2009-05-05,81.9000015258789,100,0.0,-0.0
2009-05-06,81.98999786376953,100,0.0,-0.0
2009-05-07,79.27999877929688,100,0.0,-0.0
2009-05-08,77.94999694824219,0,-100.0,7794.999694824219
2009-05-11,78.61000061035156,0,0.0,-0.0
2009-05-12,77.93000030517578,0,0.0,-0.0
2009-05-13,74.19000244140625,0,0.0,-0.0
2009-05-14,75.11000061035156,0,0.0,-0.0
2009-05-15,73.5999984741211,0,0.0,-0.0
2009-05-18,75.94999694824219,0,0.0,-0.0
2009-05-19,77.87000274658203,0,0.0,-0.0
2009-05-20,77.97000122070312,0,0.0,-0.0
2009-05-21,75.95999908447266,0,0.0,-0.0
2009-05-22,75.63999938964844,100,100.0,-7563.999938964844
2009-05-26,78.38999938964844,100,0.0,-0.0
2009-05-27,77.0999984741211,100,0.0,-0.0
2009-05-28,77.6500015258789,100,0.0,-0.0
2009-05-29,77.98999786376953,100,0.0,-0.0
2009-06-01,83.05000305175781,100,0.0,-0.0
2009-06-02,84.93000030517578,100,0.0,-0.0
2009-06-03,85.68000030517578,100,0.0,-0.0
2009-06-04,85.5199966430664,100,0.0,-0.0
2009-06-05,87.55999755859375,100,0.0,-0.0
2009-06-08,86.36000061035156,100,0.0,-0.0
2009-06-09,87.08000183105469,100,0.0,-0.0
2009-06-10,86.58999633789062,100,0.0,-0.0
2009-06-11,85.69000244140625,100,0.0,-0.0
2009-06-12,84.08000183105469,100,0.0,-0.0
2009-06-15,83.18000030517578,100,0.0,-0.0
2009-06-16,82.1500015258789,100,0.0,-0.0
2009-06-17,82.6500015258789,100,0.0,-0.0
2009-06-18,81.5999984741211,100,0.0,-0.0
2009-06-19,82.95999908447266,100,0.0,-0.0
2009-06-22,79.1500015258789,100,0.0,-0.0
2009-06-23,77.68000030517578,0,-100.0,7768.000030517578
2009-06-24,79.2699966430664,0,0.0,-0.0
2009-06-25,82.19999694824219,0,0.0,-0.0
2009-06-26,83.87999725341797,0,0.0,-0.0
2009-06-29,83.02999877929688,0,0.0,-0.0
2009-06-30,83.66000366210938,0,0.0,-0.0
2009-07-01,81.5999984741211,0,0.0,-0.0
2009-07-02,79.31999969482422,0,0.0,-0.0
2009-07-06,78.0999984741211,0,0.0,-0.0
2009-07-07,75.62999725341797,0,0.0,-0.0
2009-07-08,77.36000061035156,0,0.0,-0.0
2009-07-09,78.0999984741211,0,0.0,-0.0
2009-07-10,77.62999725341797,0,0.0,-0.0
2009-07-13,81.47000122070312,0,0.0,-0.0
2009-07-14,81.94999694824219,0,0.0,-0.0
2009-07-15,84.55000305175781,100,100.0,-8455.000305175781
2009-07-16,86.11000061035156,100,0.0,-0.0
2009-07-17,85.8499984741211,100,0.0,-0.0
2009-07-20,88.2300033569336,100,0.0,-0.0
2009-07-21,89.01000213623047,100,0.0,-0.0
2009-07-22,88.79000091552734,100,0.0,-0.0
2009-07-23,93.87000274658203,100,0.0,-0.0
2009-07-24,86.48999786376953,100,0.0,-0.0
2009-07-27,84.23999786376953,100,0.0,-0.0
2009-07-28,84.9800033569336,100,0.0,-0.0
2009-07-29,84.33999633789062,100,0.0,-0.0
2009-07-30,86.08999633789062,100,0.0,-0.0
2009-07-31,85.76000213623047,100,0.0,-0.0
2009-08-03,87.44000244140625,100,0.0,-0.0
2009-08-04,85.80000305175781,100,0.0,-0.0
2009-08-05,84.29000091552734,100,0.0,-0.0
2009-08-06,84.47000122070312,100,0.0,-0.0
2009-08-07,85.31999969482422,100,0.0,-0.0
2009-08-10,84.44000244140625,100,0.0,-0.0
2009-08-11,83.55999755859375,100,0.0,-0.0
2009-08-12,85.95999908447266,100,0.0,-0.0
2009-08-13,84.5999984741211,100,0.0,-0.0
2009-08-14,83.58000183105469,100,0.0,-0.0
2009-08-17,81.05999755859375,0,-100.0,8105.999755859375
2009-08-18,82.12000274658203,0,0.0,-0.0
2009-08-19,83.0,0,0.0,-0.0
2009-08-20,84.08999633789062,0,0.0,-0.0
2009-08-21,85.0,0,0.0,-0.0
2009-08-24,84.5,100,100.0,-8450.0
2009-08-25,84.19000244140625,100,0.0,-0.0
2009-08-26,84.0,100,0.0,-0.0
2009-08-27,84.30999755859375,0,-100.0,8430.999755859375
2009-08-28,82.76000213623047,0,0.0,-0.0
2009-08-31,81.19000244140625,0,0.0,-0.0
2009-09-01,79.16000366210938,0,0.0,-0.0
2009-09-02,78.13999938964844,0,0.0,-0.0
2009-09-03,78.45999908447266,0,0.0,-0.0
2009-09-04,78.87000274658203,0,0.0,-0.0
2009-09-08,80.9000015258789,0,0.0,-0.0
2009-09-09,82.23999786376953,0,0.0,-0.0
2009-09-10,83.8499984741211,0,0.0,-0.0
2009-09-11,84.54000091552734,0,0.0,-0.0
2009-09-14,83.86000061035156,100,100.0,-8386.000061035156
2009-09-15,83.55000305175781,100,0.0,-0.0
2009-09-16,90.69999694824219,100,0.0,-0.0
2009-09-17,90.44000244140625,100,0.0,-0.0
2009-09-18,90.27999877929688,100,0.0,-0.0
2009-09-21,90.55999755859375,100,0.0,-0.0
2009-09-22,93.75,100,0.0,-0.0
2009-09-23,92.37999725341797,100,0.0,-0.0
2009-09-24,92.11000061035156,100,0.0,-0.0
2009-09-25,90.5199966430664,100,0.0,-0.0
2009-09-28,92.20999908447266,100,0.0,-0.0
2009-09-29,91.72000122070312,100,0.0,-0.0
2009-09-30,93.36000061035156,100,0.0,-0.0
2009-10-01,91.04000091552734,100,0.0,-0.0
2009-10-02,89.8499984741211,100,0.0,-0.0
2009-10-05,88.66999816894531,100,0.0,-0.0
2009-10-06,90.91000366210938,100,0.0,-0.0
2009-10-07,93.97000122070312,100,0.0,-0.0
2009-10-08,95.22000122070312,100,0.0,-0.0
2009-10-09,95.70999908447266,100,0.0,-0.0
2009-10-12,93.5999984741211,100,0.0,-0.0
2009-10-13,94.83000183105469,100,0.0,-0.0
2009-10-14,97.45999908447266,100,0.0,-0.0
2009-10-15,96.01000213623047,100,0.0,-0.0
2009-10-16,95.31999969482422,100,0.0,-0.0
2009-10-19,94.68000030517578,100,0.0,-0.0
2009-10-20,94.9800033569336,100,0.0,-0.0
2009-10-21,93.41999816894531,100,0.0,-0.0
2009-10-22,93.44999694824219,100,0.0,-0.0
2009-10-23,118.48999786376953,100,0.0,-0.0
2009-10-26,124.63999938964844,100,0.0,-0.0
2009-10-27,122.06999969482422,100,0.0,-0.0
2009-10-28,121.63999938964844,100,0.0,-0.0
2009-10-29,122.58000183105469,100,0.0,-0.0
2009-10-30,118.80999755859375,100,0.0,-0.0
2009-11-02,118.83999633789062,100,0.0,-0.0
2009-11-03,118.37000274658203,100,0.0,-0.0
2009-11-04,117.0999984741211,100,0.0,-0.0
2009-11-05,120.61000061035156,100,0.0,-0.0
2009-11-06,126.19999694824219,100,0.0,-0.0
2009-11-09,126.66999816894531,100,0.0,-0.0
2009-11-10,130.14999389648438,100,0.0,-0.0
2009-11-11,129.91000366210938,100,0.0,-0.0
2009-11-12,130.52999877929688,100,0.0,-0.0
2009-11-13,132.97000122070312,100,0.0,-0.0
2009-11-16,131.58999633789062,100,0.0,-0.0
2009-11-17,131.25,100,0.0,-0.0
2009-11-18,131.2899932861328,100,0.0,-0.0
2009-11-19,128.99000549316406,100,0.0,-0.0
2009-11-20,129.66000366210938,100,0.0,-0.0
2009-11-23,133.0,100,0.0,-0.0
2009-11-24,132.94000244140625,100,0.0,-0.0
2009-11-25,134.02999877929688,100,0.0,-0.0
2009-11-27,131.74000549316406,100,0.0,-0.0
2009-11-30,135.91000366210938,100,0.0,-0.0
2009-12-01,138.5,100,0.0,-0.0
2009-12-02,142.25,100,0.0,-0.0
2009-12-03,141.1699981689453,100,0.0,-0.0
2009-12-04,137.5800018310547,100,0.0,-0.0
2009-12-07,134.2100067138672,0,-100.0,13421.000671386719
2009-12-08,134.11000061035156,0,0.0,-0.0
2009-12-09,131.30999755859375,0,0.0,-0.0
2009-12-10,135.3800048828125,0,0.0,-0.0
2009-12-11,134.14999389648438,0,0.0,-0.0
2009-12-14,131.3800048828125,0,0.0,-0.0
2009-12-15,130.22999572753906,0,0.0,-0.0
2009-12-16,128.36000061035156,0,0.0,-0.0
2009-12-17,126.91000366210938,0,0.0,-0.0
2009-12-18,128.47999572753906,0,0.0,-0.0
2009-12-21,132.7899932861328,100,100.0,-13278.999328613281
2009-12-22,133.75,100,0.0,-0.0
2009-12-23,138.94000244140625,100,0.0,-0.0
2009-12-24,138.47000122070312,100,0.0,-0.0
2009-12-28,139.30999755859375,100,0.0,-0.0
2009-12-29,139.41000366210938,100,0.0,-0.0
2009-12-30,136.49000549316406,100,0.0,-0.0
2009-12-31,134.52000427246094,100,0.0,13452.000427246094
