Date,price,shares,net shares,net cash
2014-02-13,129.5,100,100.0,-12950.0
2014-02-14,130.16000366210938,0,-100.0,13016.000366210938
2014-02-18,130.6300048828125,0,0.0,-0.0
2014-02-19,128.38999938964844,0,0.0,-0.0
2014-02-20,129.55999755859375,100,100.0,-12955.999755859375
2014-02-21,128.27999877929688,100,0.0,-0.0
2014-02-24,129.58999633789062,0,-100.0,12958.999633789062
2014-02-25,126.77999877929688,100,100.0,-12677.999877929688
2014-02-26,126.61000061035156,100,0.0,-0.0
2014-02-27,128.55999755859375,100,0.0,-0.0
2014-02-28,128.9199981689453,100,0.0,-0.0
2014-03-03,128.22000122070312,100,0.0,-0.0
2014-03-04,130.22999572753906,100,0.0,-0.0
2014-03-05,128.7899932861328,100,0.0,-0.0
2014-03-06,128.86000061035156,100,0.0,-0.0
2014-03-07,128.5399932861328,100,0.0,-0.0
2014-03-10,126.88999938964844,0,-100.0,12688.999938964844
2014-03-11,125.66999816894531,0,0.0,-0.0
2014-03-12,124.43000030517578,0,0.0,-0.0
2014-03-13,121.88999938964844,0,0.0,-0.0
2014-03-14,123.11000061035156,0,0.0,-0.0
2014-03-17,125.41999816894531,0,0.0,-0.0
2014-03-18,124.04000091552734,0,0.0,-0.0
2014-03-19,122.23999786376953,0,0.0,-0.0
2014-03-20,123.7300033569336,0,0.0,-0.0
2014-03-21,122.58000183105469,0,0.0,-0.0
2014-03-24,123.41999816894531,100,100.0,-12341.999816894531
2014-03-25,124.0199966430664,100,0.0,-0.0
2014-03-26,123.52999877929688,100,0.0,-0.0
2014-03-27,123.20999908447266,0,-100.0,12320.999908447266
2014-03-28,124.45999908447266,0,0.0,-0.0
2014-03-31,125.48999786376953,0,0.0,-0.0
2014-04-01,128.2100067138672,0,0.0,-0.0
2014-04-02,128.30999755859375,100,100.0,-12830.999755859375
2014-04-03,128.77999877929688,100,0.0,-0.0
2014-04-04,127.37999725341797,100,0.0,-0.0
2014-04-07,125.58999633789062,100,0.0,-0.0
2014-04-08,124.1500015258789,0,-100.0,12415.00015258789
2014-04-09,126.87999725341797,0,0.0,-0.0
2014-04-10,123.63999938964844,0,0.0,-0.0
2014-04-11,122.06999969482422,0,0.0,-0.0
2014-04-14,123.25,0,0.0,-0.0
2014-04-15,124.2699966430664,0,0.0,-0.0
2014-04-16,126.04000091552734,0,0.0,-0.0
2014-04-17,127.91999816894531,100,100.0,-12791.999816894531
2014-04-21,127.81999969482422,100,0.0,-0.0
2014-04-22,127.55000305175781,100,0.0,-0.0
2014-04-23,130.6300048828125,100,0.0,-0.0
2014-04-24,129.86000061035156,100,0.0,-0.0
2014-04-25,128.66000366210938,100,0.0,-0.0
2014-04-28,127.04000091552734,100,0.0,-0.0
2014-04-29,128.3699951171875,100,0.0,-0.0
2014-04-30,129.02000427246094,100,0.0,-0.0
2014-05-01,128.4600067138672,100,0.0,-0.0
2014-05-02,129.94000244140625,100,0.0,-0.0
2014-05-05,131.9600067138672,100,0.0,-0.0
2014-05-06,130.8300018310547,100,0.0,-0.0
2014-05-07,130.35000610351562,100,0.0,-0.0
2014-05-08,130.57000732421875,100,0.0,-0.0
2014-05-09,131.10000610351562,100,0.0,-0.0
2014-05-12,132.60000610351562,100,0.0,-0.0
2014-05-13,133.4499969482422,100,0.0,-0.0
2014-05-14,132.99000549316406,100,0.0,-0.0
2014-05-15,131.2100067138672,100,0.0,-0.0
2014-05-16,130.80999755859375,100,0.0,-0.0
2014-05-19,131.35000610351562,100,0.0,-0.0
2014-05-20,129.5800018310547,100,0.0,-0.0
2014-05-21,130.9600067138672,100,0.0,-0.0
2014-05-22,131.83999633789062,100,0.0,-0.0
2014-05-23,132.41000366210938,100,0.0,-0.0
2014-05-27,134.1699981689453,100,0.0,-0.0
2014-05-28,134.3300018310547,100,0.0,-0.0
2014-05-29,135.13999938964844,100,0.0,-0.0
2014-05-30,135.25,100,0.0,-0.0
2014-06-02,135.89999389648438,100,0.0,-0.0
2014-06-03,135.8800048828125,100,0.0,-0.0
2014-06-04,135.3300018310547,100,0.0,-0.0
2014-06-05,136.82000732421875,100,0.0,-0.0
2014-06-06,138.25,100,0.0,-0.0
2014-06-09,137.9600067138672,100,0.0,-0.0
2014-06-10,137.25,100,0.0,-0.0
2014-06-11,134.10000610351562,0,-100.0,13410.000610351562
2014-06-12,132.19000244140625,0,0.0,-0.0
2014-06-13,132.2899932861328,0,0.0,-0.0
2014-06-16,132.5399932861328,0,0.0,-0.0
2014-06-17,132.4499969482422,0,0.0,-0.0
2014-06-18,132.47999572753906,0,0.0,-0.0
2014-06-19,132.82000732421875,0,0.0,-0.0
2014-06-20,132.10000610351562,0,0.0,-0.0
2014-06-23,130.85000610351562,0,0.0,-0.0
2014-06-24,129.14999389648438,0,0.0,-0.0
2014-06-25,127.05999755859375,0,0.0,-0.0
2014-06-26,128.02000427246094,0,0.0,-0.0
2014-06-27,128.5399932861328,0,0.0,-0.0
2014-06-30,127.2300033569336,0,0.0,-0.0
2014-07-01,128.14999389648438,0,0.0,-0.0
2014-07-02,127.62000274658203,0,0.0,-0.0
2014-07-03,128.50999450683594,0,0.0,-0.0
2014-07-07,129.08999633789062,0,0.0,-0.0
2014-07-08,126.79000091552734,0,0.0,-0.0
2014-07-09,126.79000091552734,0,0.0,-0.0
2014-07-10,126.79000091552734,0,0.0,-0.0
2014-07-11,128.08999633789062,100,100.0,-12808.999633789062
2014-07-14,129.52000427246094,100,0.0,-0.0
2014-07-15,129.10000610351562,100,0.0,-0.0
2014-07-16,127.41999816894531,100,0.0,-0.0
2014-07-17,125.87999725341797,100,0.0,-0.0
2014-07-18,127.63999938964844,100,0.0,-0.0
2014-07-21,128.3000030517578,100,0.0,-0.0
2014-07-22,129.74000549316406,100,0.0,-0.0
2014-07-23,126.70999908447266,100,0.0,-0.0
2014-07-24,124.4000015258789,0,-100.0,12440.00015258789
2014-07-25,123.19999694824219,0,0.0,-0.0
2014-07-28,123.05999755859375,0,0.0,-0.0
2014-07-29,122.31999969482422,0,0.0,-0.0
2014-07-30,122.29000091552734,0,0.0,-0.0
2014-07-31,120.4800033569336,0,0.0,-0.0
2014-08-01,120.37999725341797,0,0.0,-0.0
2014-08-04,119.93000030517578,0,0.0,-0.0
2014-08-05,121.2699966430664,0,0.0,-0.0
2014-08-06,118.33999633789062,0,0.0,-0.0
2014-08-07,119.83999633789062,0,0.0,-0.0
2014-08-08,120.62999725341797,0,0.0,-0.0
