Date,price,shares,net shares,net cash
2013-02-13,147750,100,100.0,-14775000.0
2013-02-14,149240,100,0.0,-0.0
2013-02-15,150141,100,0.0,-0.0
2013-02-19,152498,100,0.0,-0.0
2013-02-20,151000,100,0.0,-0.0
2013-02-21,150500,100,0.0,-0.0
2013-02-22,152009,100,0.0,-0.0
2013-02-25,149900,100,0.0,-0.0
2013-02-26,148320,100,0.0,-0.0
2013-02-27,151916,100,0.0,-0.0
2013-02-28,152600,100,0.0,-0.0
2013-03-01,152750,100,0.0,-0.0
2013-03-04,152955,100,0.0,-0.0
2013-03-05,154425,100,0.0,-0.0
2013-03-06,155095,100,0.0,-0.0
2013-03-07,155210,100,0.0,-0.0
2013-03-08,155411,100,0.0,-0.0
2013-03-11,155978,100,0.0,-0.0
2013-03-12,154346,100,0.0,-0.0
2013-03-13,155431,100,0.0,-0.0
2013-03-14,155990,100,0.0,-0.0
2013-03-15,153500,100,0.0,-0.0
2013-03-18,153241,100,0.0,-0.0
2013-03-19,152571,100,0.0,-0.0
2013-03-20,153397,100,0.0,-0.0
2013-03-21,153000,100,0.0,-0.0
2013-03-22,153741,100,0.0,-0.0
2013-03-25,153784,100,0.0,-0.0
2013-03-26,155708,100,0.0,-0.0
2013-03-27,154630,100,0.0,-0.0
2013-03-28,156280,100,0.0,-0.0
2013-04-01,155253,100,0.0,-0.0
2013-04-02,157550,100,0.0,-0.0
2013-04-03,156400,100,0.0,-0.0
2013-04-04,157557,100,0.0,-0.0
2013-04-05,156330,100,0.0,-0.0
2013-04-08,158000,100,0.0,-0.0
2013-04-09,157570,100,0.0,-0.0
2013-04-10,159400,100,0.0,-0.0
2013-04-11,159935,100,0.0,-0.0
2013-04-12,160525,100,0.0,-0.0
2013-04-15,157000,100,0.0,-0.0
2013-04-16,161000,100,0.0,-0.0
2013-04-17,157700,100,0.0,-0.0
2013-04-18,154526,100,0.0,-0.0
2013-04-19,157861,100,0.0,-0.0
2013-04-22,157342,100,0.0,-0.0
2013-04-23,159980,100,0.0,-0.0
2013-04-24,159950,100,0.0,-0.0
2013-04-25,161025,100,0.0,-0.0
2013-04-26,160618,100,0.0,-0.0
2013-04-29,159700,100,0.0,-0.0
2013-04-30,159000,100,0.0,-0.0
2013-05-01,159699,100,0.0,-0.0
2013-05-02,160857,100,0.0,-0.0
2013-05-03,162904,100,0.0,-0.0
2013-05-06,164990,100,0.0,-0.0
2013-05-07,164690,100,0.0,-0.0
2013-05-08,166273,100,0.0,-0.0
2013-05-09,166100,100,0.0,-0.0
2013-05-10,167780,100,0.0,-0.0
2013-05-13,167380,100,0.0,-0.0
2013-05-14,169267,100,0.0,-0.0
2013-05-15,168940,100,0.0,-0.0
2013-05-16,167303,100,0.0,-0.0
2013-05-17,169400,100,0.0,-0.0
2013-05-20,169200,100,0.0,-0.0
2013-05-21,169189,100,0.0,-0.0
2013-05-22,167600,100,0.0,-0.0
2013-05-23,166980,100,0.0,-0.0
2013-05-24,166020,100,0.0,-0.0
2013-05-28,168400,100,0.0,-0.0
2013-05-29,169402,100,0.0,-0.0
2013-05-30,172200,100,0.0,-0.0
2013-05-31,171300,100,0.0,-0.0
2013-06-03,170911,100,0.0,-0.0
2013-06-04,169850,100,0.0,-0.0
2013-06-05,167400,100,0.0,-0.0
2013-06-06,169877,100,0.0,-0.0
2013-06-07,172900,100,0.0,-0.0
2013-06-10,172875,100,0.0,-0.0
2013-06-11,170150,100,0.0,-0.0
2013-06-12,169195,100,0.0,-0.0
2013-06-13,172604,100,0.0,-0.0
2013-06-14,171259,100,0.0,-0.0
2013-06-17,172710,100,0.0,-0.0
2013-06-18,172581,100,0.0,-0.0
2013-06-19,170952,100,0.0,-0.0
2013-06-20,167900,100,0.0,-0.0
2013-06-21,168200,100,0.0,-0.0
2013-06-24,166439,100,0.0,-0.0
2013-06-25,168314,100,0.0,-0.0
2013-06-26,169360,100,0.0,-0.0
2013-06-27,169326,100,0.0,-0.0
2013-06-28,168600,100,0.0,-0.0
2013-07-01,169622,0,-100.0,16962200.0
2013-07-02,168799,0,0.0,-0.0
2013-07-03,168976,0,0.0,-0.0
2013-07-05,172201,0,0.0,-0.0
2013-07-08,172500,0,0.0,-0.0
2013-07-09,173741,0,0.0,-0.0
2013-07-10,172605,100,100.0,-17260500.0
2013-07-11,175644,100,0.0,-0.0
2013-07-12,175505,100,0.0,-0.0
2013-07-15,175877,100,0.0,-0.0
2013-07-16,175849,100,0.0,-0.0
2013-07-17,176341,100,0.0,-0.0
2013-07-18,177678,100,0.0,-0.0
2013-07-19,178275,100,0.0,-0.0
2013-07-22,178223,100,0.0,-0.0
2013-07-23,177249,100,0.0,-0.0
2013-07-24,174581,100,0.0,-0.0
2013-07-25,175441,100,0.0,-0.0
2013-07-26,175926,100,0.0,-0.0
2013-07-29,174505,100,0.0,-0.0
2013-07-30,173566,100,0.0,-0.0
2013-07-31,173900,100,0.0,-0.0
2013-08-01,175700,100,0.0,-0.0
2013-08-02,176500,100,0.0,-0.0
2013-08-05,177300,100,0.0,-0.0
2013-08-06,176855,100,0.0,-0.0
2013-08-07,175200,100,0.0,-0.0
2013-08-08,176551,100,0.0,-0.0
2013-08-09,175100,100,0.0,-0.0
2013-08-12,175748,100,0.0,-0.0
2013-08-13,175725,100,0.0,-0.0
2013-08-14,174755,100,0.0,-0.0
2013-08-15,172799,100,0.0,-0.0
2013-08-16,173122,100,0.0,-0.0
2013-08-19,171501,100,0.0,-0.0
2013-08-20,173000,0,-100.0,17300000.0
2013-08-21,170800,0,0.0,-0.0
2013-08-22,172206,0,0.0,-0.0
2013-08-23,171320,0,0.0,-0.0
2013-08-26,171000,0,0.0,-0.0
2013-08-27,167350,0,0.0,-0.0
2013-08-28,168585,0,0.0,-0.0
2013-08-29,168050,0,0.0,-0.0
2013-08-30,167050,0,0.0,-0.0
2013-09-03,167993,0,0.0,-0.0
2013-09-04,168259,0,0.0,-0.0
2013-09-05,168240,0,0.0,-0.0
2013-09-06,167565,0,0.0,-0.0
2013-09-09,168880,0,0.0,-0.0
2013-09-10,170489,0,0.0,-0.0
2013-09-11,171340,0,0.0,-0.0
2013-09-12,170000,0,0.0,-0.0
2013-09-13,170155,0,0.0,-0.0
2013-09-16,172500,0,0.0,-0.0
2013-09-17,173299,0,0.0,-0.0
2013-09-18,175005,0,0.0,-0.0
2013-09-19,175825,0,0.0,-0.0
2013-09-20,175000,100,100.0,-17500000.0
2013-09-23,173539,100,0.0,-0.0
2013-09-24,172500,100,0.0,-0.0
2013-09-25,173368,100,0.0,-0.0
2013-09-26,173600,100,0.0,-0.0
2013-09-27,172210,100,0.0,-0.0
2013-09-30,170410,100,0.0,-0.0
2013-10-01,171028,100,0.0,-0.0
2013-10-02,171500,100,0.0,-0.0
2013-10-03,169995,100,0.0,-0.0
2013-10-04,170743,100,0.0,-0.0
2013-10-07,169455,0,-100.0,16945500.0
2013-10-08,167452,0,0.0,-0.0
2013-10-09,168205,0,0.0,-0.0
2013-10-10,172485,0,0.0,-0.0
2013-10-11,173605,0,0.0,-0.0
2013-10-14,174200,0,0.0,-0.0
2013-10-15,171920,0,0.0,-0.0
2013-10-16,174872,0,0.0,-0.0
2013-10-17,175286,0,0.0,-0.0
2013-10-18,175400,0,0.0,-0.0
2013-10-21,175120,100,100.0,-17512000.0
2013-10-22,176140,100,0.0,-0.0
2013-10-23,174600,100,0.0,-0.0
2013-10-24,175021,100,0.0,-0.0
2013-10-25,175435,100,0.0,-0.0
2013-10-28,175400,100,0.0,-0.0
2013-10-29,175991,100,0.0,-0.0
2013-10-30,174340,100,0.0,-0.0
2013-10-31,172994,100,0.0,-0.0
2013-11-01,173122,100,0.0,-0.0
2013-11-04,172089,100,0.0,-0.0
2013-11-05,171754,100,0.0,-0.0
2013-11-06,172220,100,0.0,-0.0
2013-11-07,171090,100,0.0,-0.0
2013-11-08,173201,100,0.0,-0.0
2013-11-11,173485,0,-100.0,17348500.0
2013-11-12,171211,0,0.0,-0.0
2013-11-13,172150,0,0.0,-0.0
2013-11-14,173320,0,0.0,-0.0
2013-11-15,174300,0,0.0,-0.0
2013-11-18,173810,0,0.0,-0.0
2013-11-19,173760,0,0.0,-0.0
2013-11-20,172480,0,0.0,-0.0
2013-11-21,174621,0,0.0,-0.0
2013-11-22,174850,0,0.0,-0.0
2013-11-25,173311,0,0.0,-0.0
2013-11-26,174840,100,100.0,-17484000.0
2013-11-27,174625,100,0.0,-0.0
2013-11-29,174750,100,0.0,-0.0
2013-12-02,172940,100,0.0,-0.0
2013-12-03,172131,100,0.0,-0.0
2013-12-04,173500,100,0.0,-0.0
2013-12-05,173000,100,0.0,-0.0
2013-12-06,174940,100,0.0,-0.0
2013-12-09,175700,100,0.0,-0.0
2013-12-10,173470,100,0.0,-0.0
2013-12-11,171630,100,0.0,-0.0
2013-12-12,171500,0,-100.0,17150000.0
2013-12-13,171100,0,0.0,-0.0
2013-12-16,171139,0,0.0,-0.0
2013-12-17,170420,0,0.0,-0.0
2013-12-18,174250,0,0.0,-0.0
2013-12-19,174649,0,0.0,-0.0
2013-12-20,175600,0,0.0,-0.0
2013-12-23,175898,0,0.0,-0.0
2013-12-24,176010,0,0.0,-0.0
2013-12-26,176900,0,0.0,-0.0
2013-12-27,177160,0,0.0,-0.0
2013-12-30,177069,100,100.0,-17706900.0
2013-12-31,177900,100,0.0,17790000.0
