Date,price,shares,net shares,net cash
2016-02-16,84.80999755859375,0,,
2016-02-17,88.30999755859375,100,100.0,-8830.999755859375
2016-02-18,86.7300033569336,100,0.0,-0.0
2016-02-19,86.5,100,0.0,-0.0
2016-02-22,88.81999969482422,100,0.0,-0.0
2016-02-23,84.91000366210938,100,0.0,-0.0
2016-02-24,85.2699966430664,100,0.0,-0.0
2016-02-25,85.30000305175781,100,0.0,-0.0
2016-02-26,84.3499984741211,100,0.0,-0.0
2016-02-29,83.44000244140625,100,0.0,-0.0
2016-03-01,86.12999725341797,100,0.0,-0.0
2016-03-02,87.13999938964844,100,0.0,-0.0
2016-03-03,87.52999877929688,100,0.0,-0.0
2016-03-04,87.93000030517578,100,0.0,-0.0
2016-03-07,90.66999816894531,100,0.0,-0.0
2016-03-08,88.73999786376953,100,0.0,-0.0
2016-03-09,92.81999969482422,100,0.0,-0.0
2016-03-10,93.94000244140625,100,0.0,-0.0
2016-03-11,94.58000183105469,100,0.0,-0.0
2016-03-14,94.26000213623047,100,0.0,-0.0
2016-03-15,94.2699966430664,100,0.0,-0.0
2016-03-16,95.4000015258789,100,0.0,-0.0
2016-03-17,96.88999938964844,100,0.0,-0.0
2016-03-18,97.69000244140625,100,0.0,-0.0
2016-03-21,96.44000244140625,100,0.0,-0.0
2016-03-22,95.5,100,0.0,-0.0
2016-03-23,93.58999633789062,100,0.0,-0.0
2016-03-24,94.8499984741211,100,0.0,-0.0
2016-03-28,94.68000030517578,100,0.0,-0.0
2016-03-29,95.31999969482422,100,0.0,-0.0
2016-03-30,95.25,100,0.0,-0.0
2016-03-31,95.4000015258789,100,0.0,-0.0
2016-04-01,94.26000213623047,0,-100.0,9426.000213623047
2016-04-04,93.43000030517578,0,0.0,-0.0
2016-04-05,92.66999816894531,0,0.0,-0.0
2016-04-06,94.83999633789062,100,100.0,-9483.999633789062
2016-04-07,94.79000091552734,100,0.0,-0.0
2016-04-08,96.33000183105469,100,0.0,-0.0
2016-04-11,95.23999786376953,100,0.0,-0.0
2016-04-12,97.51000213623047,100,0.0,-0.0
2016-04-13,97.5999984741211,100,0.0,-0.0
2016-04-14,97.9800033569336,100,0.0,-0.0
2016-04-15,97.2300033569336,100,0.0,-0.0
2016-04-18,98.69999694824219,100,0.0,-0.0
2016-04-19,100.5,100,0.0,-0.0
2016-04-20,101.69000244140625,100,0.0,-0.0
2016-04-21,101.4000015258789,100,0.0,-0.0
2016-04-22,102.01000213623047,100,0.0,-0.0
2016-04-25,101.51000213623047,100,0.0,-0.0
2016-04-26,102.29000091552734,100,0.0,-0.0
2016-04-27,103.8499984741211,100,0.0,-0.0
2016-04-28,102.4000015258789,100,0.0,-0.0
2016-04-29,102.18000030517578,100,0.0,-0.0
2016-05-02,103.30999755859375,100,0.0,-0.0
2016-05-03,101.31999969482422,100,0.0,-0.0
2016-05-04,100.58999633789062,100,0.0,-0.0
2016-05-05,101.41999816894531,0,-100.0,10141.999816894531
2016-05-06,101.86000061035156,0,0.0,-0.0
2016-05-09,100.3499984741211,100,100.0,-10034.99984741211
2016-05-10,101.2699966430664,100,0.0,-0.0
2016-05-11,101.13999938964844,100,0.0,-0.0
2016-05-12,102.12000274658203,100,0.0,-0.0
2016-05-13,100.73999786376953,100,0.0,-0.0
2016-05-16,102.29000091552734,100,0.0,-0.0
2016-05-17,100.75,100,0.0,-0.0
2016-05-18,100.05999755859375,0,-100.0,10005.999755859375
2016-05-19,99.8499984741211,0,0.0,-0.0
2016-05-20,99.79000091552734,0,0.0,-0.0
2016-05-23,99.37999725341797,0,0.0,-0.0
2016-05-24,100.19000244140625,0,0.0,-0.0
2016-05-25,101.7699966430664,0,0.0,-0.0
2016-05-26,101.5,0,0.0,-0.0
2016-05-27,102.0199966430664,0,0.0,-0.0
2016-05-31,101.0,0,0.0,-0.0
2016-06-01,101.12999725341797,0,0.0,-0.0
2016-06-02,100.52999877929688,0,0.0,-0.0
2016-06-03,100.66000366210938,0,0.0,-0.0
2016-06-06,101.16999816894531,0,0.0,-0.0
2016-06-07,103.31999969482422,100,100.0,-10331.999969482422
2016-06-08,103.08999633789062,100,0.0,-0.0
2016-06-09,102.80999755859375,100,0.0,-0.0
2016-06-10,101.9800033569336,0,-100.0,10198.00033569336
2016-06-13,102.0999984741211,0,0.0,-0.0
2016-06-14,101.27999877929688,0,0.0,-0.0
2016-06-15,100.62999725341797,0,0.0,-0.0
2016-06-16,101.06999969482422,0,0.0,-0.0
2016-06-17,101.56999969482422,0,0.0,-0.0
2016-06-20,102.61000061035156,0,0.0,-0.0
2016-06-21,103.23999786376953,100,100.0,-10323.999786376953
2016-06-22,102.29000091552734,100,0.0,-0.0
2016-06-23,104.44000244140625,0,-100.0,10444.000244140625
2016-06-24,101.9000015258789,0,0.0,-0.0
2016-06-27,100.36000061035156,0,0.0,-0.0
2016-06-28,101.62999725341797,0,0.0,-0.0
2016-06-29,103.41999816894531,0,0.0,-0.0
2016-06-30,104.83000183105469,100,100.0,-10483.000183105469
2016-07-01,104.1500015258789,100,0.0,-0.0
2016-07-05,103.56999969482422,100,0.0,-0.0
2016-07-06,104.58000183105469,100,0.0,-0.0
2016-07-07,103.05000305175781,100,0.0,-0.0
2016-07-08,104.7699966430664,100,0.0,-0.0
2016-07-11,105.38999938964844,100,0.0,-0.0
2016-07-12,106.77999877929688,100,0.0,-0.0
2016-07-13,106.6500015258789,100,0.0,-0.0
