Date,price,shares,net shares,net cash
2013-02-13,46.96790313720703,0,,
2013-02-14,46.242034912109375,0,0.0,-0.0
2013-02-15,45.77235412597656,0,0.0,-0.0
2013-02-19,45.82928466796875,0,0.0,-0.0
2013-02-20,45.03225326538086,0,0.0,-0.0
2013-02-21,43.893638610839844,0,0.0,-0.0
2013-02-22,44.66220474243164,0,0.0,-0.0
2013-02-25,43.608985900878906,0,0.0,-0.0
2013-02-26,43.96480178833008,0,0.0,-0.0
2013-02-27,45.27421188354492,0,0.0,-0.0
2013-02-28,45.1461181640625,0,0.0,-0.0
2013-03-01,45.27421188354492,0,0.0,-0.0
2013-03-04,45.43077087402344,0,0.0,-0.0
2013-03-05,45.82928466796875,100,100.0,-4582.928466796875
2013-03-06,46.555152893066406,100,0.0,-0.0
2013-03-07,46.25626754760742,100,0.0,-0.0
2013-03-08,46.64054870605469,100,0.0,-0.0
2013-03-11,46.953670501708984,100,0.0,-0.0
2013-03-12,47.309486389160156,100,0.0,-0.0
2013-03-13,47.266788482666016,100,0.0,-0.0
2013-03-14,47.92149353027344,100,0.0,-0.0
2013-03-15,48.120750427246094,100,0.0,-0.0
2013-03-18,47.3521842956543,100,0.0,-0.0
2013-03-19,47.23832321166992,100,0.0,-0.0
2013-03-20,47.594139099121094,100,0.0,-0.0
2013-03-21,46.22780227661133,100,0.0,-0.0
2013-03-22,46.654781341552734,100,0.0,-0.0
2013-03-25,45.95737838745117,100,0.0,-0.0
2013-03-26,45.54463195800781,100,0.0,-0.0
2013-03-27,45.23151397705078,0,-100.0,4523.151397705078
2013-03-28,45.31690979003906,0,0.0,-0.0
2013-04-01,44.647972106933594,0,0.0,-0.0
2013-04-02,44.05019760131836,0,0.0,-0.0
2013-04-03,44.121360778808594,0,0.0,-0.0
2013-04-04,44.733367919921875,0,0.0,-0.0
2013-04-05,43.979034423828125,0,0.0,-0.0
2013-04-08,43.665916442871094,0,0.0,-0.0
2013-04-09,44.74760055541992,0,0.0,-0.0
2013-04-10,45.302677154541016,0,0.0,-0.0
2013-04-11,45.345375061035156,0,0.0,-0.0
2013-04-12,45.18881607055664,0,0.0,-0.0
2013-04-15,42.954280853271484,0,0.0,-0.0
2013-04-16,43.082374572753906,0,0.0,-0.0
2013-04-17,43.12507247924805,0,0.0,-0.0
2013-04-18,42.954280853271484,0,0.0,-0.0
2013-04-19,43.480892181396484,100,100.0,-4348.089218139648
2013-04-22,44.10712814331055,100,0.0,-0.0
2013-04-23,45.06071853637695,100,0.0,-0.0
2013-04-24,45.78658676147461,100,0.0,-0.0
2013-04-25,48.348472595214844,100,0.0,-0.0
2013-04-26,47.565673828125,100,0.0,-0.0
2013-04-29,48.206146240234375,100,0.0,-0.0
2013-04-30,48.26307678222656,100,0.0,-0.0
2013-05-01,47.181392669677734,100,0.0,-0.0
2013-05-02,47.138694763183594,100,0.0,-0.0
2013-05-03,48.3342399597168,100,0.0,-0.0
2013-05-06,48.40540313720703,100,0.0,-0.0
2013-05-07,49.15973663330078,100,0.0,-0.0
2013-05-08,49.11703872680664,100,0.0,-0.0
2013-05-09,49.70058059692383,100,0.0,-0.0
2013-05-10,49.045875549316406,100,0.0,-0.0
2013-05-13,48.88931655883789,100,0.0,-0.0
2013-05-14,49.714813232421875,100,0.0,-0.0
2013-05-15,50.2983512878418,100,0.0,-0.0
2013-05-16,49.95676803588867,100,0.0,-0.0
2013-05-17,50.98152160644531,100,0.0,-0.0
2013-05-20,50.68263626098633,100,0.0,-0.0
2013-05-21,50.924591064453125,100,0.0,-0.0
2013-05-22,49.985233306884766,100,0.0,-0.0
2013-05-23,49.95676803588867,100,0.0,-0.0
2013-05-24,49.92830276489258,100,0.0,-0.0
2013-05-28,49.87137222290039,100,0.0,-0.0
2013-05-29,49.72904586791992,100,0.0,-0.0
2013-05-30,49.529788970947266,100,0.0,-0.0
2013-05-31,49.045875549316406,100,0.0,-0.0
2013-06-03,48.875083923339844,100,0.0,-0.0
2013-06-04,49.273597717285156,100,0.0,-0.0
2013-06-05,47.90726089477539,0,-100.0,4790.726089477539
2013-06-06,48.23461151123047,0,0.0,-0.0
2013-06-07,48.88931655883789,0,0.0,-0.0
2013-06-10,48.8608512878418,0,0.0,-0.0
2013-06-11,48.391170501708984,0,0.0,-0.0
2013-06-12,48.09228515625,100,100.0,-4809.228515625
2013-06-13,49.3162956237793,100,0.0,-0.0
2013-06-14,48.40540313720703,100,0.0,-0.0
2013-06-17,48.59042739868164,100,0.0,-0.0
2013-06-18,49.273597717285156,100,0.0,-0.0
2013-06-19,48.53349685668945,100,0.0,-0.0
2013-06-20,47.23832321166992,0,-100.0,4723.832321166992
2013-06-21,46.44129180908203,0,0.0,-0.0
2013-06-24,46.04277801513672,0,0.0,-0.0
2013-06-25,46.25626754760742,0,0.0,-0.0
2013-06-26,45.82928466796875,0,0.0,-0.0
2013-06-27,46.04277801513672,0,0.0,-0.0
2013-06-28,45.78658676147461,0,0.0,-0.0
2013-07-01,46.25626754760742,0,0.0,-0.0
2013-07-02,46.17087173461914,0,0.0,-0.0
2013-07-03,46.156639099121094,0,0.0,-0.0
2013-07-05,46.52668762207031,0,0.0,-0.0
2013-07-08,47.09599685668945,0,0.0,-0.0
2013-07-09,48.41963577270508,100,100.0,-4841.963577270508
2013-07-10,48.09228515625,100,0.0,-0.0
2013-07-11,48.67582702636719,100,0.0,-0.0
2013-07-12,48.56196212768555,100,0.0,-0.0
2013-07-15,48.960479736328125,100,0.0,-0.0
2013-07-16,48.348472595214844,100,0.0,-0.0
2013-07-17,49.43015670776367,100,0.0,-0.0
2013-07-18,49.21666717529297,100,0.0,-0.0
2013-07-19,49.34476089477539,100,0.0,-0.0
2013-07-22,49.230899810791016,100,0.0,-0.0
2013-07-23,49.17396926879883,100,0.0,-0.0
2013-07-24,48.917781829833984,100,0.0,-0.0
2013-07-25,49.800209045410156,100,0.0,-0.0
2013-07-26,49.38745880126953,100,0.0,-0.0
2013-07-29,49.8144416809082,100,0.0,-0.0
