Date,price,shares,net shares,net cash
2015-02-13,79.83999633789062,0,,
2015-02-17,79.38999938964844,0,0.0,-0.0
2015-02-18,80.97000122070312,0,0.0,-0.0
2015-02-19,79.16999816894531,0,0.0,-0.0
2015-02-20,78.70999908447266,0,0.0,-0.0
2015-02-23,79.26000213623047,0,0.0,-0.0
2015-02-24,79.8499984741211,0,0.0,-0.0
2015-02-25,79.01000213623047,0,0.0,-0.0
2015-02-26,78.55999755859375,0,0.0,-0.0
2015-02-27,78.55000305175781,0,0.0,-0.0
2015-03-02,77.05999755859375,0,0.0,-0.0
2015-03-03,77.51000213623047,0,0.0,-0.0
2015-03-04,77.08000183105469,0,0.0,-0.0
2015-03-05,77.58000183105469,0,0.0,-0.0
2015-03-06,74.95999908447266,0,0.0,-0.0
2015-03-09,74.76000213623047,0,0.0,-0.0
2015-03-10,74.69999694824219,0,0.0,-0.0
2015-03-11,74.27999877929688,0,0.0,-0.0
2015-03-12,75.27999877929688,0,0.0,-0.0
2015-03-13,74.61000061035156,0,0.0,-0.0
2015-03-16,75.70999908447266,0,0.0,-0.0
2015-03-17,75.08000183105469,0,0.0,-0.0
2015-03-18,76.4000015258789,0,0.0,-0.0
2015-03-19,76.01000213623047,0,0.0,-0.0
2015-03-20,76.66999816894531,0,0.0,-0.0
2015-03-23,76.80000305175781,0,0.0,-0.0
2015-03-24,76.05999755859375,0,0.0,-0.0
2015-03-25,74.95999908447266,0,0.0,-0.0
2015-03-26,74.3499984741211,0,0.0,-0.0
2015-03-27,75.0,0,0.0,-0.0
2015-03-30,75.9000015258789,0,0.0,-0.0
2015-03-31,76.77999877929688,100,100.0,-7677.9998779296875
2015-04-01,76.83000183105469,100,0.0,-0.0
2015-04-02,76.97000122070312,100,0.0,-0.0
2015-04-06,78.23999786376953,100,0.0,-0.0
2015-04-07,77.6500015258789,100,0.0,-0.0
2015-04-08,77.30000305175781,100,0.0,-0.0
2015-04-09,77.01000213623047,100,0.0,-0.0
2015-04-10,77.83999633789062,100,0.0,-0.0
2015-04-13,77.2300033569336,100,0.0,-0.0
2015-04-14,77.58999633789062,100,0.0,-0.0
2015-04-15,78.0199966430664,0,-100.0,7801.999664306641
2015-04-16,77.30999755859375,0,0.0,-0.0
2015-04-17,77.30999755859375,100,100.0,-7730.999755859375
2015-04-20,78.61000061035156,0,-100.0,7861.000061035156
2015-04-21,78.06999969482422,100,100.0,-7806.999969482422
2015-04-22,78.30000305175781,100,0.0,-0.0
2015-04-23,78.86000061035156,100,0.0,-0.0
2015-04-24,79.41000366210938,100,0.0,-0.0
2015-04-27,78.37000274658203,100,0.0,-0.0
2015-04-28,78.97000122070312,100,0.0,-0.0
2015-04-29,78.43000030517578,100,0.0,-0.0
2015-04-30,77.56999969482422,100,0.0,-0.0
2015-05-01,77.9000015258789,0,-100.0,7790.000152587891
2015-05-04,77.95999908447266,0,0.0,-0.0
2015-05-05,76.25,0,0.0,-0.0
2015-05-06,76.41000366210938,0,0.0,-0.0
2015-05-07,76.80999755859375,0,0.0,-0.0
2015-05-08,77.11000061035156,0,0.0,-0.0
2015-05-11,76.56999969482422,0,0.0,-0.0
2015-05-12,76.30000305175781,0,0.0,-0.0
2015-05-13,74.44000244140625,0,0.0,-0.0
2015-05-14,75.48999786376953,0,0.0,-0.0
2015-05-15,76.1500015258789,0,0.0,-0.0
2015-05-18,76.02999877929688,0,0.0,-0.0
2015-05-19,76.19000244140625,0,0.0,-0.0
2015-05-20,76.54000091552734,0,0.0,-0.0
2015-05-21,76.16000366210938,0,0.0,-0.0
2015-05-22,76.05000305175781,100,100.0,-7605.000305175781
2015-05-26,75.76000213623047,0,-100.0,7576.000213623047
2015-05-27,76.20999908447266,0,0.0,-0.0
2015-05-28,75.94999694824219,0,0.0,-0.0
2015-05-29,75.7300033569336,0,0.0,-0.0
2015-06-01,76.0,0,0.0,-0.0
2015-06-02,75.05000305175781,0,0.0,-0.0
2015-06-03,74.19999694824219,0,0.0,-0.0
2015-06-04,74.20999908447266,0,0.0,-0.0
2015-06-05,72.8499984741211,0,0.0,-0.0
2015-06-08,72.44999694824219,0,0.0,-0.0
2015-06-09,72.12999725341797,0,0.0,-0.0
2015-06-10,72.05000305175781,0,0.0,-0.0
2015-06-11,72.86000061035156,0,0.0,-0.0
2015-06-12,72.52999877929688,0,0.0,-0.0
2015-06-15,72.5,0,0.0,-0.0
2015-06-16,72.56999969482422,0,0.0,-0.0
2015-06-17,73.08000183105469,100,100.0,-7308.000183105469
2015-06-18,74.54000091552734,100,0.0,-0.0
2015-06-19,73.19999694824219,100,0.0,-0.0
2015-06-22,73.06999969482422,100,0.0,-0.0
2015-06-23,71.77999877929688,100,0.0,-0.0
2015-06-24,70.93000030517578,0,-100.0,7093.000030517578
2015-06-25,70.68000030517578,0,0.0,-0.0
2015-06-26,71.0,0,0.0,-0.0
2015-06-29,70.8499984741211,0,0.0,-0.0
2015-06-30,70.62000274658203,0,0.0,-0.0
2015-07-01,71.08000183105469,0,0.0,-0.0
2015-07-02,72.52999877929688,100,100.0,-7252.9998779296875
2015-07-06,72.8499984741211,100,0.0,-0.0
2015-07-07,75.2699966430664,100,0.0,-0.0
2015-07-08,74.79000091552734,100,0.0,-0.0
2015-07-09,74.06999969482422,100,0.0,-0.0
2015-07-10,74.37000274658203,100,0.0,-0.0
2015-07-13,74.3499984741211,100,0.0,-0.0
2015-07-14,73.80000305175781,100,0.0,-0.0
2015-07-15,74.0199966430664,100,0.0,-0.0
2015-07-16,74.80999755859375,100,0.0,-0.0
2015-07-17,73.56999969482422,100,0.0,-0.0
2015-07-20,73.2699966430664,100,0.0,-0.0
2015-07-21,72.41999816894531,100,0.0,-0.0
2015-07-22,72.37000274658203,100,0.0,-0.0
2015-07-23,71.55999755859375,100,0.0,-0.0
2015-07-24,71.69000244140625,100,0.0,-0.0
2015-07-27,73.0,100,0.0,-0.0
2015-07-28,73.12999725341797,100,0.0,-0.0
2015-07-29,73.11000061035156,100,0.0,-0.0
2015-07-30,73.44999694824219,100,0.0,-0.0
2015-07-31,74.22000122070312,100,0.0,-0.0
2015-08-03,74.95999908447266,100,0.0,-0.0
2015-08-04,73.91999816894531,100,0.0,-0.0
2015-08-05,73.9800033569336,100,0.0,-0.0
2015-08-06,73.83999633789062,100,0.0,-0.0
2015-08-07,75.1500015258789,100,0.0,-0.0
2015-08-10,74.80999755859375,100,0.0,-0.0
2015-08-11,75.29000091552734,100,0.0,-0.0
2015-08-12,75.55999755859375,100,0.0,-0.0
2015-08-13,75.58000183105469,100,0.0,-0.0
2015-08-14,76.37000274658203,100,0.0,-0.0
2015-08-17,76.5199966430664,100,0.0,-0.0
2015-08-18,76.23999786376953,100,0.0,-0.0
2015-08-19,77.20999908447266,100,0.0,-0.0
2015-08-20,76.7699966430664,100,0.0,-0.0
2015-08-21,76.70999908447266,100,0.0,-0.0
2015-08-24,72.44000244140625,100,0.0,-0.0
2015-08-25,70.20999908447266,100,0.0,-0.0
2015-08-26,71.73999786376953,100,0.0,-0.0
2015-08-27,72.5199966430664,0,-100.0,7251.999664306641
2015-08-28,72.38999938964844,0,0.0,-0.0
2015-08-31,70.91000366210938,0,0.0,-0.0
2015-09-01,69.05000305175781,0,0.0,-0.0
2015-09-02,69.16000366210938,0,0.0,-0.0
2015-09-03,69.27999877929688,0,0.0,-0.0
2015-09-04,68.26000213623047,0,0.0,-0.0
2015-09-08,69.36000061035156,100,100.0,-6936.000061035156
2015-09-09,68.20999908447266,100,0.0,-0.0
2015-09-10,67.73999786376953,100,0.0,-0.0
2015-09-11,68.33999633789062,100,0.0,-0.0
2015-09-14,68.30999755859375,100,0.0,-0.0
2015-09-15,68.58999633789062,100,0.0,-0.0
2015-09-16,69.18000030517578,100,0.0,-0.0
2015-09-17,69.91000366210938,100,0.0,-0.0
2015-09-18,69.44999694824219,100,0.0,-0.0
2015-09-21,70.05000305175781,0,-100.0,7005.000305175781
2015-09-22,69.1500015258789,0,0.0,-0.0
2015-09-23,69.08999633789062,0,0.0,-0.0
2015-09-24,70.31999969482422,0,0.0,-0.0
2015-09-25,70.70999908447266,0,0.0,-0.0
2015-09-28,70.44999694824219,100,100.0,-7044.999694824219
2015-09-29,70.7300033569336,100,0.0,-0.0
2015-09-30,71.94000244140625,100,0.0,-0.0
2015-10-01,70.66999816894531,100,0.0,-0.0
2015-10-02,71.95999908447266,100,0.0,-0.0
2015-10-05,73.08000183105469,100,0.0,-0.0
2015-10-06,73.08999633789062,100,0.0,-0.0
2015-10-07,72.66999816894531,100,0.0,-0.0
2015-10-08,73.0,100,0.0,-0.0
2015-10-09,72.26000213623047,100,0.0,-0.0
2015-10-12,72.81999969482422,100,0.0,-0.0
2015-10-13,72.52999877929688,100,0.0,-0.0
2015-10-14,72.33999633789062,100,0.0,-0.0
2015-10-15,73.4800033569336,100,0.0,-0.0
2015-10-16,73.58999633789062,100,0.0,-0.0
2015-10-19,73.58000183105469,100,0.0,-0.0
2015-10-20,73.69999694824219,100,0.0,-0.0
2015-10-21,73.86000061035156,100,0.0,-0.0
2015-10-22,75.05999755859375,100,0.0,-0.0
2015-10-23,73.73999786376953,100,0.0,-0.0
2015-10-26,72.25,100,0.0,-0.0
2015-10-27,72.41000366210938,100,0.0,-0.0
2015-10-28,71.55000305175781,100,0.0,-0.0
2015-10-29,71.56999969482422,100,0.0,-0.0
2015-10-30,71.47000122070312,100,0.0,-0.0
2015-11-02,72.18000030517578,100,0.0,-0.0
2015-11-03,72.23999786376953,100,0.0,-0.0
2015-11-04,71.93000030517578,0,-100.0,7193.000030517578
2015-11-05,71.44999694824219,0,0.0,-0.0
2015-11-06,67.76000213623047,0,0.0,-0.0
2015-11-09,67.97000122070312,0,0.0,-0.0
2015-11-10,67.37000274658203,0,0.0,-0.0
2015-11-11,68.2300033569336,0,0.0,-0.0
2015-11-12,67.29000091552734,0,0.0,-0.0
2015-11-13,66.88999938964844,0,0.0,-0.0
2015-11-16,67.7300033569336,0,0.0,-0.0
2015-11-17,65.83000183105469,0,0.0,-0.0
2015-11-18,67.19999694824219,0,0.0,-0.0
2015-11-19,68.48999786376953,100,100.0,-6848.999786376953
2015-11-20,69.0999984741211,100,0.0,-0.0
2015-11-23,68.01000213623047,100,0.0,-0.0
2015-11-24,68.08000183105469,100,0.0,-0.0
2015-11-25,67.72000122070312,100,0.0,-0.0
2015-11-27,67.51000213623047,100,0.0,-0.0
2015-11-30,67.76000213623047,100,0.0,-0.0
2015-12-01,68.05999755859375,100,0.0,-0.0
2015-12-02,66.12999725341797,0,-100.0,6612.999725341797
2015-12-03,66.2300033569336,0,0.0,-0.0
2015-12-04,67.04000091552734,0,0.0,-0.0
2015-12-07,68.5,100,100.0,-6850.0
2015-12-08,68.44000244140625,100,0.0,-0.0
2015-12-09,68.61000061035156,100,0.0,-0.0
2015-12-10,67.43000030517578,100,0.0,-0.0
2015-12-11,67.83999633789062,100,0.0,-0.0
2015-12-14,68.44999694824219,100,0.0,-0.0
2015-12-15,68.83999633789062,100,0.0,-0.0
2015-12-16,70.02999877929688,100,0.0,-0.0
2015-12-17,70.5,100,0.0,-0.0
2015-12-18,69.5999984741211,100,0.0,-0.0
2015-12-21,69.80999755859375,100,0.0,-0.0
2015-12-22,70.94999694824219,100,0.0,-0.0
2015-12-23,72.0,100,0.0,-0.0
2015-12-24,72.04000091552734,100,0.0,-0.0
2015-12-28,71.91999816894531,100,0.0,-0.0
2015-12-29,72.37000274658203,100,0.0,-0.0
2015-12-30,72.19000244140625,100,0.0,-0.0
2015-12-31,71.38999938964844,100,0.0,7138.999938964844
