Date,price,shares,net shares,net cash
2014-02-13,54.52000045776367,100,100.0,-5452.000045776367
2014-02-14,55.15999984741211,100,0.0,-0.0
2014-02-18,55.27000045776367,100,0.0,-0.0
2014-02-19,54.7400016784668,100,0.0,-0.0
2014-02-20,55.29999923706055,100,0.0,-0.0
2014-02-21,55.290000915527344,100,0.0,-0.0
2014-02-24,55.75,100,0.0,-0.0
2014-02-25,56.11000061035156,100,0.0,-0.0
2014-02-26,55.70000076293945,100,0.0,-0.0
2014-02-27,55.56999969482422,100,0.0,-0.0
2014-02-28,56.04999923706055,100,0.0,-0.0
2014-03-03,55.459999084472656,100,0.0,-0.0
2014-03-04,55.65999984741211,100,0.0,-0.0
2014-03-05,55.279998779296875,100,0.0,-0.0
2014-03-06,55.290000915527344,100,0.0,-0.0
2014-03-07,55.439998626708984,100,0.0,-0.0
2014-03-10,55.47999954223633,100,0.0,-0.0
2014-03-11,55.119998931884766,100,0.0,-0.0
2014-03-12,54.619998931884766,0,-100.0,5461.999893188477
2014-03-13,53.689998626708984,0,0.0,-0.0
2014-03-14,54.65999984741211,0,0.0,-0.0
2014-03-17,55.04999923706055,0,0.0,-0.0
2014-03-18,54.40999984741211,0,0.0,-0.0
2014-03-19,52.68000030517578,0,0.0,-0.0
2014-03-20,52.779998779296875,0,0.0,-0.0
2014-03-21,52.459999084472656,0,0.0,-0.0
2014-03-24,52.66999816894531,0,0.0,-0.0
2014-03-25,53.040000915527344,0,0.0,-0.0
2014-03-26,53.150001525878906,0,0.0,-0.0
2014-03-27,53.630001068115234,0,0.0,-0.0
2014-03-28,53.16999816894531,0,0.0,-0.0
2014-03-31,53.650001525878906,100,100.0,-5365.000152587891
2014-04-01,53.11000061035156,100,0.0,-0.0
2014-04-02,53.58000183105469,100,0.0,-0.0
2014-04-03,53.65999984741211,100,0.0,-0.0
2014-04-04,54.36000061035156,100,0.0,-0.0
2014-04-07,54.75,100,0.0,-0.0
2014-04-08,55.54999923706055,100,0.0,-0.0
2014-04-09,55.2599983215332,100,0.0,-0.0
2014-04-10,55.400001525878906,100,0.0,-0.0
2014-04-11,55.599998474121094,100,0.0,-0.0
2014-04-14,55.86000061035156,100,0.0,-0.0
2014-04-15,57.189998626708984,100,0.0,-0.0
2014-04-16,57.59000015258789,100,0.0,-0.0
2014-04-17,56.5,100,0.0,-0.0
2014-04-21,56.849998474121094,100,0.0,-0.0
2014-04-22,56.849998474121094,100,0.0,-0.0
2014-04-23,56.66999816894531,100,0.0,-0.0
2014-04-24,56.959999084472656,100,0.0,-0.0
2014-04-25,57.7400016784668,100,0.0,-0.0
2014-04-28,58.2599983215332,100,0.0,-0.0
2014-04-29,58.0099983215332,100,0.0,-0.0
2014-04-30,58.029998779296875,100,0.0,-0.0
2014-05-01,58.08000183105469,100,0.0,-0.0
2014-05-02,56.81999969482422,100,0.0,-0.0
2014-05-05,57.029998779296875,100,0.0,-0.0
2014-05-06,57.029998779296875,100,0.0,-0.0
2014-05-07,57.79999923706055,0,-100.0,5779.999923706055
2014-05-08,57.40999984741211,100,100.0,-5740.999984741211
2014-05-09,56.20000076293945,100,0.0,-0.0
2014-05-12,54.90999984741211,100,0.0,-0.0
2014-05-13,54.869998931884766,100,0.0,-0.0
2014-05-14,55.25,100,0.0,-0.0
2014-05-15,54.959999084472656,100,0.0,-0.0
