Date,price,shares,net shares,net cash
2014-02-13,67.33000183105469,100,100.0,-6733.000183105469
2014-02-14,67.08999633789062,100,0.0,-0.0
2014-02-18,67.30000305175781,100,0.0,-0.0
2014-02-19,68.05999755859375,100,0.0,-0.0
2014-02-20,69.62999725341797,100,0.0,-0.0
2014-02-21,68.58999633789062,100,0.0,-0.0
2014-02-24,70.77999877929688,100,0.0,-0.0
2014-02-25,69.8499984741211,100,0.0,-0.0
2014-02-26,69.26000213623047,100,0.0,-0.0
2014-02-27,68.94000244140625,100,0.0,-0.0
2014-02-28,68.45999908447266,100,0.0,-0.0
2014-03-03,67.41000366210938,100,0.0,-0.0
2014-03-04,68.80000305175781,100,0.0,-0.0
2014-03-05,71.56999969482422,100,0.0,-0.0
2014-03-06,70.83999633789062,100,0.0,-0.0
2014-03-07,69.80000305175781,100,0.0,-0.0
2014-03-10,72.02999877929688,100,0.0,-0.0
2014-03-11,70.0999984741211,100,0.0,-0.0
2014-03-12,70.87999725341797,100,0.0,-0.0
2014-03-13,68.83000183105469,100,0.0,-0.0
2014-03-14,67.72000122070312,100,0.0,-0.0
2014-03-17,68.73999786376953,100,0.0,-0.0
2014-03-18,69.19000244140625,100,0.0,-0.0
2014-03-19,68.23999786376953,100,0.0,-0.0
2014-03-20,66.97000122070312,0,-100.0,6697.0001220703125
2014-03-21,67.23999786376953,0,0.0,-0.0
2014-03-24,64.0999984741211,0,0.0,-0.0
2014-03-25,64.88999938964844,0,0.0,-0.0
2014-03-26,60.38999938964844,0,0.0,-0.0
2014-03-27,60.970001220703125,0,0.0,-0.0
2014-03-28,60.0099983215332,0,0.0,-0.0
2014-03-31,60.2400016784668,0,0.0,-0.0
2014-04-01,62.619998931884766,0,0.0,-0.0
2014-04-02,62.720001220703125,0,0.0,-0.0
2014-04-03,59.4900016784668,0,0.0,-0.0
2014-04-04,56.75,0,0.0,-0.0
2014-04-07,56.95000076293945,0,0.0,-0.0
2014-04-08,58.189998626708984,0,0.0,-0.0
2014-04-09,62.40999984741211,100,100.0,-6240.999984741211
2014-04-10,59.15999984741211,100,0.0,-0.0
2014-04-11,58.529998779296875,100,0.0,-0.0
2014-04-14,58.88999938964844,100,0.0,-0.0
2014-04-15,59.09000015258789,100,0.0,-0.0
2014-04-16,59.720001220703125,100,0.0,-0.0
2014-04-17,58.939998626708984,100,0.0,-0.0
2014-04-21,61.2400016784668,100,0.0,-0.0
2014-04-22,63.029998779296875,100,0.0,-0.0
2014-04-23,61.36000061035156,100,0.0,-0.0
2014-04-24,60.869998931884766,100,0.0,-0.0
2014-04-25,57.709999084472656,0,-100.0,5770.999908447266
2014-04-28,56.13999938964844,0,0.0,-0.0
2014-04-29,58.150001525878906,0,0.0,-0.0
2014-04-30,59.779998779296875,0,0.0,-0.0
2014-05-01,61.150001525878906,100,100.0,-6115.000152587891
2014-05-02,60.459999084472656,100,0.0,-0.0
2014-05-05,61.220001220703125,100,0.0,-0.0
2014-05-06,58.529998779296875,0,-100.0,5852.9998779296875
2014-05-07,57.38999938964844,0,0.0,-0.0
2014-05-08,56.7599983215332,0,0.0,-0.0
2014-05-09,57.2400016784668,0,0.0,-0.0
2014-05-12,59.83000183105469,0,0.0,-0.0
2014-05-13,59.83000183105469,0,0.0,-0.0
2014-05-14,59.22999954223633,0,0.0,-0.0
2014-05-15,57.91999816894531,0,0.0,-0.0
2014-05-16,58.02000045776367,100,100.0,-5802.000045776367
2014-05-19,59.209999084472656,100,0.0,-0.0
2014-05-20,58.560001373291016,100,0.0,-0.0
2014-05-21,60.4900016784668,100,0.0,-0.0
