Date,price,shares,net shares,net cash
2013-02-13,389.9682922363281,100,100.0,-38996.82922363281
2013-02-14,392.4390563964844,100,0.0,-0.0
2013-02-15,394.9645690917969,100,0.0,-0.0
2013-02-19,401.91851806640625,100,0.0,-0.0
2013-02-20,394.7503662109375,100,0.0,-0.0
2013-02-21,396.2796325683594,100,0.0,-0.0
2013-02-22,398.3618469238281,100,0.0,-0.0
2013-02-25,393.9085388183594,100,0.0,-0.0
2013-02-26,393.5897216796875,100,0.0,-0.0
2013-02-27,398.3966979980469,100,0.0,-0.0
2013-02-28,399.10406494140625,100,0.0,-0.0
2013-03-01,401.5897521972656,100,0.0,-0.0
2013-03-04,409.2161560058594,100,0.0,-0.0
2013-03-05,417.7342224121094,100,0.0,-0.0
2013-03-06,414.1376953125,100,0.0,-0.0
2013-03-07,414.74542236328125,100,0.0,-0.0
2013-03-08,414.20745849609375,100,0.0,-0.0
2013-03-11,415.8512878417969,100,0.0,-0.0
2013-03-12,412.2597351074219,100,0.0,-0.0
2013-03-13,411.1140441894531,100,0.0,-0.0
2013-03-14,409.236083984375,100,0.0,-0.0
2013-03-15,405.6296081542969,100,0.0,-0.0
2013-03-18,402.3867492675781,100,0.0,-0.0
2013-03-19,404.1451721191406,100,0.0,-0.0
2013-03-20,405.8338317871094,100,0.0,-0.0
2013-03-21,404.1152648925781,100,0.0,-0.0
2013-03-22,403.6420593261719,100,0.0,-0.0
2013-03-25,403.30828857421875,100,0.0,-0.0
2013-03-26,404.693115234375,100,0.0,-0.0
2013-03-27,399.8313293457031,0,-100.0,39983.13293457031
2013-03-28,395.6121520996094,0,0.0,-0.0
2013-04-01,399.0990905761719,0,0.0,-0.0
2013-04-02,405.001953125,0,0.0,-0.0
2013-04-03,401.5947265625,0,0.0,-0.0
2013-04-04,396.0505065917969,0,0.0,-0.0
2013-04-05,390.0629577636719,0,0.0,-0.0
2013-04-08,385.978271484375,0,0.0,-0.0
2013-04-09,387.3730163574219,0,0.0,-0.0
2013-04-10,393.6146240234375,0,0.0,-0.0
2013-04-11,393.71923828125,0,0.0,-0.0
2013-04-12,393.54986572265625,0,0.0,-0.0
2013-04-15,389.5050354003906,0,0.0,-0.0
2013-04-16,395.20367431640625,0,0.0,-0.0
2013-04-17,389.8188781738281,0,0.0,-0.0
2013-04-18,381.52496337890625,0,0.0,-0.0
2013-04-19,398.4415283203125,0,0.0,-0.0
2013-04-22,398.56109619140625,0,0.0,-0.0
2013-04-23,402.4415588378906,100,100.0,-40244.15588378906
2013-04-24,405.2061767578125,100,0.0,-0.0
2013-04-25,403.039306640625,100,0.0,-0.0
2013-04-26,399.2136535644531,100,0.0,-0.0
2013-04-29,408.0007019042969,100,0.0,-0.0
2013-04-30,410.74542236328125,100,0.0,-0.0
2013-05-01,408.68316650390625,100,0.0,-0.0
2013-05-02,413.2560119628906,100,0.0,-0.0
2013-05-03,421.28094482421875,100,0.0,-0.0
2013-05-06,429.1663818359375,100,0.0,-0.0
2013-05-07,427.0144348144531,100,0.0,-0.0
2013-05-08,435.183837890625,100,0.0,-0.0
2013-05-09,434.1128234863281,100,0.0,-0.0
2013-05-10,438.47149658203125,100,0.0,-0.0
2013-05-13,437.1265563964844,100,0.0,-0.0
2013-05-14,441.8936767578125,100,0.0,-0.0
2013-05-15,456.23492431640625,100,0.0,-0.0
2013-05-16,450.24737548828125,100,0.0,-0.0
2013-05-17,452.8924560546875,100,0.0,-0.0
2013-05-20,452.56866455078125,100,0.0,-0.0
2013-05-21,451.79156494140625,100,0.0,-0.0
2013-05-22,443.0493469238281,100,0.0,-0.0
2013-05-23,439.7467346191406,100,0.0,-0.0
2013-05-24,435.0293884277344,100,0.0,-0.0
2013-05-28,438.98956298828125,100,0.0,-0.0
2013-05-29,432.53375244140625,100,0.0,-0.0
2013-05-30,433.7541809082031,100,0.0,-0.0
2013-05-31,433.98333740234375,100,0.0,-0.0
2013-06-03,432.1950378417969,100,0.0,-0.0
2013-06-04,427.9459533691406,100,0.0,-0.0
2013-06-05,428.2448425292969,100,0.0,-0.0
2013-06-06,430.7055969238281,100,0.0,-0.0
2013-06-07,438.2224426269531,100,0.0,-0.0
2013-06-10,443.4478454589844,100,0.0,-0.0
2013-06-11,438.2622985839844,100,0.0,-0.0
2013-06-12,434.3619079589844,100,0.0,-0.0
2013-06-13,436.8625183105469,100,0.0,-0.0
2013-06-14,435.8861999511719,100,0.0,-0.0
2013-06-17,441.47027587890625,100,0.0,-0.0
2013-06-18,448.62841796875,100,0.0,-0.0
2013-06-19,448.6583251953125,100,0.0,-0.0
2013-06-20,440.71807861328125,100,0.0,-0.0
2013-06-21,438.8201904296875,100,0.0,-0.0
2013-06-24,433.27099609375,100,0.0,-0.0
2013-06-25,431.4826965332031,100,0.0,-0.0
2013-06-26,435.19378662109375,100,0.0,-0.0
2013-06-27,436.89739990234375,100,0.0,-0.0
2013-06-28,438.5412292480469,100,0.0,-0.0
2013-07-01,442.2822265625,100,0.0,-0.0
2013-07-02,439.50762939453125,100,0.0,-0.0
2013-07-03,441.5599365234375,100,0.0,-0.0
2013-07-05,445.0767517089844,100,0.0,-0.0
2013-07-08,450.8550720214844,100,0.0,-0.0
2013-07-09,450.9298095703125,100,0.0,-0.0
2013-07-10,451.30340576171875,100,0.0,-0.0
2013-07-11,458.40179443359375,100,0.0,-0.0
2013-07-12,459.7766418457031,100,0.0,-0.0
2013-07-15,460.6184997558594,100,0.0,-0.0
2013-07-16,458.0879821777344,100,0.0,-0.0
2013-07-17,457.5599670410156,100,0.0,-0.0
2013-07-18,453.6396484375,100,0.0,-0.0
2013-07-19,446.6259460449219,100,0.0,-0.0
2013-07-22,453.64959716796875,100,0.0,-0.0
2013-07-23,450.2124938964844,100,0.0,-0.0
2013-07-24,449.76416015625,100,0.0,-0.0
2013-07-25,442.19256591796875,100,0.0,-0.0
2013-07-26,441.0219421386719,100,0.0,-0.0
2013-07-29,439.4877014160156,100,0.0,-0.0
2013-07-30,443.7965393066406,100,0.0,-0.0
2013-07-31,442.21746826171875,100,0.0,-0.0
2013-08-01,450.4217224121094,100,0.0,-0.0
2013-08-02,451.5923156738281,100,0.0,-0.0
2013-08-05,450.81024169921875,100,0.0,-0.0
2013-08-06,446.6109924316406,0,-100.0,44661.09924316406
2013-08-07,443.66204833984375,0,0.0,-0.0
2013-08-08,444.6632995605469,0,0.0,-0.0
2013-08-09,443.54248046875,0,0.0,-0.0
2013-08-12,441.1016540527344,0,0.0,-0.0
2013-08-13,438.9795837402344,0,0.0,-0.0
2013-08-14,433.28094482421875,0,0.0,-0.0
2013-08-15,428.22491455078125,0,0.0,-0.0
2013-08-16,426.85504150390625,0,0.0,-0.0
2013-08-19,431.2087097167969,0,0.0,-0.0
2013-08-20,431.0941467285156,0,0.0,-0.0
2013-08-21,433.0418395996094,0,0.0,-0.0
2013-08-22,435.2236633300781,0,0.0,-0.0
2013-08-23,433.480224609375,0,0.0,-0.0
2013-08-26,431.57733154296875,0,0.0,-0.0
