Date,price,shares,net shares,net cash
2014-02-13,58.029998779296875,100,100.0,-5802.9998779296875
2014-02-14,58.150001525878906,100,0.0,-0.0
2014-02-18,58.4900016784668,100,0.0,-0.0
2014-02-19,57.2599983215332,100,0.0,-0.0
2014-02-20,57.58000183105469,100,0.0,-0.0
2014-02-21,57.61000061035156,100,0.0,-0.0
2014-02-24,58.029998779296875,100,0.0,-0.0
2014-02-25,57.029998779296875,100,0.0,-0.0
2014-02-26,56.75,0,-100.0,5675.0
2014-02-27,56.689998626708984,0,0.0,-0.0
2014-02-28,56.81999969482422,0,0.0,-0.0
2014-03-03,56.209999084472656,0,0.0,-0.0
2014-03-04,57.2599983215332,100,100.0,-5725.99983215332
2014-03-05,58.15999984741211,100,0.0,-0.0
2014-03-06,58.900001525878906,100,0.0,-0.0
2014-03-07,59.400001525878906,100,0.0,-0.0
2014-03-10,59.20000076293945,100,0.0,-0.0
2014-03-11,58.189998626708984,100,0.0,-0.0
2014-03-12,57.91999816894531,100,0.0,-0.0
2014-03-13,57.41999816894531,100,0.0,-0.0
2014-03-14,56.79999923706055,100,0.0,-0.0
2014-03-17,57.58000183105469,100,0.0,-0.0
2014-03-18,58.060001373291016,100,0.0,-0.0
2014-03-19,58.29999923706055,100,0.0,-0.0
2014-03-20,60.11000061035156,100,0.0,-0.0
2014-03-21,60.16999816894531,100,0.0,-0.0
2014-03-24,61.06999969482422,100,0.0,-0.0
2014-03-25,60.93000030517578,100,0.0,-0.0
2014-03-26,59.900001525878906,100,0.0,-0.0
2014-03-27,59.91999816894531,100,0.0,-0.0
2014-03-28,60.040000915527344,100,0.0,-0.0
2014-03-31,60.709999084472656,100,0.0,-0.0
2014-04-01,60.66999816894531,100,0.0,-0.0
2014-04-02,60.47999954223633,100,0.0,-0.0
2014-04-03,60.65999984741211,100,0.0,-0.0
2014-04-04,59.810001373291016,100,0.0,-0.0
2014-04-07,59.0,0,-100.0,5900.0
2014-04-08,58.849998474121094,0,0.0,-0.0
2014-04-09,59.27000045776367,0,0.0,-0.0
2014-04-10,57.400001525878906,0,0.0,-0.0
2014-04-11,55.29999923706055,0,0.0,-0.0
2014-04-14,54.959999084472656,0,0.0,-0.0
2014-04-15,54.79999923706055,0,0.0,-0.0
2014-04-16,55.2599983215332,0,0.0,-0.0
2014-04-17,55.220001220703125,0,0.0,-0.0
2014-04-21,55.029998779296875,0,0.0,-0.0
2014-04-22,55.810001373291016,0,0.0,-0.0
2014-04-23,56.04999923706055,0,0.0,-0.0
2014-04-24,56.189998626708984,0,0.0,-0.0
2014-04-25,55.70000076293945,0,0.0,-0.0
2014-04-28,55.4900016784668,0,0.0,-0.0
2014-04-29,56.099998474121094,0,0.0,-0.0
2014-04-30,55.97999954223633,0,0.0,-0.0
2014-05-01,55.720001220703125,0,0.0,-0.0
2014-05-02,55.58000183105469,0,0.0,-0.0
2014-05-05,54.220001220703125,0,0.0,-0.0
2014-05-06,53.34000015258789,0,0.0,-0.0
2014-05-07,54.04999923706055,0,0.0,-0.0
2014-05-08,54.36000061035156,0,0.0,-0.0
2014-05-09,54.0099983215332,0,0.0,-0.0
2014-05-12,54.650001525878906,0,0.0,-0.0
2014-05-13,54.619998931884766,0,0.0,-0.0
2014-05-14,54.36000061035156,0,0.0,-0.0
2014-05-15,53.5099983215332,0,0.0,-0.0
2014-05-16,53.310001373291016,0,0.0,-0.0
2014-05-19,53.83000183105469,0,0.0,-0.0
2014-05-20,53.720001220703125,0,0.0,-0.0
2014-05-21,54.119998931884766,0,0.0,-0.0
2014-05-22,54.54999923706055,0,0.0,-0.0
2014-05-23,54.529998779296875,0,0.0,-0.0
2014-05-27,55.13999938964844,0,0.0,-0.0
2014-05-28,55.45000076293945,100,100.0,-5545.000076293945
2014-05-29,55.720001220703125,100,0.0,-0.0
2014-05-30,55.56999969482422,100,0.0,-0.0
2014-06-02,55.349998474121094,100,0.0,-0.0
2014-06-03,55.599998474121094,100,0.0,-0.0
2014-06-04,55.68000030517578,100,0.0,-0.0
2014-06-05,56.630001068115234,100,0.0,-0.0
2014-06-06,56.970001220703125,100,0.0,-0.0
2014-06-09,57.41999816894531,100,0.0,-0.0
2014-06-10,57.900001525878906,100,0.0,-0.0
2014-06-11,57.27000045776367,100,0.0,-0.0
2014-06-12,57.040000915527344,100,0.0,-0.0
2014-06-13,57.040000915527344,100,0.0,-0.0
2014-06-16,56.869998931884766,100,0.0,-0.0
2014-06-17,57.41999816894531,100,0.0,-0.0
2014-06-18,57.779998779296875,100,0.0,-0.0
2014-06-19,57.29999923706055,100,0.0,-0.0
2014-06-20,57.54999923706055,100,0.0,-0.0
2014-06-23,58.189998626708984,100,0.0,-0.0
2014-06-24,57.41999816894531,100,0.0,-0.0
2014-06-25,57.529998779296875,100,0.0,-0.0
2014-06-26,57.38999938964844,100,0.0,-0.0
