Date,price,shares,net shares,net cash
2013-02-13,94.0,0,,
2013-02-14,93.55999755859375,0,0.0,-0.0
2013-02-15,93.9000015258789,0,0.0,-0.0
2013-02-19,93.8499984741211,100,100.0,-9384.99984741211
2013-02-20,93.91000366210938,100,0.0,-0.0
2013-02-21,94.13999938964844,100,0.0,-0.0
2013-02-22,95.25,100,0.0,-0.0
2013-02-25,96.13999938964844,100,0.0,-0.0
2013-02-26,96.22000122070312,100,0.0,-0.0
2013-02-27,95.7300033569336,100,0.0,-0.0
2013-02-28,95.9000015258789,100,0.0,-0.0
2013-03-01,95.68000030517578,100,0.0,-0.0
2013-03-04,95.06999969482422,100,0.0,-0.0
2013-03-05,95.80999755859375,100,0.0,-0.0
2013-03-06,96.80999755859375,100,0.0,-0.0
2013-03-07,97.08999633789062,100,0.0,-0.0
2013-03-08,98.70999908447266,100,0.0,-0.0
2013-03-11,98.88999938964844,100,0.0,-0.0
2013-03-12,98.76000213623047,100,0.0,-0.0
2013-03-13,99.37999725341797,100,0.0,-0.0
2013-03-14,99.30999755859375,100,0.0,-0.0
2013-03-15,99.66999816894531,100,0.0,-0.0
2013-03-18,98.56999969482422,100,0.0,-0.0
2013-03-19,98.4000015258789,100,0.0,-0.0
2013-03-20,98.7699966430664,100,0.0,-0.0
2013-03-21,98.52999877929688,100,0.0,-0.0
2013-03-22,99.2699966430664,100,0.0,-0.0
2013-03-25,98.23999786376953,100,0.0,-0.0
2013-03-26,98.5,100,0.0,-0.0
2013-03-27,98.9000015258789,100,0.0,-0.0
2013-03-28,99.69000244140625,100,0.0,-0.0
2013-04-01,99.05000305175781,100,0.0,-0.0
2013-04-02,100.26000213623047,100,0.0,-0.0
2013-04-03,99.25,100,0.0,-0.0
2013-04-04,100.62999725341797,100,0.0,-0.0
2013-04-05,101.41999816894531,100,0.0,-0.0
2013-04-08,101.5,100,0.0,-0.0
2013-04-09,101.05999755859375,100,0.0,-0.0
2013-04-10,101.48999786376953,100,0.0,-0.0
2013-04-11,101.98999786376953,100,0.0,-0.0
2013-04-12,103.58999633789062,100,0.0,-0.0
2013-04-15,102.1500015258789,100,0.0,-0.0
2013-04-16,103.04000091552734,100,0.0,-0.0
2013-04-17,102.54000091552734,100,0.0,-0.0
2013-04-18,101.91000366210938,0,-100.0,10191.000366210938
2013-04-19,99.91999816894531,0,0.0,-0.0
2013-04-22,99.31999969482422,0,0.0,-0.0
2013-04-23,99.76000213623047,0,0.0,-0.0
2013-04-24,101.0199966430664,100,100.0,-10101.99966430664
2013-04-25,100.94000244140625,100,0.0,-0.0
2013-04-26,100.88999938964844,100,0.0,-0.0
2013-04-29,102.18000030517578,100,0.0,-0.0
2013-04-30,102.13999938964844,0,-100.0,10213.999938964844
2013-05-01,101.37999725341797,0,0.0,-0.0
2013-05-02,102.05999755859375,0,0.0,-0.0
2013-05-03,102.91999816894531,0,0.0,-0.0
2013-05-06,102.06999969482422,0,0.0,-0.0
2013-05-07,102.29000091552734,0,0.0,-0.0
2013-05-08,100.94999694824219,0,0.0,-0.0
2013-05-09,99.69000244140625,0,0.0,-0.0
2013-05-10,100.19999694824219,0,0.0,-0.0
2013-05-13,100.37999725341797,0,0.0,-0.0
2013-05-14,101.19999694824219,0,0.0,-0.0
2013-05-15,101.94999694824219,0,0.0,-0.0
2013-05-16,101.12000274658203,0,0.0,-0.0
2013-05-17,101.54000091552734,0,0.0,-0.0
2013-05-20,101.54000091552734,0,0.0,-0.0
2013-05-21,102.13999938964844,0,0.0,-0.0
2013-05-22,101.73999786376953,0,0.0,-0.0
2013-05-23,101.02999877929688,0,0.0,-0.0
2013-05-24,100.29000091552734,0,0.0,-0.0
2013-05-28,101.23999786376953,0,0.0,-0.0
2013-05-29,99.05000305175781,0,0.0,-0.0
2013-05-30,97.06999969482422,0,0.0,-0.0
2013-05-31,96.56999969482422,0,0.0,-0.0
2013-06-03,97.95999908447266,0,0.0,-0.0
2013-06-04,98.37000274658203,0,0.0,-0.0
2013-06-05,96.41999816894531,0,0.0,-0.0
2013-06-06,96.68000030517578,0,0.0,-0.0
2013-06-07,98.27999877929688,0,0.0,-0.0
2013-06-10,99.52999877929688,0,0.0,-0.0
2013-06-11,98.2300033569336,0,0.0,-0.0
2013-06-12,98.23999786376953,0,0.0,-0.0
2013-06-13,98.87999725341797,0,0.0,-0.0
2013-06-14,98.41999816894531,0,0.0,-0.0
2013-06-17,98.73999786376953,0,0.0,-0.0
2013-06-18,99.75,0,0.0,-0.0
2013-06-19,98.80999755859375,0,0.0,-0.0
2013-06-20,96.79000091552734,0,0.0,-0.0
2013-06-21,97.2300033569336,0,0.0,-0.0
2013-06-24,97.29000091552734,0,0.0,-0.0
2013-06-25,97.5199966430664,0,0.0,-0.0
2013-06-26,98.83999633789062,0,0.0,-0.0
2013-06-27,99.6500015258789,0,0.0,-0.0
2013-06-28,99.0,0,0.0,-0.0
2013-07-01,99.81999969482422,0,0.0,-0.0
2013-07-02,99.93000030517578,0,0.0,-0.0
2013-07-03,100.3499984741211,0,0.0,-0.0
2013-07-05,99.86000061035156,0,0.0,-0.0
2013-07-08,99.87999725341797,0,0.0,-0.0
2013-07-09,99.98999786376953,0,0.0,-0.0
2013-07-10,99.9800033569336,100,100.0,-9998.00033569336
2013-07-11,100.79000091552734,100,0.0,-0.0
2013-07-12,101.58000183105469,100,0.0,-0.0
2013-07-15,100.75,100,0.0,-0.0
2013-07-16,100.87999725341797,100,0.0,-0.0
2013-07-17,100.0999984741211,100,0.0,-0.0
2013-07-18,100.18000030517578,100,0.0,-0.0
2013-07-19,100.2699966430664,100,0.0,-0.0
2013-07-22,97.58000183105469,0,-100.0,9758.000183105469
2013-07-23,96.76000213623047,0,0.0,-0.0
2013-07-24,96.66000366210938,0,0.0,-0.0
2013-07-25,97.48999786376953,0,0.0,-0.0
2013-07-26,98.02999877929688,0,0.0,-0.0
2013-07-29,97.87000274658203,0,0.0,-0.0
2013-07-30,98.37000274658203,0,0.0,-0.0
2013-07-31,98.08000183105469,0,0.0,-0.0
2013-08-01,99.0,0,0.0,-0.0
2013-08-02,99.19999694824219,0,0.0,-0.0
2013-08-05,99.30999755859375,0,0.0,-0.0
2013-08-06,98.69000244140625,0,0.0,-0.0
2013-08-07,98.33000183105469,0,0.0,-0.0
2013-08-08,98.04000091552734,0,0.0,-0.0
2013-08-09,97.62000274658203,0,0.0,-0.0
2013-08-12,97.04000091552734,0,0.0,-0.0
2013-08-13,96.44999694824219,0,0.0,-0.0
2013-08-14,96.11000061035156,0,0.0,-0.0
2013-08-15,95.38999938964844,0,0.0,-0.0
2013-08-16,95.02999877929688,0,0.0,-0.0
2013-08-19,95.4800033569336,0,0.0,-0.0
2013-08-20,95.5,0,0.0,-0.0
2013-08-21,95.11000061035156,0,0.0,-0.0
2013-08-22,95.45999908447266,0,0.0,-0.0
2013-08-23,95.12999725341797,0,0.0,-0.0
2013-08-26,95.30999755859375,0,0.0,-0.0
2013-08-27,94.83999633789062,0,0.0,-0.0
2013-08-28,96.08000183105469,0,0.0,-0.0
2013-08-29,94.86000061035156,0,0.0,-0.0
2013-08-30,94.36000061035156,0,0.0,-0.0
2013-09-03,94.5199966430664,0,0.0,-0.0
2013-09-04,95.16000366210938,0,0.0,-0.0
2013-09-05,95.66000366210938,100,100.0,-9566.000366210938
2013-09-06,96.26000213623047,100,0.0,-0.0
2013-09-09,96.44999694824219,100,0.0,-0.0
2013-09-10,96.88999938964844,100,0.0,-0.0
2013-09-11,97.45999908447266,0,-100.0,9745.999908447266
2013-09-12,97.18000030517578,0,0.0,-0.0
2013-09-13,97.3499984741211,0,0.0,-0.0
2013-09-16,97.70999908447266,0,0.0,-0.0
2013-09-17,97.91999816894531,0,0.0,-0.0
2013-09-18,98.69999694824219,0,0.0,-0.0
2013-09-19,97.91999816894531,100,100.0,-9791.999816894531
2013-09-20,96.9000015258789,100,0.0,-0.0
2013-09-23,97.27999877929688,100,0.0,-0.0
2013-09-24,97.77999877929688,100,0.0,-0.0
2013-09-25,97.62000274658203,100,0.0,-0.0
2013-09-26,98.19000244140625,100,0.0,-0.0
2013-09-27,97.12000274658203,0,-100.0,9712.000274658203
2013-09-30,96.20999908447266,0,0.0,-0.0
2013-10-01,96.12999725341797,0,0.0,-0.0
2013-10-02,95.27999877929688,0,0.0,-0.0
2013-10-03,94.66999816894531,0,0.0,-0.0
2013-10-04,94.69999694824219,0,0.0,-0.0
2013-10-07,94.36000061035156,0,0.0,-0.0
2013-10-08,93.94000244140625,0,0.0,-0.0
2013-10-09,93.2699966430664,0,0.0,-0.0
2013-10-10,94.44000244140625,0,0.0,-0.0
2013-10-11,94.73999786376953,0,0.0,-0.0
2013-10-14,94.72000122070312,0,0.0,-0.0
2013-10-15,93.80000305175781,0,0.0,-0.0
2013-10-16,95.22000122070312,100,100.0,-9522.000122070312
2013-10-17,95.47000122070312,100,0.0,-0.0
2013-10-18,95.19999694824219,100,0.0,-0.0
2013-10-21,94.58999633789062,100,0.0,-0.0
2013-10-22,95.12000274658203,0,-100.0,9512.000274658203
2013-10-23,94.20999908447266,0,0.0,-0.0
2013-10-24,94.68000030517578,0,0.0,-0.0
2013-10-25,94.77999877929688,0,0.0,-0.0
2013-10-28,95.37000274658203,0,0.0,-0.0
2013-10-29,96.05000305175781,0,0.0,-0.0
2013-10-30,96.02999877929688,100,100.0,-9602.999877929688
2013-10-31,96.5199966430664,0,-100.0,9651.99966430664
2013-11-01,97.23999786376953,0,0.0,-0.0
2013-11-04,97.30999755859375,100,100.0,-9730.999755859375
2013-11-05,97.41000366210938,100,0.0,-0.0
2013-11-06,97.9000015258789,0,-100.0,9790.00015258789
2013-11-07,97.19999694824219,100,100.0,-9719.999694824219
2013-11-08,97.01000213623047,100,0.0,-0.0
2013-11-11,97.08999633789062,100,0.0,-0.0
2013-11-12,97.66000366210938,100,0.0,-0.0
2013-11-13,98.11000061035156,100,0.0,-0.0
2013-11-14,97.55999755859375,100,0.0,-0.0
2013-11-15,96.91999816894531,100,0.0,-0.0
2013-11-18,97.6500015258789,100,0.0,-0.0
2013-11-19,97.9800033569336,100,0.0,-0.0
2013-11-20,97.54000091552734,100,0.0,-0.0
2013-11-21,97.69999694824219,100,0.0,-0.0
2013-11-22,98.2699966430664,100,0.0,-0.0
2013-11-25,98.91999816894531,100,0.0,-0.0
2013-11-26,98.19999694824219,100,0.0,-0.0
2013-11-27,97.05999755859375,0,-100.0,9705.999755859375
2013-11-29,97.37000274658203,0,0.0,-0.0
2013-12-02,96.51000213623047,0,0.0,-0.0
2013-12-03,96.37999725341797,0,0.0,-0.0
2013-12-04,95.70999908447266,0,0.0,-0.0
2013-12-05,95.43000030517578,0,0.0,-0.0
2013-12-06,96.80000305175781,0,0.0,-0.0
2013-12-09,95.72000122070312,0,0.0,-0.0
2013-12-10,95.43000030517578,0,0.0,-0.0
2013-12-11,95.26000213623047,0,0.0,-0.0
2013-12-12,94.0999984741211,0,0.0,-0.0
2013-12-13,94.44000244140625,0,0.0,-0.0
2013-12-16,95.44999694824219,0,0.0,-0.0
2013-12-17,94.37999725341797,100,100.0,-9437.999725341797
2013-12-18,95.93000030517578,100,0.0,-0.0
2013-12-19,95.13999938964844,100,0.0,-0.0
2013-12-20,96.51000213623047,100,0.0,-0.0
2013-12-23,96.30000305175781,100,0.0,-0.0
2013-12-24,96.54000091552734,100,0.0,-0.0
2013-12-26,96.83999633789062,100,0.0,-0.0
2013-12-27,96.91000366210938,0,-100.0,9691.000366210938
2013-12-30,97.01000213623047,0,0.0,-0.0
2013-12-31,97.02999877929688,0,0.0,-0.0
