Date,price,shares,net shares,net cash
2018-02-13,89.83000183105469,0,,
2018-02-14,90.80999755859375,0,0.0,-0.0
2018-02-15,92.66000366210938,100,100.0,-9266.000366210938
2018-02-16,92.0,100,0.0,-0.0
2018-02-20,92.72000122070312,100,0.0,-0.0
2018-02-21,91.48999786376953,100,0.0,-0.0
2018-02-22,91.7300033569336,100,0.0,-0.0
2018-02-23,94.05999755859375,100,0.0,-0.0
2018-02-26,95.41999816894531,100,0.0,-0.0
2018-02-27,94.19999694824219,100,0.0,-0.0
2018-02-28,93.7699966430664,100,0.0,-0.0
2018-03-01,92.8499984741211,100,0.0,-0.0
2018-03-02,93.05000305175781,100,0.0,-0.0
2018-03-05,93.63999938964844,100,0.0,-0.0
2018-03-06,93.31999969482422,100,0.0,-0.0
2018-03-07,93.86000061035156,100,0.0,-0.0
2018-03-08,94.43000030517578,100,0.0,-0.0
2018-03-09,96.54000091552734,100,0.0,-0.0
2018-03-12,96.7699966430664,100,0.0,-0.0
2018-03-13,94.41000366210938,100,0.0,-0.0
2018-03-14,93.8499984741211,100,0.0,-0.0
2018-03-15,94.18000030517578,100,0.0,-0.0
2018-03-16,94.5999984741211,100,0.0,-0.0
2018-03-19,92.88999938964844,0,-100.0,9288.999938964844
2018-03-20,93.12999725341797,0,0.0,-0.0
2018-03-21,92.4800033569336,0,0.0,-0.0
2018-03-22,89.79000091552734,0,0.0,-0.0
2018-03-23,87.18000030517578,0,0.0,-0.0
2018-03-26,93.77999877929688,0,0.0,-0.0
2018-03-27,89.47000122070312,0,0.0,-0.0
2018-03-28,89.38999938964844,0,0.0,-0.0
2018-03-29,91.2699966430664,0,0.0,-0.0
2018-04-02,88.5199966430664,0,0.0,-0.0
2018-04-03,89.70999908447266,100,100.0,-8970.999908447266
2018-04-04,92.33000183105469,100,0.0,-0.0
2018-04-05,92.37999725341797,100,0.0,-0.0
2018-04-06,90.2300033569336,100,0.0,-0.0
2018-04-09,90.7699966430664,100,0.0,-0.0
