Date,price,shares,net shares,net cash
2017-02-14,87.86000061035156,100,100.0,-8786.000061035156
2017-02-15,91.12000274658203,100,0.0,-0.0
2017-02-16,90.79000091552734,100,0.0,-0.0
2017-02-17,91.08999633789062,100,0.0,-0.0
2017-02-21,91.66999816894531,100,0.0,-0.0
2017-02-22,91.44000244140625,100,0.0,-0.0
2017-02-23,91.12999725341797,100,0.0,-0.0
2017-02-24,91.05000305175781,100,0.0,-0.0
2017-02-27,90.88999938964844,100,0.0,-0.0
2017-02-28,91.06999969482422,100,0.0,-0.0
2017-03-01,91.66000366210938,100,0.0,-0.0
2017-03-02,90.91000366210938,100,0.0,-0.0
2017-03-03,90.5,100,0.0,-0.0
2017-03-06,90.37000274658203,100,0.0,-0.0
2017-03-07,90.29000091552734,100,0.0,-0.0
2017-03-08,90.13999938964844,100,0.0,-0.0
2017-03-09,90.33999633789062,100,0.0,-0.0
2017-03-10,91.06999969482422,100,0.0,-0.0
2017-03-13,91.30999755859375,100,0.0,-0.0
2017-03-14,91.0,100,0.0,-0.0
2017-03-15,91.4000015258789,100,0.0,-0.0
2017-03-16,91.44000244140625,0,-100.0,9144.000244140625
2017-03-17,91.0,0,0.0,-0.0
2017-03-20,91.22000122070312,0,0.0,-0.0
2017-03-21,91.19000244140625,0,0.0,-0.0
2017-03-22,90.98999786376953,0,0.0,-0.0
2017-03-23,90.7699966430664,0,0.0,-0.0
2017-03-24,90.56999969482422,0,0.0,-0.0
2017-03-27,90.48999786376953,0,0.0,-0.0
2017-03-28,90.76000213623047,0,0.0,-0.0
2017-03-29,90.5999984741211,0,0.0,-0.0
2017-03-30,90.19999694824219,0,0.0,-0.0
2017-03-31,89.8499984741211,0,0.0,-0.0
2017-04-03,89.68000030517578,0,0.0,-0.0
2017-04-04,89.91000366210938,0,0.0,-0.0
2017-04-05,89.97000122070312,0,0.0,-0.0
2017-04-06,89.4000015258789,0,0.0,-0.0
2017-04-07,89.2300033569336,0,0.0,-0.0
2017-04-10,89.48999786376953,0,0.0,-0.0
2017-04-11,89.80000305175781,0,0.0,-0.0
2017-04-12,90.30999755859375,0,0.0,-0.0
2017-04-13,90.02999877929688,0,0.0,-0.0
2017-04-17,90.38999938964844,0,0.0,-0.0
2017-04-18,90.80000305175781,0,0.0,-0.0
2017-04-19,89.5999984741211,0,0.0,-0.0
2017-04-20,89.33000183105469,0,0.0,-0.0
2017-04-21,88.62000274658203,0,0.0,-0.0
2017-04-24,89.55000305175781,0,0.0,-0.0
2017-04-25,90.0,0,0.0,-0.0
2017-04-26,87.73999786376953,0,0.0,-0.0
2017-04-27,87.69000244140625,0,0.0,-0.0
2017-04-28,87.33000183105469,0,0.0,-0.0
2017-05-01,87.08999633789062,0,0.0,-0.0
2017-05-02,86.22000122070312,0,0.0,-0.0
2017-05-03,86.43000030517578,0,0.0,-0.0
2017-05-04,86.44999694824219,0,0.0,-0.0
2017-05-05,86.5,0,0.0,-0.0
2017-05-08,86.55000305175781,0,0.0,-0.0
2017-05-09,86.4000015258789,0,0.0,-0.0
2017-05-10,86.48999786376953,0,0.0,-0.0
2017-05-11,86.16999816894531,0,0.0,-0.0
2017-05-12,86.19000244140625,0,0.0,-0.0
2017-05-15,86.33000183105469,0,0.0,-0.0
2017-05-16,86.23999786376953,0,0.0,-0.0
2017-05-17,86.26000213623047,0,0.0,-0.0
2017-05-18,85.87000274658203,0,0.0,-0.0
2017-05-19,86.23999786376953,0,0.0,-0.0
2017-05-22,86.20999908447266,0,0.0,-0.0
2017-05-23,86.08000183105469,0,0.0,-0.0
2017-05-24,86.5,0,0.0,-0.0
2017-05-25,86.86000061035156,100,100.0,-8686.000061035156
2017-05-26,87.25,100,0.0,-0.0
2017-05-30,87.4000015258789,100,0.0,-0.0
2017-05-31,88.08999633789062,100,0.0,-0.0
2017-06-01,88.12999725341797,100,0.0,-0.0
2017-06-02,88.58999633789062,100,0.0,-0.0
2017-06-05,88.73999786376953,100,0.0,-0.0
2017-06-06,88.80000305175781,100,0.0,-0.0
2017-06-07,88.7699966430664,0,-100.0,8876.99966430664
2017-06-08,87.8499984741211,0,0.0,-0.0
2017-06-09,88.16000366210938,0,0.0,-0.0
2017-06-12,88.23999786376953,0,0.0,-0.0
2017-06-13,88.05999755859375,0,0.0,-0.0
2017-06-14,88.44000244140625,0,0.0,-0.0
2017-06-15,89.37999725341797,0,0.0,-0.0
2017-06-16,89.66000366210938,100,100.0,-8966.000366210938
2017-06-19,89.86000061035156,100,0.0,-0.0
2017-06-20,89.62999725341797,100,0.0,-0.0
2017-06-21,89.4000015258789,100,0.0,-0.0
2017-06-22,89.02999877929688,0,-100.0,8902.999877929688
2017-06-23,89.41999816894531,0,0.0,-0.0
2017-06-26,89.36000061035156,0,0.0,-0.0
2017-06-27,88.61000061035156,0,0.0,-0.0
2017-06-28,88.37000274658203,0,0.0,-0.0
2017-06-29,86.98999786376953,0,0.0,-0.0
2017-06-30,87.1500015258789,0,0.0,-0.0
2017-07-03,87.73999786376953,0,0.0,-0.0
2017-07-05,87.66999816894531,0,0.0,-0.0
2017-07-06,87.37000274658203,0,0.0,-0.0
2017-07-07,87.6500015258789,0,0.0,-0.0
2017-07-10,87.08999633789062,0,0.0,-0.0
2017-07-11,86.7699966430664,0,0.0,-0.0
2017-07-12,86.95999908447266,0,0.0,-0.0
2017-07-13,86.69999694824219,0,0.0,-0.0
2017-07-14,87.0999984741211,0,0.0,-0.0
2017-07-17,87.55000305175781,100,100.0,-8755.000305175781
2017-07-18,88.63999938964844,100,0.0,-0.0
2017-07-19,88.3499984741211,100,0.0,-0.0
2017-07-20,88.5999984741211,100,0.0,-0.0
2017-07-21,88.61000061035156,100,0.0,-0.0
2017-07-24,88.18000030517578,100,0.0,-0.0
2017-07-25,89.13999938964844,100,0.0,-0.0
2017-07-26,89.30000305175781,100,0.0,-0.0
2017-07-27,90.68000030517578,100,0.0,-0.0
2017-07-28,90.20999908447266,100,0.0,-0.0
2017-07-31,90.81999969482422,100,0.0,-0.0
2017-08-01,91.0999984741211,100,0.0,-0.0
2017-08-02,91.04000091552734,100,0.0,-0.0
2017-08-03,90.86000061035156,100,0.0,-0.0
2017-08-04,90.66999816894531,100,0.0,-0.0
2017-08-07,91.44000244140625,100,0.0,-0.0
2017-08-08,91.58000183105469,100,0.0,-0.0
2017-08-09,91.91999816894531,100,0.0,-0.0
2017-08-10,91.73999786376953,100,0.0,-0.0
2017-08-11,91.33999633789062,100,0.0,-0.0
2017-08-14,91.6500015258789,100,0.0,-0.0
2017-08-15,92.19999694824219,100,0.0,-0.0
2017-08-16,92.44000244140625,100,0.0,-0.0
2017-08-17,92.06999969482422,100,0.0,-0.0
2017-08-18,92.47000122070312,100,0.0,-0.0
2017-08-21,92.86000061035156,100,0.0,-0.0
2017-08-22,92.79000091552734,100,0.0,-0.0
2017-08-23,92.44000244140625,100,0.0,-0.0
2017-08-24,92.2699966430664,100,0.0,-0.0
2017-08-25,92.51000213623047,100,0.0,-0.0
2017-08-28,92.47000122070312,100,0.0,-0.0
2017-08-29,92.31999969482422,100,0.0,-0.0
2017-08-30,91.87000274658203,100,0.0,-0.0
2017-08-31,92.2699966430664,100,0.0,-0.0
2017-09-01,92.52999877929688,100,0.0,-0.0
2017-09-05,92.72000122070312,100,0.0,-0.0
2017-09-06,92.72000122070312,100,0.0,-0.0
2017-09-07,92.97000122070312,100,0.0,-0.0
2017-09-08,92.83999633789062,100,0.0,-0.0
2017-09-11,93.98999786376953,100,0.0,-0.0
2017-09-12,93.51000213623047,100,0.0,-0.0
2017-09-13,93.55000305175781,100,0.0,-0.0
2017-09-14,93.55000305175781,100,0.0,-0.0
2017-09-15,93.2699966430664,100,0.0,-0.0
2017-09-18,93.1500015258789,100,0.0,-0.0
2017-09-19,94.16999816894531,100,0.0,-0.0
2017-09-20,94.4000015258789,100,0.0,-0.0
2017-09-21,92.63999938964844,0,-100.0,9263.999938964844
2017-09-22,92.23999786376953,0,0.0,-0.0
2017-09-25,92.72000122070312,0,0.0,-0.0
2017-09-26,92.6500015258789,0,0.0,-0.0
2017-09-27,90.87000274658203,0,0.0,-0.0
2017-09-28,90.88999938964844,0,0.0,-0.0
2017-09-29,90.9800033569336,0,0.0,-0.0
2017-10-02,91.7699966430664,0,0.0,-0.0
2017-10-03,92.12000274658203,100,100.0,-9212.000274658203
2017-10-04,92.41999816894531,100,0.0,-0.0
2017-10-05,92.02999877929688,100,0.0,-0.0
2017-10-06,92.33000183105469,100,0.0,-0.0
2017-10-09,92.12000274658203,100,0.0,-0.0
2017-10-10,91.62000274658203,100,0.0,-0.0
2017-10-11,91.45999908447266,100,0.0,-0.0
2017-10-12,92.1500015258789,100,0.0,-0.0
2017-10-13,93.04000091552734,100,0.0,-0.0
2017-10-16,93.13999938964844,100,0.0,-0.0
2017-10-17,92.80000305175781,100,0.0,-0.0
2017-10-18,92.7699966430664,100,0.0,-0.0
2017-10-19,91.58999633789062,0,-100.0,9158.999633789062
2017-10-20,88.25,0,0.0,-0.0
2017-10-23,87.30000305175781,0,0.0,-0.0
2017-10-24,86.9800033569336,0,0.0,-0.0
2017-10-25,86.86000061035156,0,0.0,-0.0
2017-10-26,87.5,0,0.0,-0.0
2017-10-27,87.04000091552734,0,0.0,-0.0
2017-10-30,86.2699966430664,0,0.0,-0.0
2017-10-31,86.33999633789062,0,0.0,-0.0
2017-11-01,86.88999938964844,0,0.0,-0.0
2017-11-02,86.51000213623047,0,0.0,-0.0
2017-11-03,86.58000183105469,0,0.0,-0.0
2017-11-06,86.05000305175781,0,0.0,-0.0
2017-11-07,86.9800033569336,0,0.0,-0.0
2017-11-08,87.58000183105469,0,0.0,-0.0
2017-11-09,87.77999877929688,0,0.0,-0.0
2017-11-10,88.16000366210938,100,100.0,-8816.000366210938
2017-11-13,89.0,100,0.0,-0.0
2017-11-14,88.87000274658203,100,0.0,-0.0
2017-11-15,88.2300033569336,100,0.0,-0.0
2017-11-16,89.25,100,0.0,-0.0
2017-11-17,88.43000030517578,100,0.0,-0.0
2017-11-20,88.2699966430664,100,0.0,-0.0
2017-11-21,88.72000122070312,100,0.0,-0.0
2017-11-22,88.33000183105469,0,-100.0,8833.000183105469
2017-11-24,88.44999694824219,0,0.0,-0.0
2017-11-27,88.95999908447266,0,0.0,-0.0
2017-11-28,89.4000015258789,0,0.0,-0.0
2017-11-29,89.37999725341797,0,0.0,-0.0
2017-11-30,89.98999786376953,0,0.0,-0.0
2017-12-01,90.36000061035156,0,0.0,-0.0
2017-12-04,91.41000366210938,100,100.0,-9141.000366210938
2017-12-05,91.4000015258789,100,0.0,-0.0
