Date,price,shares,net shares,net cash
2010-02-16,64.54000091552734,100,100.0,-6454.000091552734
2010-02-17,65.04000091552734,100,0.0,-0.0
2010-02-18,65.2300033569336,100,0.0,-0.0
2010-02-19,65.37000274658203,100,0.0,-0.0
2010-02-22,64.80999755859375,100,0.0,-0.0
2010-02-23,64.12999725341797,100,0.0,-0.0
2010-02-24,64.38999938964844,100,0.0,-0.0
2010-02-25,64.33999633789062,100,0.0,-0.0
2010-02-26,63.380001068115234,100,0.0,-0.0
2010-03-01,63.7400016784668,100,0.0,-0.0
2010-03-02,64.08000183105469,100,0.0,-0.0
2010-03-03,64.01000213623047,100,0.0,-0.0
2010-03-04,64.7300033569336,100,0.0,-0.0
2010-03-05,65.16000366210938,100,0.0,-0.0
2010-03-08,65.26000213623047,100,0.0,-0.0
2010-03-09,65.5,100,0.0,-0.0
2010-03-10,64.69999694824219,100,0.0,-0.0
2010-03-11,65.25,100,0.0,-0.0
2010-03-12,65.54000091552734,100,0.0,-0.0
2010-03-15,65.61000061035156,100,0.0,-0.0
2010-03-16,65.06999969482422,100,0.0,-0.0
2010-03-17,65.76000213623047,100,0.0,-0.0
2010-03-18,65.27999877929688,100,0.0,-0.0
2010-03-19,65.30000305175781,100,0.0,-0.0
2010-03-22,65.76000213623047,100,0.0,-0.0
2010-03-23,66.45999908447266,100,0.0,-0.0
2010-03-24,65.8499984741211,100,0.0,-0.0
2010-03-25,66.4000015258789,100,0.0,-0.0
2010-03-26,66.83999633789062,100,0.0,-0.0
2010-03-29,67.01000213623047,100,0.0,-0.0
2010-03-30,66.97000122070312,100,0.0,-0.0
2010-03-31,67.68000030517578,100,0.0,-0.0
2010-04-01,68.25,100,0.0,-0.0
2010-04-05,68.98999786376953,100,0.0,-0.0
2010-04-06,69.87000274658203,100,0.0,-0.0
2010-04-07,69.8499984741211,100,0.0,-0.0
2010-04-08,70.83999633789062,100,0.0,-0.0
2010-04-09,71.20999908447266,100,0.0,-0.0
2010-04-12,72.30999755859375,100,0.0,-0.0
2010-04-13,72.33000183105469,100,0.0,-0.0
2010-04-14,72.79000091552734,100,0.0,-0.0
2010-04-15,73.48999786376953,100,0.0,-0.0
2010-04-16,72.95999908447266,100,0.0,-0.0
2010-04-19,73.16999816894531,100,0.0,-0.0
2010-04-20,73.9800033569336,100,0.0,-0.0
2010-04-21,74.30999755859375,100,0.0,-0.0
2010-04-22,79.33000183105469,100,0.0,-0.0
2010-04-23,79.54000091552734,100,0.0,-0.0
2010-04-26,79.94000244140625,100,0.0,-0.0
2010-04-27,79.41000366210938,100,0.0,-0.0
2010-04-28,79.31999969482422,100,0.0,-0.0
2010-04-29,79.1500015258789,100,0.0,-0.0
2010-04-30,78.06999969482422,100,0.0,-0.0
2010-05-03,80.01000213623047,100,0.0,-0.0
2010-05-04,78.44999694824219,100,0.0,-0.0
