Date,price,shares,net shares,net cash
2015-02-13,193.11000061035156,0,,
2015-02-17,192.80999755859375,0,0.0,-0.0
2015-02-18,194.27999877929688,0,0.0,-0.0
2015-02-19,189.80999755859375,0,0.0,-0.0
2015-02-20,191.80999755859375,0,0.0,-0.0
2015-02-23,193.61000061035156,0,0.0,-0.0
2015-02-24,190.05999755859375,0,0.0,-0.0
2015-02-25,190.47999572753906,0,0.0,-0.0
2015-02-26,187.13999938964844,0,0.0,-0.0
2015-02-27,190.36000061035156,0,0.0,-0.0
2015-03-02,190.0399932861328,0,0.0,-0.0
2015-03-03,189.61000061035156,0,0.0,-0.0
2015-03-04,187.55999755859375,0,0.0,-0.0
2015-03-05,187.1300048828125,0,0.0,-0.0
2015-03-06,180.5800018310547,0,0.0,-0.0
2015-03-09,180.44000244140625,0,0.0,-0.0
2015-03-10,179.9199981689453,0,0.0,-0.0
2015-03-11,179.35000610351562,0,0.0,-0.0
2015-03-12,183.60000610351562,0,0.0,-0.0
2015-03-13,183.97999572753906,0,0.0,-0.0
2015-03-16,187.07000732421875,0,0.0,-0.0
2015-03-17,186.1300048828125,0,0.0,-0.0
2015-03-18,191.5,0,0.0,-0.0
2015-03-19,192.10000610351562,0,0.0,-0.0
2015-03-20,197.33999633789062,100,100.0,-19733.999633789062
2015-03-23,197.5399932861328,100,0.0,-0.0
2015-03-24,196.8300018310547,100,0.0,-0.0
2015-03-25,194.14999389648438,100,0.0,-0.0
2015-03-26,192.64999389648438,100,0.0,-0.0
2015-03-27,194.25999450683594,100,0.0,-0.0
2015-03-30,196.97000122070312,100,0.0,-0.0
2015-03-31,195.63999938964844,100,0.0,-0.0
2015-04-01,197.99000549316406,100,0.0,-0.0
2015-04-02,199.36000061035156,100,0.0,-0.0
2015-04-06,200.8000030517578,100,0.0,-0.0
2015-04-07,198.2899932861328,100,0.0,-0.0
2015-04-08,197.4600067138672,100,0.0,-0.0
2015-04-09,193.1300048828125,0,-100.0,19313.00048828125
2015-04-10,191.27000427246094,0,0.0,-0.0
2015-04-13,190.3300018310547,0,0.0,-0.0
2015-04-14,191.4199981689453,0,0.0,-0.0
2015-04-15,190.0399932861328,0,0.0,-0.0
2015-04-16,190.10000610351562,0,0.0,-0.0
2015-04-17,188.25999450683594,0,0.0,-0.0
2015-04-20,188.60000610351562,0,0.0,-0.0
2015-04-21,188.8300018310547,0,0.0,-0.0
2015-04-22,189.11000061035156,0,0.0,-0.0
2015-04-23,189.05999755859375,0,0.0,-0.0
2015-04-24,188.7100067138672,0,0.0,-0.0
2015-04-27,189.8800048828125,0,0.0,-0.0
2015-04-28,188.25,0,0.0,-0.0
2015-04-29,183.10000610351562,0,0.0,-0.0
2015-04-30,181.49000549316406,0,0.0,-0.0
2015-05-01,184.1699981689453,0,0.0,-0.0
2015-05-04,183.3699951171875,0,0.0,-0.0
2015-05-05,180.4600067138672,0,0.0,-0.0
2015-05-06,181.61000061035156,0,0.0,-0.0
2015-05-07,183.14999389648438,0,0.0,-0.0
2015-05-08,187.64999389648438,0,0.0,-0.0
2015-05-11,184.1699981689453,0,0.0,-0.0
2015-05-12,184.42999267578125,0,0.0,-0.0
2015-05-13,181.33999633789062,0,0.0,-0.0
2015-05-14,184.75999450683594,0,0.0,-0.0
2015-05-15,185.61000061035156,0,0.0,-0.0
2015-05-18,184.77999877929688,0,0.0,-0.0
2015-05-19,184.02999877929688,0,0.0,-0.0
2015-05-20,183.58999633789062,0,0.0,-0.0
2015-05-21,183.5399932861328,0,0.0,-0.0
2015-05-22,183.6199951171875,0,0.0,-0.0
2015-05-26,182.0800018310547,0,0.0,-0.0
2015-05-27,184.13999938964844,0,0.0,-0.0
2015-05-28,183.82000732421875,0,0.0,-0.0
2015-05-29,181.39999389648438,0,0.0,-0.0
2015-06-01,183.38999938964844,0,0.0,-0.0
2015-06-02,182.14999389648438,0,0.0,-0.0
2015-06-03,178.92999267578125,0,0.0,-0.0
2015-06-04,179.02999877929688,0,0.0,-0.0
2015-06-05,176.61000061035156,0,0.0,-0.0
2015-06-08,175.61000061035156,0,0.0,-0.0
2015-06-09,174.5800018310547,0,0.0,-0.0
2015-06-10,176.35000610351562,0,0.0,-0.0
2015-06-11,177.25,0,0.0,-0.0
2015-06-12,176.8699951171875,0,0.0,-0.0
2015-06-15,175.8000030517578,0,0.0,-0.0
2015-06-16,177.25999450683594,0,0.0,-0.0
2015-06-17,179.57000732421875,0,0.0,-0.0
2015-06-18,181.88999938964844,0,0.0,-0.0
2015-06-19,179.47999572753906,0,0.0,-0.0
2015-06-22,176.52999877929688,0,0.0,-0.0
