Date,price,shares,net shares,net cash
2019-02-13,263.79998779296875,0,,
2019-02-14,265.3299865722656,100,100.0,-26532.998657226562
2019-02-15,271.1300048828125,100,0.0,-0.0
2019-02-19,270.4100036621094,100,0.0,-0.0
2019-02-20,269.510009765625,100,0.0,-0.0
2019-02-21,266.3999938964844,100,0.0,-0.0
2019-02-22,267.1099853515625,100,0.0,-0.0
2019-02-25,264.6000061035156,0,-100.0,26460.000610351562
2019-02-26,262.9800109863281,0,0.0,-0.0
2019-02-27,250.0800018310547,0,0.0,-0.0
2019-02-28,242.22000122070312,0,0.0,-0.0
2019-03-01,246.14999389648438,0,0.0,-0.0
2019-03-04,236.02000427246094,0,0.0,-0.0
2019-03-05,241.42999267578125,0,0.0,-0.0
2019-03-06,239.07000732421875,0,0.0,-0.0
2019-03-07,236.6999969482422,0,0.0,-0.0
2019-03-08,237.2899932861328,0,0.0,-0.0
2019-03-11,243.14999389648438,0,0.0,-0.0
2019-03-12,245.8800048828125,0,0.0,-0.0
2019-03-13,252.25,0,0.0,-0.0
2019-03-14,253.27000427246094,0,0.0,-0.0
2019-03-15,251.39999389648438,100,100.0,-25139.999389648438
2019-03-18,255.0,100,0.0,-0.0
2019-03-19,257.1300048828125,0,-100.0,25713.00048828125
2019-03-20,250.5,0,0.0,-0.0
2019-03-21,252.02000427246094,0,0.0,-0.0
2019-03-22,247.08999633789062,0,0.0,-0.0
2019-03-25,246.86000061035156,0,0.0,-0.0
2019-03-26,243.38999938964844,0,0.0,-0.0
2019-03-27,241.7100067138672,0,0.0,-0.0
2019-03-28,242.22999572753906,0,0.0,-0.0
2019-03-29,247.25999450683594,0,0.0,-0.0
2019-04-01,245.5399932861328,0,0.0,-0.0
2019-04-02,244.41000366210938,0,0.0,-0.0
2019-04-03,245.83999633789062,0,0.0,-0.0
2019-04-04,247.38999938964844,0,0.0,-0.0
2019-04-05,248.77999877929688,0,0.0,-0.0
2019-04-08,248.75,0,0.0,-0.0
2019-04-09,248.7899932861328,0,0.0,-0.0
2019-04-10,246.02999877929688,0,0.0,-0.0
2019-04-11,235.4199981689453,0,0.0,-0.0
2019-04-12,223.22000122070312,0,0.0,-0.0
2019-04-15,230.1999969482422,0,0.0,-0.0
2019-04-16,220.9600067138672,0,0.0,-0.0
2019-04-17,216.83999633789062,0,0.0,-0.0
2019-04-18,221.75,0,0.0,-0.0
2019-04-22,227.11000061035156,0,0.0,-0.0
2019-04-23,230.5800018310547,0,0.0,-0.0
2019-04-24,230.35000610351562,0,0.0,-0.0
2019-04-25,230.7899932861328,0,0.0,-0.0
2019-04-26,237.0,100,100.0,-23700.0
2019-04-29,237.4499969482422,100,0.0,-0.0
2019-04-30,233.07000732421875,100,0.0,-0.0
2019-05-01,231.9499969482422,100,0.0,-0.0
2019-05-02,232.4499969482422,100,0.0,-0.0
2019-05-03,231.9499969482422,100,0.0,-0.0
2019-05-06,240.5,100,0.0,-0.0
2019-05-07,238.0500030517578,100,0.0,-0.0
2019-05-08,239.14999389648438,100,0.0,-0.0
2019-05-09,237.97000122070312,0,-100.0,23797.000122070312
2019-05-10,240.58999633789062,0,0.0,-0.0
2019-05-13,239.5500030517578,0,0.0,-0.0
2019-05-14,236.42999267578125,0,0.0,-0.0
2019-05-15,236.0800018310547,0,0.0,-0.0
2019-05-16,236.7899932861328,0,0.0,-0.0
2019-05-17,241.3800048828125,0,0.0,-0.0
2019-05-20,245.99000549316406,0,0.0,-0.0
2019-05-21,249.94000244140625,0,0.0,-0.0
2019-05-22,249.33999633789062,0,0.0,-0.0
2019-05-23,246.5,0,0.0,-0.0
2019-05-24,247.6300048828125,0,0.0,-0.0
2019-05-28,242.05999755859375,0,0.0,-0.0
2019-05-29,242.39999389648438,0,0.0,-0.0
2019-05-30,243.5,0,0.0,-0.0
2019-05-31,241.8000030517578,0,0.0,-0.0
2019-06-03,236.55999755859375,0,0.0,-0.0
2019-06-04,240.75999450683594,0,0.0,-0.0
2019-06-05,242.77000427246094,0,0.0,-0.0
2019-06-06,241.82000732421875,0,0.0,-0.0
