Date,price,shares,net shares,net cash
2013-02-13,67.6449966430664,100,100.0,-6764.499664306641
2013-02-14,68.08499908447266,100,0.0,-0.0
2013-02-15,68.41500091552734,100,0.0,-0.0
2013-02-19,68.76499938964844,100,0.0,-0.0
2013-02-20,67.36000061035156,100,0.0,-0.0
2013-02-21,67.125,100,0.0,-0.0
2013-02-22,68.01000213623047,100,0.0,-0.0
2013-02-25,66.58999633789062,100,0.0,-0.0
2013-02-26,66.97000122070312,100,0.0,-0.0
2013-02-27,68.3550033569336,100,0.0,-0.0
2013-02-28,68.55500030517578,100,0.0,-0.0
2013-03-01,68.28500366210938,100,0.0,-0.0
2013-03-04,69.17500305175781,100,0.0,-0.0
2013-03-05,69.54000091552734,100,0.0,-0.0
2013-03-06,69.4800033569336,100,0.0,-0.0
2013-03-07,68.51000213623047,100,0.0,-0.0
2013-03-08,69.3499984741211,100,0.0,-0.0
2013-03-11,69.84500122070312,100,0.0,-0.0
2013-03-12,69.5,100,0.0,-0.0
2013-03-13,69.77999877929688,100,0.0,-0.0
2013-03-14,70.5,100,0.0,-0.0
2013-03-15,70.84500122070312,100,0.0,-0.0
2013-03-18,70.1050033569336,100,0.0,-0.0
2013-03-19,69.79000091552734,100,0.0,-0.0
2013-03-20,69.56500244140625,100,0.0,-0.0
2013-03-21,69.18499755859375,100,0.0,-0.0
2013-03-22,69.56999969482422,100,0.0,-0.0
2013-03-25,68.59500122070312,100,0.0,-0.0
2013-03-26,69.73999786376953,100,0.0,-0.0
2013-03-27,70.41500091552734,100,0.0,-0.0
2013-03-28,71.20500183105469,100,0.0,-0.0
2013-04-01,70.05000305175781,100,0.0,-0.0
2013-04-02,70.41000366210938,100,0.0,-0.0
2013-04-03,69.41999816894531,100,0.0,-0.0
2013-04-04,69.2300033569336,100,0.0,-0.0
2013-04-05,69.2699966430664,100,0.0,-0.0
2013-04-08,69.80999755859375,100,0.0,-0.0
2013-04-09,69.86499786376953,100,0.0,-0.0
