Date,price,shares,net shares,net cash
2010-02-16,66.27999877929688,0,,
2010-02-17,65.76000213623047,0,0.0,-0.0
2010-02-18,65.95999908447266,0,0.0,-0.0
2010-02-19,65.87000274658203,0,0.0,-0.0
2010-02-22,65.4000015258789,0,0.0,-0.0
2010-02-23,64.94000244140625,0,0.0,-0.0
2010-02-24,65.55000305175781,0,0.0,-0.0
2010-02-25,65.13999938964844,0,0.0,-0.0
2010-02-26,65.0,0,0.0,-0.0
2010-03-01,65.4000015258789,0,0.0,-0.0
2010-03-02,65.48999786376953,0,0.0,-0.0
2010-03-03,65.43000030517578,0,0.0,-0.0
2010-03-04,65.4000015258789,0,0.0,-0.0
2010-03-05,66.47000122070312,0,0.0,-0.0
2010-03-08,66.4800033569336,100,100.0,-6648.000335693359
2010-03-09,66.77999877929688,100,0.0,-0.0
2010-03-10,67.22000122070312,100,0.0,-0.0
2010-03-11,67.22000122070312,100,0.0,-0.0
2010-03-12,66.80000305175781,100,0.0,-0.0
2010-03-15,66.30000305175781,100,0.0,-0.0
2010-03-16,66.56999969482422,100,0.0,-0.0
2010-03-17,67.36000061035156,100,0.0,-0.0
2010-03-18,67.38999938964844,100,0.0,-0.0
2010-03-19,67.04000091552734,100,0.0,-0.0
2010-03-22,66.97000122070312,100,0.0,-0.0
2010-03-23,66.94999694824219,100,0.0,-0.0
2010-03-24,66.5,100,0.0,-0.0
2010-03-25,66.30000305175781,100,0.0,-0.0
2010-03-26,66.54000091552734,100,0.0,-0.0
2010-03-29,67.30000305175781,100,0.0,-0.0
2010-03-30,67.05000305175781,100,0.0,-0.0
2010-03-31,66.9800033569336,100,0.0,-0.0
2010-04-01,67.61000061035156,100,0.0,-0.0
2010-04-05,68.19000244140625,100,0.0,-0.0
2010-04-06,67.9000015258789,100,0.0,-0.0
2010-04-07,67.33999633789062,100,0.0,-0.0
2010-04-08,67.86000061035156,100,0.0,-0.0
2010-04-09,68.76000213623047,100,0.0,-0.0
2010-04-12,68.70999908447266,100,0.0,-0.0
2010-04-13,68.66000366210938,100,0.0,-0.0
2010-04-14,68.61000061035156,100,0.0,-0.0
2010-04-15,68.26000213623047,100,0.0,-0.0
2010-04-16,67.93000030517578,100,0.0,-0.0
2010-04-19,68.2300033569336,100,0.0,-0.0
2010-04-20,68.97000122070312,100,0.0,-0.0
2010-04-21,68.91999816894531,100,0.0,-0.0
2010-04-22,68.55999755859375,100,0.0,-0.0
2010-04-23,69.23999786376953,100,0.0,-0.0
2010-04-26,69.29000091552734,100,0.0,-0.0
2010-04-27,68.2699966430664,100,0.0,-0.0
2010-04-28,69.19000244140625,100,0.0,-0.0
2010-04-29,68.66000366210938,100,0.0,-0.0
2010-04-30,67.7699966430664,100,0.0,-0.0
2010-05-03,67.83999633789062,100,0.0,-0.0
2010-05-04,66.47000122070312,0,-100.0,6647.0001220703125
2010-05-05,66.16999816894531,0,0.0,-0.0
2010-05-06,63.88999938964844,0,0.0,-0.0
2010-05-07,63.70000076293945,0,0.0,-0.0
2010-05-10,65.2300033569336,0,0.0,-0.0
2010-05-11,64.45999908447266,0,0.0,-0.0
2010-05-12,64.91000366210938,0,0.0,-0.0
2010-05-13,64.73999786376953,0,0.0,-0.0
2010-05-14,63.599998474121094,0,0.0,-0.0
2010-05-17,63.27000045776367,0,0.0,-0.0
2010-05-18,62.790000915527344,0,0.0,-0.0
2010-05-19,62.45000076293945,0,0.0,-0.0
2010-05-20,60.33000183105469,0,0.0,-0.0
2010-05-21,60.880001068115234,0,0.0,-0.0
2010-05-24,60.189998626708984,0,0.0,-0.0
2010-05-25,59.709999084472656,0,0.0,-0.0
2010-05-26,59.310001373291016,0,0.0,-0.0
2010-05-27,61.459999084472656,0,0.0,-0.0
2010-05-28,60.459999084472656,0,0.0,-0.0
2010-06-01,59.25,0,0.0,-0.0
2010-06-02,60.77000045776367,0,0.0,-0.0
2010-06-03,61.560001373291016,100,100.0,-6156.000137329102
2010-06-04,59.529998779296875,100,0.0,-0.0
2010-06-07,59.29999923706055,100,0.0,-0.0
2010-06-08,61.2400016784668,100,0.0,-0.0
2010-06-09,60.029998779296875,100,0.0,-0.0
2010-06-10,61.88999938964844,100,0.0,-0.0
2010-06-11,61.86000061035156,100,0.0,-0.0
2010-06-14,61.369998931884766,100,0.0,-0.0
2010-06-15,62.5099983215332,100,0.0,-0.0
2010-06-16,62.5099983215332,100,0.0,-0.0
2010-06-17,62.599998474121094,100,0.0,-0.0
2010-06-18,63.099998474121094,100,0.0,-0.0
2010-06-21,63.130001068115234,100,0.0,-0.0
2010-06-22,61.939998626708984,0,-100.0,6193.999862670898
2010-06-23,61.099998474121094,0,0.0,-0.0
2010-06-24,60.06999969482422,0,0.0,-0.0
2010-06-25,59.099998474121094,0,0.0,-0.0
2010-06-28,58.470001220703125,0,0.0,-0.0
2010-06-29,57.290000915527344,0,0.0,-0.0
2010-06-30,57.06999969482422,0,0.0,-0.0
2010-07-01,56.61000061035156,0,0.0,-0.0
2010-07-02,56.56999969482422,0,0.0,-0.0
2010-07-06,57.459999084472656,0,0.0,-0.0
2010-07-07,58.43000030517578,0,0.0,-0.0
2010-07-08,58.810001373291016,0,0.0,-0.0
2010-07-09,58.779998779296875,0,0.0,-0.0
2010-07-12,58.939998626708984,0,0.0,-0.0
2010-07-13,59.41999816894531,100,100.0,-5941.999816894531
2010-07-14,59.2599983215332,100,0.0,-0.0
2010-07-15,59.27000045776367,100,0.0,-0.0
2010-07-16,57.959999084472656,100,0.0,-0.0
2010-07-19,58.43000030517578,0,-100.0,5843.000030517578
2010-07-20,58.95000076293945,0,0.0,-0.0
2010-07-21,58.16999816894531,0,0.0,-0.0
2010-07-22,59.380001068115234,0,0.0,-0.0
2010-07-23,59.720001220703125,0,0.0,-0.0
2010-07-26,60.38999938964844,0,0.0,-0.0
2010-07-27,60.810001373291016,100,100.0,-6081.000137329102
2010-07-28,60.90999984741211,100,0.0,-0.0
2010-07-29,60.34000015258789,100,0.0,-0.0
2010-07-30,59.68000030517578,100,0.0,-0.0
2010-08-02,61.939998626708984,100,0.0,-0.0
2010-08-03,62.720001220703125,100,0.0,-0.0
2010-08-04,62.720001220703125,100,0.0,-0.0
2010-08-05,62.709999084472656,100,0.0,-0.0
2010-08-06,61.970001220703125,100,0.0,-0.0
2010-08-09,62.45000076293945,100,0.0,-0.0
2010-08-10,61.93000030517578,100,0.0,-0.0
2010-08-11,60.38999938964844,0,-100.0,6038.999938964844
2010-08-12,60.22999954223633,0,0.0,-0.0
2010-08-13,59.90999984741211,0,0.0,-0.0
2010-08-16,59.880001068115234,0,0.0,-0.0
2010-08-17,60.81999969482422,0,0.0,-0.0
2010-08-18,60.150001525878906,0,0.0,-0.0
2010-08-19,59.290000915527344,0,0.0,-0.0
2010-08-20,58.88999938964844,0,0.0,-0.0
2010-08-23,59.5,0,0.0,-0.0
2010-08-24,58.939998626708984,0,0.0,-0.0
2010-08-25,58.90999984741211,0,0.0,-0.0
2010-08-26,58.47999954223633,0,0.0,-0.0
2010-08-27,59.79999923706055,0,0.0,-0.0
2010-08-30,59.0,100,100.0,-5900.0
2010-08-31,59.11000061035156,100,0.0,-0.0
2010-09-01,60.90999984741211,100,0.0,-0.0
2010-09-02,61.060001373291016,100,0.0,-0.0
2010-09-03,61.31999969482422,100,0.0,-0.0
2010-09-07,60.54999923706055,100,0.0,-0.0
2010-09-08,60.75,100,0.0,-0.0
2010-09-09,61.04999923706055,100,0.0,-0.0
2010-09-10,61.20000076293945,100,0.0,-0.0
2010-09-13,61.0,100,0.0,-0.0
2010-09-14,61.0099983215332,100,0.0,-0.0
2010-09-15,61.0,100,0.0,-0.0
2010-09-16,60.970001220703125,100,0.0,-0.0
2010-09-17,60.779998779296875,100,0.0,-0.0
2010-09-20,61.54999923706055,100,0.0,-0.0
2010-09-21,61.540000915527344,100,0.0,-0.0
2010-09-22,61.45000076293945,100,0.0,-0.0
2010-09-23,61.150001525878906,100,0.0,-0.0
2010-09-24,61.75,100,0.0,-0.0
2010-09-27,61.709999084472656,100,0.0,-0.0
2010-09-28,62.060001373291016,100,0.0,-0.0
2010-09-29,61.59000015258789,100,0.0,-0.0
2010-09-30,61.790000915527344,100,0.0,-0.0
2010-10-01,62.540000915527344,100,0.0,-0.0
2010-10-04,62.189998626708984,100,0.0,-0.0
2010-10-05,63.2599983215332,100,0.0,-0.0
2010-10-06,63.939998626708984,100,0.0,-0.0
2010-10-07,63.849998474121094,100,0.0,-0.0
2010-10-08,64.37999725341797,100,0.0,-0.0
2010-10-11,64.55000305175781,100,0.0,-0.0
2010-10-12,64.69999694824219,100,0.0,-0.0
2010-10-13,65.04000091552734,100,0.0,-0.0
2010-10-14,65.30000305175781,100,0.0,-0.0
2010-10-15,65.19000244140625,100,0.0,-0.0
2010-10-18,66.27999877929688,100,0.0,-0.0
2010-10-19,65.12000274658203,100,0.0,-0.0
2010-10-20,66.01000213623047,100,0.0,-0.0
2010-10-21,66.31999969482422,100,0.0,-0.0
2010-10-22,66.33999633789062,100,0.0,-0.0
2010-10-25,66.19999694824219,100,0.0,-0.0
2010-10-26,66.52999877929688,100,0.0,-0.0
2010-10-27,65.66999816894531,100,0.0,-0.0
2010-10-28,66.22000122070312,100,0.0,-0.0
2010-10-29,66.48999786376953,100,0.0,-0.0
2010-11-01,66.94999694824219,100,0.0,-0.0
